year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,Action Express Racing | Chevrolet Corvette DP P,1,C. Fittipaldi 2016-06-04,12:40:50.376,13:27:55.666,TRACK,47:05.290,47:05.290,47:05.290,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,Action Express Racing | Chevrolet Corvette DP P,,2016-06-04,13:27:55.666,13:28:40.270,PIT,44.604,,,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,Action Express Racing | Chevrolet Corvette DP P,2,J. Barbosa 2016-06-04,13:28:40.270,14:20:50.376,TRACK,52:10.106,52:10.106,52:10.106,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,R. Liddell 2016-06-04,12:40:50.376,13:11:33.390,TRACK,30:43.014,30:43.014,30:43.014,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,2016-06-04,13:11:33.390,13:12:22.623,PIT,49.233,,,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,A. Davis 2016-06-04,13:12:22.623,14:20:50.376,TRACK,1:08:27.753,1:08:27.753,1:08:27.753,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,8,Starworks Motorsports | ORECA FLM09 PC,1,A. Popow 2016-06-04,12:40:50.376,13:28:02.319,TRACK,47:11.943,47:11.943,47:11.943,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,8,Starworks Motorsports | ORECA FLM09 PC,,2016-06-04,13:28:02.319,13:28:56.340,PIT,54.021,,,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,8,Starworks Motorsports | ORECA FLM09 PC,2,R. Van Der Zande 2016-06-04,13:28:56.340,14:20:50.376,TRACK,51:54.036,51:54.036,51:54.036,20_Drive Time.PDF,1,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,M. Bell 2016-06-04,12:40:50.376,12:59:15.163,TRACK,18:24.787,18:24.787,18:24.787,20_Drive Time.PDF,1,1
