year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,1,P,31,Action Express Racing,Chevrolet Corvette DP,Dane Cameron,1:23.138,16,29,,,101.7,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,2,P,5,Action Express Racing,Chevrolet Corvette DP,Joao Barbosa,1:23.910,30,31,0.772,0.772,100.8,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,3,P,10,Konica Minolta Corvette DP for Wayne Taylor Racing,Chevrolet Corvette DP,Jordan Taylor,1:23.956,22,31,0.818,0.046,100.7,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,4,PC,8,Starworks Motorsports,ORECA FLM09,Renger Van Der Zande,1:24.977,20,31,1.839,1.021,99.5,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,P,5,Action Express Racing,Chevrolet Corvette DP,Christian Fittipaldi,1:25.035,7,26,1.897,0.058,99.4,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,6,P,10,Konica Minolta Corvette DP for Wayne Taylor Racing,Chevrolet Corvette DP,Ricky Taylor,1:25.220,9,26,2.082,0.185,99.2,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,7,P,31,Action Express Racing,Chevrolet Corvette DP,Eric Curran,1:25.275,9,11,2.137,0.055,99.2,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,8,P,90,VisitFlorida Racing,Chevrolet Corvette DP,Marc Goossens,1:25.371,8,9,2.233,0.096,99.1,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,9,P,60,Michael Shank Racing w/Curb-Agajanian,Honda HPD Ligier JS P2,Oswaldo Negri Jr.,1:25.418,24,28,2.280,0.047,99.0,07_ Driver Fastest Lap.PDF,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,10,PC,54,CORE autosport,ORECA FLM09,Colin Braun,1:25.563,30,35,2.425,0.145,98.8,07_ Driver Fastest Lap.PDF,1
