year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,1,2,Christian Fittipaldi,1:28.070,29.363,33.090,25.617,150.3,1:28.070,,,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,2,2,Christian Fittipaldi,1:26.460,28.333,32.546,25.581,151.8,2:54.530,86460,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,3,2,Christian Fittipaldi,1:25.447,27.971,32.213,25.263,151.8,4:19.977,85447,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,4,2,Christian Fittipaldi,1:25.102,27.842,32.083,25.177,151.8,5:45.079,85102,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,5,2,Christian Fittipaldi,1:25.279,27.809,32.216,25.254,150.9,7:10.358,85279,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,6,2,Christian Fittipaldi,1:26.061,27.617,32.300,26.144,152.0,8:36.419,86061,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,7,2,Christian Fittipaldi,1:25.035,27.767,32.030,25.238,152.3,10:01.454,85035,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,8,2,Christian Fittipaldi,1:25.890,27.764,32.360,25.766,152.9,11:27.344,85890,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,9,2,Christian Fittipaldi,1:25.713,27.727,32.229,25.757,152.6,12:53.057,85713,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,10,2,Christian Fittipaldi,1:28.455,28.396,32.852,27.207,153.2,14:21.512,88455,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,11,2,Christian Fittipaldi,2:38.460,45.393,58.916,54.151,73.4,16:59.972,158460,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,12,2,Christian Fittipaldi,3:00.070,55.819,1:03.024,1:01.227,47.6,20:00.042,180070,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,13,2,Christian Fittipaldi,3:12.652,1:09.209,1:03.760,59.683,44.3,23:12.694,192652,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,14,2,Christian Fittipaldi,3:20.161,1:12.140,1:12.450,55.571,40.4,26:32.855,200161,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,15,2,Christian Fittipaldi,2:29.753,53.764,56.355,39.634,52.1,29:02.608,149753,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,16,2,Christian Fittipaldi,1:27.921,28.908,33.125,25.888,150.9,30:30.529,87921,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,17,2,Christian Fittipaldi,1:26.981,28.435,32.820,25.726,150.6,31:57.510,86981,0,0,1
2016,08_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2016-06-04,201606041240_Race,5,18,2,Christian Fittipaldi,1:26.302,28.222,32.597,25.483,151.8,33:23.812,86302,0,0,1
