year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,1,K. Legge,11:06:13.986,11:55:03.187,TRACK,48:49.201,48:49.201,48:49.201,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,K. Legge,11:55:03.187,11:55:57.656,PIT,54.469,48:49.201,49:43.670,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,2,K. Legge,11:55:57.656,12:30:07.206,TRACK,34:09.550,1:22:58.751,1:23:53.220,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,,12:30:07.206,12:31:33.113,PIT,1:25.907,,,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,3,S. Rayhall,12:31:33.113,12:56:38.156,TRACK,25:05.043,25:05.043,25:05.043,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,S. Rayhall,12:56:38.156,12:57:23.058,PIT,44.902,25:05.043,25:49.945,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,4,S. Rayhall,12:57:23.058,13:43:38.345,TRACK,46:15.287,1:11:20.330,1:12:05.232,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,S. Rayhall,13:43:38.345,13:44:13.158,PIT,34.813,1:11:20.330,1:12:40.045,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,5,S. Rayhall,13:44:13.158,13:46:13.986,TRACK,2:00.828,1:13:21.158,1:14:40.873,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,A. Garcia,11:06:13.986,11:51:17.786,TRACK,45:03.800,45:03.800,45:03.800,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,11:51:17.786,11:52:07.337,PIT,49.551,,,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,J. Magnussen,11:52:07.337,12:49:13.253,TRACK,57:05.916,57:05.916,57:05.916,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,12:49:13.253,12:50:02.751,PIT,49.498,,,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,A. Garcia,12:50:02.751,13:46:13.986,TRACK,56:11.235,1:41:15.035,1:41:15.035,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,O. Gavin,11:06:13.986,11:50:19.322,TRACK,44:05.336,44:05.336,44:05.336,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,11:50:19.322,11:51:08.177,PIT,48.855,,,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,T. Milner,11:51:08.177,12:47:57.174,TRACK,56:48.997,56:48.997,56:48.997,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,12:47:57.174,12:48:44.972,PIT,47.798,56:48.997,57:36.795,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,T. Milner,12:48:44.972,13:46:13.986,TRACK,57:29.014,1:54:18.011,1:55:05.809,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,5,Action Express Racing | Chevrolet Corvette DP P,1,C. Fittipaldi,11:06:13.986,11:51:20.784,TRACK,45:06.798,45:06.798,45:06.798,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,5,Action Express Racing | Chevrolet Corvette DP P,,,11:51:20.784,11:52:11.377,PIT,50.593,,,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,5,Action Express Racing | Chevrolet Corvette DP P,2,J. Barbosa,11:52:11.377,12:23:41.988,TRACK,31:30.611,31:30.611,31:30.611,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,5,Action Express Racing | Chevrolet Corvette DP P,,J. Barbosa,12:23:41.988,12:24:28.205,PIT,46.217,31:30.611,32:16.828,20_Drive Time.PDF,1,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,5,Action Express Racing | Chevrolet Corvette DP P,3,J. Barbosa,12:24:28.205,13:02:06.839,TRACK,37:38.634,1:09:09.245,1:09:55.462,20_Drive Time.PDF,1,1
