year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,1,P,31,Action Express Racing,Chevrolet Corvette DP,Dane Cameron,1:10.404,5,88,,,125.7,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,2,P,90,VisitFlorida Racing,Chevrolet Corvette DP,Ryan Dalziel,1:10.598,29,86,0.194,0.194,125.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,3,P,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor,Chevrolet Corvette DP,Jordan Taylor,1:10.603,31,87,0.199,0.005,125.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,4,P,55,Mazda Motorsports,Mazda Prototype,Tristan Nunez,1:10.772,13,37,0.368,0.169,125.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,5,P,70,Mazda Motorsports,Mazda Prototype,Joel Miller,1:10.788,68,90,0.384,0.016,125.0,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,6,P,5,Action Express Racing,Chevrolet Corvette DP,Joao Barbosa,1:10.879,40,88,0.475,0.091,124.8,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,7,P,60,Michael Shank Racing w/Curb-Agajanian,Honda HPD Ligier JS P2,Oswaldo Negri Jr.,1:11.188,58,83,0.784,0.309,124.3,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,8,P,5,Action Express Racing,Chevrolet Corvette DP,Christian Fittipaldi,1:11.300,5,37,0.896,0.112,124.1,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,9,P,55,Mazda Motorsports,Mazda Prototype,Jonathan Bomarito,1:11.304,8,23,0.900,0.004,124.1,07_ Driver Fastest Lap.PDF,1
2016,11_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2016-07-10,201607101105_Race,10,P,10,No. 10 Konica Minolta Corvette DP for Wayne Taylor,Chevrolet Corvette DP,Ricky Taylor,1:11.325,5,38,0.921,0.021,124.0,07_ Driver Fastest Lap.PDF,1
