year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,1,S. Rayhall,11:35:58.695,12:16:13.119,TRACK,40:14.424,40:14.424,40:14.424,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,,12:16:13.119,12:17:17.613,PIT,1:04.494,,,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,2,K. Legge,12:17:17.613,12:32:24.347,TRACK,15:06.734,15:06.734,15:06.734,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,K. Legge,12:32:24.347,12:33:55.863,PIT,1:31.516,15:06.734,16:38.250,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,3,K. Legge,12:33:55.863,12:37:54.909,TRACK,3:59.046,19:05.780,20:37.296,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,K. Legge,12:37:54.909,12:38:26.745,PIT,31.836,19:05.780,21:09.132,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,4,K. Legge,12:38:26.745,12:40:23.681,TRACK,1:56.936,21:02.716,23:06.068,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,K. Legge,12:40:23.681,12:40:55.526,PIT,31.845,21:02.716,23:37.913,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,5,K. Legge,12:40:55.526,13:24:12.944,TRACK,43:17.418,1:04:20.134,1:06:55.331,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,,13:24:12.944,13:25:28.211,PIT,1:15.267,,,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,6,S. Rayhall,13:25:28.211,14:15:58.695,TRACK,50:30.484,1:30:44.908,1:30:44.908,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,J. Magnussen,11:35:58.695,12:19:50.980,TRACK,43:52.285,43:52.285,43:52.285,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,12:19:50.980,12:20:45.302,PIT,54.322,,,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,A. Garcia,12:20:45.302,13:17:24.148,TRACK,56:38.846,56:38.846,56:38.846,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,A. Garcia,13:17:24.148,13:18:20.039,PIT,55.891,56:38.846,57:34.737,20_Drive Time.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,A. Garcia,13:18:20.039,14:15:58.695,TRACK,57:38.656,1:54:17.502,1:55:13.393,20_Drive Time.PDF,1,1
