year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,1,12:16:13.119,S. Rayhall,12:17:17.613,K. Legge,1:04.494,1:04.494,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,2,12:32:24.347,K. Legge,12:33:55.863,K. Legge,1:31.516,2:36.010,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,3,12:37:54.909,K. Legge,12:38:26.745,K. Legge,31.836,3:07.846,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,4,12:40:23.681,K. Legge,12:40:55.526,K. Legge,31.845,3:39.691,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,5,13:24:12.944,K. Legge,13:25:28.211,S. Rayhall,1:15.267,4:54.958,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,5 K. Legge S. Rayhall 1:15.267 4:54.958 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,12:19:50.980,J. Magnussen,12:20:45.302,A. Garcia,54.322,54.322,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,3,5 K. Legge S. Rayhall 1:15.267 4:54.958 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,13:17:24.148,A. Garcia,13:18:20.039,A. Garcia,55.891,1:50.213,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,4,2 A. Garcia A. Garcia 55.891 1:50.213 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,12:19:51.502,O. Gavin,12:20:48.273,T. Milner,56.771,56.771,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,4,2 A. Garcia A. Garcia 55.891 1:50.213 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,13:19:50.443,T. Milner,13:20:47.573,T. Milner,57.130,1:53.901,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,2 T. Milner T. Milner 57.130 1:53.901 | Action Express Racing | Chevrolet Corvette DP P,1,12:16:14.498,C. Fittipaldi,12:17:09.594,J. Barbosa,55.096,55.096,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,5,2 T. Milner T. Milner 57.130 1:53.901 | Action Express Racing | Chevrolet Corvette DP P,2,13:22:11.734,J. Barbosa,13:23:09.658,J. Barbosa,57.924,1:53.020,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,2 J. Barbosa J. Barbosa 57.924 1:53.020 | Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,12:19:43.172,A. Davis,12:20:50.452,A. Davis,1:07.280,1:07.280,20_PitStops_Race.PDF,1,1
2016,19_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2016-09-17,201609171135_Race,6,2 J. Barbosa J. Barbosa 57.924 1:53.020 | Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,12:57:28.116,A. Davis,12:58:32.923,R. Liddell,1:04.807,2:12.087,20_PitStops_Race.PDF,1,1
