year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,1,540,1:07.731,0.000,0.000,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,2,52,1:19.087,11.356,11.356,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,3,85,1:19.410,11.679,11.679,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,4,38,1:20.054,12.323,12.323,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,5,7,1:20.078,12.347,12.347,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,6,8,1:20.485,12.754,12.754,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,7,20,1:20.826,13.095,13.095,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,8,54,1:21.621,13.890,13.890,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,9,88,1:22.350,14.619,14.619,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,10,67,1:28.274,20.543,20.543,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,11,25,1:28.995,21.264,21.264,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,12,4,1:29.439,21.708,21.708,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,13,62,1:29.947,22.216,22.216,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,14,66,1:30.443,22.712,22.712,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,15,3,1:30.923,23.192,23.192,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,16,911,1:31.278,23.547,23.547,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,17,100,1:31.696,23.965,23.965,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,18,912,1:31.979,24.248,24.248,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,19,16,1:32.549,24.818,24.818,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,20,6,1:33.220,25.489,25.489,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,21,9,1:33.691,25.960,25.960,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,22,63,1:34.270,26.539,26.539,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,23,48,1:34.867,27.136,27.136,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,24,23,1:35.528,27.797,27.797,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,25,96,1:36.453,28.722,28.722,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,26,73,1:37.488,29.757,29.757,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,27,97,1:38.842,31.111,31.111,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,28,44,1:39.832,32.101,32.101,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,29,22,1:41.612,33.881,33.881,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,30,33,1:42.276,34.545,34.545,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,1,31,27,1:43.429,35.698,35.698,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,1,540,1:10.000,,,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,2,52,1:16.889,18.245,18.245,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,3,38,1:16.017,18.340,18.340,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,4,8,1:15.668,18.422,18.422,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,5,7,1:16.116,18.463,18.463,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,6,20,1:15.530,18.625,18.625,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,7,85,1:16.973,18.652,18.652,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,8,54,1:14.997,18.887,18.887,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,9,88,1:14.496,19.115,19.115,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,10,25,1:08.318,19.582,19.582,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,11,67,1:09.118,19.661,19.661,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,12,62,1:07.579,19.795,19.795,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,13,4,1:08.342,20.050,20.050,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,14,66,1:07.484,20.196,20.196,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,15,3,1:07.097,20.289,20.289,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,16,100,1:06.481,20.446,20.446,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,17,911,1:07.173,20.720,20.720,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,18,912,1:06.746,20.994,20.994,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,19,16,1:07.107,21.925,21.925,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,20,6,1:06.567,22.056,22.056,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,21,9,1:06.356,22.316,22.316,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,22,63,1:06.227,22.766,22.766,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,23,48,1:06.037,23.173,23.173,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,24,23,1:05.859,23.656,23.656,,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,25,96,1:05.672,24.394,24.394,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,26,73,1:05.537,25.294,25.294,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,27,97,1:05.925,27.036,27.036,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,28,44,1:06.237,28.338,28.338,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,29,22,1:04.576,28.457,28.457,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,2,30,33,1:04.295,28.840,28.840,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,1,52,52.726,,,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,2,8,53.225,0.676,0.676,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,3,7,53.596,1.088,1.088,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,4,20,53.917,1.571,1.571,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,5,54,54.189,2.105,2.105,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,6,85,55.568,3.249,3.249,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,7,25,55.016,3.627,3.627,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,8,62,55.182,4.006,4.006,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,9,4,55.843,4.922,4.922,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,10,88,57.369,5.513,5.513,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,11,66,56.945,6.170,6.170,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,12,3,57.753,7.071,7.071,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,13,911,57.846,7.595,7.595,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,14,100,58.364,7.839,7.839,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,15,912,58.219,8.242,8.242,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,16,16,57.769,8.723,8.723,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,17,6,57.958,9.043,9.043,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,18,38,1:01.911,9.280,9.280,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,19,9,58.010,9.355,9.355,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,20,63,58.485,10.280,10.280,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,21,48,58.291,10.493,10.493,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,22,23,58.185,10.870,10.870,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,23,96,57.932,11.355,11.355,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,24,73,57.429,11.752,11.752,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,25,97,56.009,12.074,12.074,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,26,22,55.814,13.300,13.300,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,27,67,1:04.723,13.413,13.413,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,28,44,56.767,14.134,14.134,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,29,33,56.459,14.328,14.328,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,3,30,540,1:36.549,25.578,25.578,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,2,31,27,2:12.733,1 Lap,,1,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,1,52,51.099,,,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,2,8,51.304,0.881,0.881,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,3,7,51.472,1.461,1.461,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,4,20,51.864,2.336,2.336,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,5,54,51.875,2.881,2.881,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,6,85,51.886,4.036,4.036,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,7,25,52.788,5.316,5.316,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,8,62,52.903,5.810,5.810,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,9,4,52.494,6.317,6.317,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,10,88,54.727,9.141,9.141,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,11,66,54.273,9.344,9.344,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,12,3,53.449,9.421,9.421,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,13,911,53.240,9.736,9.736,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,14,100,53.810,10.550,10.550,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,15,912,53.813,10.956,10.956,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,16,16,54.403,12.027,12.027,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,17,38,54.483,12.664,12.664,,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,18,6,54.787,12.731,12.731,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,19,9,55.138,13.394,13.394,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,20,63,54.976,14.157,14.157,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,21,48,55.309,14.703,14.703,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,22,23,55.430,15.201,15.201,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,23,96,55.787,16.043,16.043,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,24,67,54.073,16.387,16.387,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,25,73,55.753,16.406,16.406,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,26,97,56.608,17.583,17.583,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,27,22,55.650,17.851,17.851,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,28,44,55.341,18.376,18.376,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,29,33,55.339,18.568,18.568,,1,3
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,4,30,540,55.867,30.346,30.346,,1,3
