year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,J. Magnussen,15:06:11.268,15:37:24.806,TRACK,31:13.538,31:13.538,31:13.538,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,J. Magnussen,15:37:24.806,15:38:01.446,PIT,36.640,31:13.538,31:50.178,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,J. Magnussen,15:38:01.446,15:42:04.556,TRACK,4:03.110,35:16.648,35:53.288,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,J. Magnussen,15:42:04.556,15:42:22.761,PIT,18.205,35:16.648,36:11.493,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,J. Magnussen,15:42:22.761,16:40:40.318,TRACK,58:17.557,1:33:34.205,1:34:29.050,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,16:40:40.318,16:41:25.696,PIT,45.378,,,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,4,A. Garcia,16:41:25.696,17:46:11.268,TRACK,1:04:45.572,1:04:45.572,1:04:45.572,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,T. Milner,15:06:11.268,15:37:23.446,TRACK,31:12.178,31:12.178,31:12.178,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,15:37:23.446,15:38:01.029,PIT,37.583,31:12.178,31:49.761,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,T. Milner,15:38:01.029,16:40:35.530,TRACK,1:02:34.501,1:33:46.679,1:34:24.262,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,16:40:35.530,16:41:20.288,PIT,44.758,,,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,O. Gavin,16:41:20.288,17:46:11.268,TRACK,1:04:50.980,1:04:50.980,1:04:50.980,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,A. Davis,15:06:11.268,15:38:36.241,TRACK,32:24.973,32:24.973,32:24.973,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,A. Davis,15:38:36.241,15:39:21.172,PIT,44.931,32:24.973,33:09.904,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,A. Davis,15:39:21.172,16:41:59.328,TRACK,1:02:38.156,1:35:03.129,1:35:48.060,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,,16:41:59.328,16:42:59.353,PIT,1:00.025,,,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,Stevenson Motorsports | Audi R8 LMS GT3 GTD,3,R. Liddell,16:42:59.353,17:46:11.268,TRACK,1:03:11.915,1:03:11.915,1:03:11.915,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,1,J. Gutierrez,15:06:11.268,15:57:45.934,TRACK,51:34.666,51:34.666,51:34.666,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,,J. Gutierrez,15:57:45.934,15:58:36.098,PIT,50.164,51:34.666,52:24.830,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,2,J. Gutierrez,15:58:36.098,16:47:13.136,TRACK,48:37.038,1:40:11.704,1:41:01.868,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,,,16:47:13.136,16:48:52.596,PIT,1:39.460,,,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,3,S. Rayhall,16:48:52.596,16:49:56.141,TRACK,1:03.545,1:03.545,1:03.545,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,,S. Rayhall,16:49:56.141,16:52:39.289,PIT,2:43.148,1:03.545,3:46.693,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,4,S. Rayhall,16:52:39.289,16:53:44.339,TRACK,1:05.050,2:08.595,4:51.743,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,Starworks Motorsport | ORECA FLM09 PC,,S. Rayhall,16:53:44.339,17:46:11.268,PIT,52:26.929,2:08.595,57:18.672,20_Drive Time.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,1,A. Popow,15:06:11.268,16:06:58.371,TRACK,1:00:47.103,1:00:47.103,1:00:47.103,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,,,16:06:58.371,16:07:47.085,PIT,48.714,,,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,2,R. van der Zande,16:07:47.085,16:40:29.336,TRACK,32:42.251,32:42.251,32:42.251,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,,R. van der Zande,16:40:29.336,16:41:13.051,PIT,43.715,32:42.251,33:25.966,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,Starworks Motorsport | ORECA FLM09 PC,3,R. van der Zande,16:41:13.051,17:46:11.268,TRACK,1:04:58.217,1:37:40.468,1:38:24.183,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,M. Bell,15:06:11.268,15:38:37.008,TRACK,32:25.740,32:25.740,32:25.740,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,M. Bell,15:38:37.008,15:39:17.427,PIT,40.419,32:25.740,33:06.159,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,M. Bell,15:39:17.427,16:42:03.468,TRACK,1:02:46.041,1:35:11.781,1:35:52.200,20_Drive Time.PDF,2,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,Stevenson Motorsports | Audi R8 LMS GT3 GTD,,,16:42:03.468,16:43:04.571,PIT,1:01.103,,,20_Drive Time.PDF,2,1
