year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,1,PC,8,Starworks Motorsport,ORECA FLM09,Renger van der Zande,49.250,3,110,,,107.7,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,2,PC,52,PR1/Mathiasen Motorsports,ORECA FLM09,Robert Alon,49.438,39,95,0.188,0.188,107.3,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,PC,52,PR1/Mathiasen Motorsports,ORECA FLM09,Tom Kimber-Smith,49.628,13,74,0.378,0.190,106.9,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,PC,38,Performance Tech Motorsports,ORECA FLM09,Kyle Marcelli,49.823,8,95,0.573,0.195,106.5,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,5,PC,54,CORE autosport,ORECA FLM09,Colin Braun,49.915,5,10,0.665,0.092,106.3,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,PC,20,BAR1 Motorsports,ORECA FLM09,Matthew McMurry,49.988,40,95,0.738,0.073,106.1,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,PC,8,Starworks Motorsport,ORECA FLM09,Alex Popow,50.011,20,59,0.761,0.023,106.1,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,PC,88,Starworks Motorsport,ORECA FLM09,Remo Ruscitti,50.061,5,106,0.811,0.050,106.0,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,PC,7,Starworks Motorsport,ORECA FLM09,Jose Gutierrez,50.061,20,98,0.811,0.000,106.0,07_ Driver Fastest Lap.PDF,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,10,PC,85,JDC-Miller Motorsports,ORECA FLM09,Misha Goikhberg,50.306,71,101,1.056,0.245,105.5,07_ Driver Fastest Lap.PDF,1
