year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,15:37:24.806,J. Magnussen,15:38:01.446,J. Magnussen,36.640,36.640,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,15:42:04.556,J. Magnussen,15:42:22.761,J. Magnussen,18.205,54.845,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,16:40:40.318,J. Magnussen,16:41:25.696,A. Garcia,45.378,1:40.223,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,3 J. Magnussen A. Garcia 45.378 1:40.223 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,15:37:23.446,T. Milner,15:38:01.029,T. Milner,37.583,37.583,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,4,3 J. Magnussen A. Garcia 45.378 1:40.223 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,16:40:35.530,T. Milner,16:41:20.288,O. Gavin,44.758,1:22.341,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,2 T. Milner O. Gavin 44.758 1:22.341 | Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,15:38:36.241,A. Davis,15:39:21.172,A. Davis,44.931,44.931,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,6,2 T. Milner O. Gavin 44.758 1:22.341 | Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,16:41:59.328,A. Davis,16:42:59.353,R. Liddell,1:00.025,1:44.956,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,2 A. Davis R. Liddell 1:00.025 1:44.956 | Starworks Motorsport | ORECA FLM09 PC,1,15:57:45.934,J. Gutierrez,15:58:36.098,J. Gutierrez,50.164,50.164,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,2 A. Davis R. Liddell 1:00.025 1:44.956 | Starworks Motorsport | ORECA FLM09 PC,2,16:47:13.136,J. Gutierrez,16:48:52.596,S. Rayhall,1:39.460,2:29.624,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,7,2 A. Davis R. Liddell 1:00.025 1:44.956 | Starworks Motorsport | ORECA FLM09 PC,3,16:49:56.141,S. Rayhall,16:52:39.289,S. Rayhall,2:43.148,5:12.772,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,3 S. Rayhall S. Rayhall 2:43.148 5:12.772 | Starworks Motorsport | ORECA FLM09 PC,1,16:06:58.371,A. Popow,16:07:47.085,R. van der Zande,48.714,48.714,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,8,3 S. Rayhall S. Rayhall 2:43.148 5:12.772 | Starworks Motorsport | ORECA FLM09 PC,2,16:40:29.336,R. van der Zande,16:41:13.051,R. van der Zande,43.715,1:32.429,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,2 R. van der Zande R. van der Zande 43.715 1:32.429 | Stevenson Motorsports | Audi R8 LMS GT3 GTD,1,15:38:37.008,M. Bell,15:39:17.427,M. Bell,40.419,40.419,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,9,2 R. van der Zande R. van der Zande 43.715 1:32.429 | Stevenson Motorsports | Audi R8 LMS GT3 GTD,2,16:42:03.468,M. Bell,16:43:04.571,L. Aschenbach,1:01.103,1:41.522,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,2 M. Bell L. Aschenbach 1:01.103 1:41.522 | Change Racing | Lamborghini Huracan GT3 GTD,1,15:38:35.450,S. Pumpelly,15:39:25.183,C. Lewis,49.733,49.733,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,16,2 M. Bell L. Aschenbach 1:01.103 1:41.522 | Change Racing | Lamborghini Huracan GT3 GTD,2,16:42:04.164,C. Lewis,16:43:01.452,S. Pumpelly,57.288,1:47.021,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,2 C. Lewis S. Pumpelly 57.288 1:47.021 | BAR1 Motorsports | ORECA FLM09 PC,1,15:37:11.192,M. McMurry,15:38:08.485,M. McMurry,57.293,57.293,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,20,2 C. Lewis S. Pumpelly 57.288 1:47.021 | BAR1 Motorsports | ORECA FLM09 PC,2,16:40:27.647,M. McMurry,16:41:30.685,J. Mowlem,1:03.038,2:00.331,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,2 M. McMurry J. Mowlem 1:03.038 2:00.331 | Alex Job Racing | Porsche 911 GT3 R GTD,1,16:27:49.574,C. MacNeil,16:28:55.177,L. Keen,1:05.603,1:05.603,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,22,2 M. McMurry J. Mowlem 1:03.038 2:00.331 | Alex Job Racing | Porsche 911 GT3 R GTD,2,16:45:41.746,L. Keen,16:46:16.031,L. Keen,34.285,1:39.888,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,2 L. Keen L. Keen 34.285 1:39.888 | Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,1,15:38:38.165,M. Farnbacher,15:39:34.458,M. Farnbacher,56.293,56.293,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,2 L. Keen L. Keen 34.285 1:39.888 | Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,2,16:42:00.501,M. Farnbacher,16:42:57.840,A. Riberas,57.339,1:53.632,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,2 L. Keen L. Keen 34.285 1:39.888 | Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,3,17:25:46.081,A. Riberas,17:26:30.396,A. Riberas,44.315,2:37.947,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,23,2 L. Keen L. Keen 34.285 1:39.888 | Team Seattle / Alex Job Racing | Porsche 911 GT3 R GTD,4,17:29:39.006,A. Riberas,17:30:24.081,A. Riberas,45.075,3:23.022,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,25,4 A. Riberas A. Riberas 45.075 3:23.022 | BMW Team RLL | BMW M6 GTLM GTLM,1,15:37:22.027,D. Werner,15:37:56.896,D. Werner,34.869,34.869,20_PitStops_Race.PDF,1,1
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,1,15:09:07.797,L. DeGeorge,15:10:14.083,C. Sbirrazzuoli,1:06.286,1:06.286,20_PitStops_Race.PDF,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,2,15:31:09.738,C. Sbirrazzuoli,15:32:21.924,C. Sbirrazzuoli,1:12.186,2:18.472,20_PitStops_Race.PDF,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,3,16:15:39.422,C. Sbirrazzuoli,16:16:31.018,C. Sbirrazzuoli,51.596,3:10.068,20_PitStops_Race.PDF,1,2
2016,13_Lime Rock,Lime Rock,lime-rock,2016-07-23,201607231505_Race,27,Dream Racing | Lamborghini Huracan GT3 GTD,4,17:19:46.284,C. Sbirrazzuoli,17:20:37.557,C. Sbirrazzuoli,51.273,4:01.341,20_PitStops_Race.PDF,1,2
