year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,1,S. Rayhall,15:06:12.111,15:46:26.691,TRACK,40:14.580,40:14.580,40:14.580,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,S. Rayhall,15:46:26.691,15:47:35.757,PIT,1:09.066,40:14.580,41:23.646,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,2,S. Rayhall,15:47:35.757,16:11:27.176,TRACK,23:51.419,1:04:05.999,1:05:15.065,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,,16:11:27.176,16:12:38.134,PIT,1:10.958,,,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,3,K. Legge,16:12:38.134,16:50:03.399,TRACK,37:25.265,37:25.265,37:25.265,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,K. Legge,16:50:03.399,16:51:50.667,PIT,1:47.268,37:25.265,39:12.533,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,4,K. Legge,16:51:50.667,17:28:16.327,TRACK,36:25.660,1:13:50.925,1:15:38.193,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,,K. Legge,17:28:16.327,17:29:18.553,PIT,1:02.226,1:13:50.925,1:16:40.419,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,0,Panoz DeltaWing Racing | DeltaWing DWC13 P,5,K. Legge,17:29:18.553,17:50:34.111,TRACK,5:00.000,1:18:50.925,1:21:40.419,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,A. Garcia,15:06:12.111,15:59:51.326,TRACK,53:39.215,53:39.215,53:39.215,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,15:59:51.326,16:01:01.035,PIT,1:09.709,,,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,J. Magnussen,16:01:01.035,17:03:40.555,TRACK,1:02:39.520,1:02:39.520,1:02:39.520,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,J. Magnussen,17:03:40.555,17:04:45.814,PIT,1:05.259,1:02:39.520,1:03:44.779,20_Drive Time.PDF,1,1
2016,14_Road America,Road America,road-america,2016-08-07,201608071505_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,J. Magnussen,17:04:45.814,17:50:34.111,TRACK,5:00.000,1:07:39.520,1:08:44.779,20_Drive Time.PDF,1,1
