year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,0,P,Panoz DeltaWing Racing,Elan DWC13,Katherine Legge,Sean Rayhall,Gabby Chaves,,,Panoz DeltaWing Racing Elan DWC13 | P | 1.Katherine Legge 3.Gabby Chaves | 2.Sean Rayhall
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,2,P,Tequila Patron ESM,Honda Ligier JS P2,Scott Sharp,Luis Felipe Derani,Johannes van Overbeek,,,Tequila Patron ESM Honda Ligier JS P2 | P | 1.Scott Sharp 3.Johannes van Overbeek | 2.Luis Felipe Derani
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,Jan Magnussen,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Antonio Garcia | 2.Jan Magnussen
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,5,P,Action Express Racing,Chevrolet Corvette DP,Joao Barbosa,Christian Fittipaldi,Filipe Albuquerque,,,Action Express Racing Chevrolet Corvette DP | P | 1.Joao Barbosa 3.Filipe Albuquerque | 2.Christian Fittipaldi
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,6,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Robin Liddell,Andrew Davis,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Robin Liddell | 2.Andrew Davis
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,8,PC,Starworks Motorsports,Chevrolet ORECA FLM09,Renger Van Der Zande,Alex Popow,,,,Starworks Motorsports Chevrolet ORECA FLM09 | PC | 1.Renger Van Der Zande | 2.Alex Popow
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,9,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Matt Bell,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach | 2.Matt Bell
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,10,P,Konica Minolta,Chevrolet Corvette DP,Ricky Taylor,Jordan Taylor,Max Angelelli,,,Konica Minolta Chevrolet Corvette DP | P | 1.Ricky Taylor 3.Max Angelelli | 2.Jordan Taylor
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,16,GTD,Change Racing,Lamborghini Huracan GT3,Corey Lewis,Spencer Pumpelly,,,,Change Racing Lamborghini Huracan GT3 | GTD | 1.Corey Lewis | 2.Spencer Pumpelly
2016,10_Watkins Glen International,Watkins Glen International,watkins-glen-international,2016-07-03,201607031010_Race,20,PC,BAR1 Motorsports,Chevrolet ORECA FLM09,Don Yount,Johnny Mowlem,Matthew McMurry,,,BAR1 Motorsports Chevrolet ORECA FLM09 | PC | 1.Don Yount 3.Matthew McMurry | 2.Johnny Mowlem
