year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,01_Starting Grid - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/01_Starting%20Grid%20-%20Official.PDF,pdfs/01_Starting Grid - Official.PDF,b140bdd5b0af328db3adf37d2b52ec2018caebaf09d03909ac409ba3b448d321,207130,,unsupported,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,01_Starting Grid - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/01_Starting%20Grid%20-%20Provisional.PDF,pdfs/01_Starting Grid - Provisional.PDF,6bec7d98e7aeea82e4d49376ae6b9e2a1385caf247fc6df6ec74e847625a554f,197978,,unsupported,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,01_Starting Grid by Number - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/01_Starting%20Grid%20by%20Number%20-%20Official.PDF,pdfs/01_Starting Grid by Number - Official.PDF,06edf06c38cf102ca74e94195da33c30a4c3622bdcfb47c19556b30779e8a5e6,83111,,unsupported,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,01_Starting Grid by Number - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/01_Starting%20Grid%20by%20Number%20-%20Provisional.PDF,pdfs/01_Starting Grid by Number - Provisional.PDF,a5b01a5584a399e37595a549be4f1a3b2af9df1b6a360f04f3eb82b5cd51b91d,83172,,unsupported,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,03_Results - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/03_Results%20-%20Official.PDF,pdfs/03_Results - Official.PDF,19ad1eda5e39ec7a42f3a5ade9f9244273d907797fd094c0b2e746b46bdd699d,246407,results,preferred,existing,reports-1,2,28,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,03_Results - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/03_Results%20-%20Provisional.PDF,pdfs/03_Results - Provisional.PDF,bf25afc86981dda91b180aea0483bab63f3740778b7daee69e718d5c34410c12,217971,results,alternate,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,03_Results - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/03_Results%20-%20Unofficial.PDF,pdfs/03_Results - Unofficial.PDF,75a8cbf00d5a3498b13e3d16118cd499216209d13237678bd68de14613b9cd8e,174196,results,alternate,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,05_Results by Class - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/05_Results%20by%20Class%20-%20Official.PDF,pdfs/05_Results by Class - Official.PDF,923487eed7c569f01c6e56a6101bce7c2245c782a16f8d750fd8c51d2db3666b,245721,,unsupported,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,05_Results by Class - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/05_Results%20by%20Class%20-%20Provisional.PDF,pdfs/05_Results by Class - Provisional.PDF,ff6035d4f28b9e59acaea72d86412635814e9bbb1a50404191b32f2d15c833f0,215091,,unsupported,existing,,,,
2017,11_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2017-06-03,201706031240_Race,05_Results by Class - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/11_Belle%20Isle%20Street%20Circuit/01_IMSA%20WeatherTech%20SportsCar%20Championship/201706031240_Race/05_Results%20by%20Class%20-%20Unofficial.PDF,pdfs/05_Results by Class - Unofficial.PDF,a471e30454c897d43c0af6611607b4150b0ead5e758120118c9a4530f4fc0c54,108900,,unsupported,existing,,,,
