year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,2,Tequila Patron ESM | Nissan DPi P,1,12:42:54.037,S. Sharp,12:43:49.834,S. Sharp,55.797,55.797,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,2,Tequila Patron ESM | Nissan DPi P,2,13:24:27.746,S. Sharp,13:25:26.868,R. Dalziel,59.122,1:54.919,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,2,Tequila Patron ESM | Nissan DPi P,3,13:59:11.150,R. Dalziel,14:00:02.955,R. Dalziel,51.805,2:46.724,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,2,Tequila Patron ESM | Nissan DPi P,4,14:15:31.569,R. Dalziel,14:16:18.397,R. Dalziel,46.828,3:33.552,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,3,4 R. Dalziel R. Dalziel 46.828 3:33.552 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,13:03:37.981,J. Magnussen,13:04:39.781,A. Garcia,1:01.800,1:01.800,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,3,4 R. Dalziel R. Dalziel 46.828 3:33.552 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,13:46:49.995,A. Garcia,13:47:41.878,A. Garcia,51.883,1:53.683,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,4,2 A. Garcia A. Garcia 51.883 1:53.683 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,13:05:05.551,O. Gavin,13:06:09.010,T. Milner,1:03.459,1:03.459,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,4,2 A. Garcia A. Garcia 51.883 1:53.683 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,13:50:55.441,T. Milner,13:51:48.842,T. Milner,53.401,1:56.860,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,5,2 T. Milner T. Milner 53.401 1:56.860 | Mustang Sampling Racing | Cadillac DPi P,1,12:44:12.853,C. Fittipaldi,12:45:09.777,J. Barbosa,56.924,56.924,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,5,2 T. Milner T. Milner 53.401 1:56.860 | Mustang Sampling Racing | Cadillac DPi P,2,12:50:02.664,J. Barbosa,12:50:37.531,J. Barbosa,34.867,1:31.791,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,5,2 T. Milner T. Milner 53.401 1:56.860 | Mustang Sampling Racing | Cadillac DPi P,3,13:29:14.581,J. Barbosa,13:30:08.345,J. Barbosa,53.764,2:25.555,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,5,2 T. Milner T. Milner 53.401 1:56.860 | Mustang Sampling Racing | Cadillac DPi P,4,14:03:57.363,J. Barbosa,14:04:47.582,J. Barbosa,50.219,3:15.774,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,10,4 J. Barbosa J. Barbosa 50.219 3:15.774 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,1,12:46:17.666,R. Taylor,12:47:10.539,R. Taylor,52.873,52.873,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,10,4 J. Barbosa J. Barbosa 50.219 3:15.774 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,2,13:27:54.861,R. Taylor,13:28:50.645,J. Taylor,55.784,1:48.657,20_PitStops_Race.PDF,1,1
2017,14_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2017-07-09,201707091205_Race,10,4 J. Barbosa J. Barbosa 50.219 3:15.774 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,3,13:59:04.545,J. Taylor,13:59:57.102,J. Taylor,52.557,2:41.214,20_PitStops_Race.PDF,1,1
