year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp | 2.Ryan Dalziel
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Joao Barbosa,Christian Fittipaldi,,,,Mustang Sampling Racing Cadillac DPi | P | 1.Joao Barbosa | 2.Christian Fittipaldi
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Ricky Taylor,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Ricky Taylor | 2.Jordan Taylor
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,14,GTD,3GT Racing,Lexus RCF GT3,Scott Pruett,Sage Karam,,,,3GT Racing Lexus RCF GT3 | GTD | 1.Scott Pruett | 2.Sage Karam
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,15,GTD,3GT Racing,Lexus RCF GT3,Robert Alon,Jack Hawksworth,,,,3GT Racing Lexus RCF GT3 | GTD | 1.Robert Alon | 2.Jack Hawksworth
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,16,GTD,Change Racing,Lamborghini Huracan GT3,Jeroen Mul,Corey Lewis,,,,Change Racing Lamborghini Huracan GT3 | GTD | 1.Jeroen Mul | 2.Corey Lewis
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,20,PC,BAR1 Motorsports,ORECA FLM09,Don Yount,Buddy Rice,,,,BAR1 Motorsports ORECA FLM09 | PC | 1.Don Yount | 2.Buddy Rice
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,22,DPi,Tequila Patron ESM,Nissan P,Ed Brown,Johannes van Overbeek,,,,Tequila Patron ESM Nissan DPi | P | 1.Ed Brown | 2.Johannes van Overbeek
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,24,GTLM,BMW Team RLL,BMW M6,John Edwards,Martin Tomczyk,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.John Edwards | 2.Martin Tomczyk
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,25,GTLM,BMW Team RLL,BMW M6,Bill Auberlen,Alexander Sims,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.Bill Auberlen | 2.Alexander Sims
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,26,PC,BAR1 Motorsports,ORECA FLM09,Stefan Wilson,Nicholas Boulle,,,,BAR1 Motorsports ORECA FLM09 | PC | 1.Stefan Wilson | 2.Nicholas Boulle
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,28,GTD,Alegra Motorsports,Porsche 911 GT3 R,Daniel Morad,Mathieu Jaminet,,,,Alegra Motorsports Porsche 911 GT3 R | GTD | 1.Daniel Morad | 2.Mathieu Jaminet
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,31,DPi,Whelen Engineering Racing,Cadillac P,Dane Cameron,Eric Curran,,,,Whelen Engineering Racing Cadillac DPi | P | 1.Dane Cameron | 2.Eric Curran
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,33,GTD,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,,,,Riley Motorsports - Team AMG Mercedes-AMG GT3 | GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,38,PC,Performance Tech Motorsports,ORECA FLM09,James French,Patricio O'Ward,,,,Performance Tech Motorsports ORECA FLM09 | PC | 1.James French | 2.Patricio O'Ward
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,50,GTD,Riley Motorsports - WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Gunnar Jeannette,,,,Riley Motorsports - WeatherTech Racing Mercedes-AMG GT3 | GTD | 1.Cooper MacNeil | 2.Gunnar Jeannette
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,52,LMP2,PR1/Mathiasen Motorsports,Ligier P,Jose Gutierrez,Marco Bonanomi,,,,PR1/Mathiasen Motorsports Ligier LMP2 | P | 1.Jose Gutierrez | 2.Marco Bonanomi
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,54,GTD,CORE autosport,Porsche 911 GT3 R,Jonathan Bennett,Colin Braun,,,,CORE autosport Porsche 911 GT3 R | GTD | 1.Jonathan Bennett | 2.Colin Braun
