year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,1,P,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Jordan Taylor,1:57.198,9,25,,,104.4,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,P,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Ricky Taylor,1:57.684,31,48,0.486,0.486,104.0,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,3,P,2,Tequila Patron ESM,Nissan DPi,Ryan Dalziel,1:57.809,2,28,0.611,0.125,103.8,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,4,P,85,JDC-Miller Motorsports,ORECA LMP2,Stephen Simpson,1:57.851,27,51,0.653,0.042,103.8,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,5,P,5,Mustang Sampling Racing,Cadillac DPi,Joao Barbosa,1:58.048,28,51,0.850,0.197,103.7,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,6,P,22,Tequila Patron ESM,Nissan DPi,Johannes van Overbeek,1:58.370,29,67,1.172,0.322,103.3,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,7,P,31,Whelen Engineering Racing,Cadillac DPi,Dane Cameron,1:58.525,10,50,1.327,0.155,103.2,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,8,P,90,VisitFlorida Racing,Multimatic/Riley LMP2,Renger Van Der Zande,1:58.737,6,18,1.539,0.212,103.0,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,9,P,52,PR1/Mathiasen Motorsports,Ligier LMP2,Jose Gutierrez,1:58.826,15,35,1.628,0.089,103.0,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,10,P,52,PR1/Mathiasen Motorsports,Ligier LMP2,Marco Bonanomi,1:58.826,2,8,1.628,0.000,103.0,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,11,P,70,Mazda Motorsports,Mazda DPi,Tom Long,1:59.097,22,35,1.899,0.271,102.7,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,12,P,90,VisitFlorida Racing,Multimatic/Riley LMP2,Marc Goossens,1:59.231,33,45,2.033,0.134,102.6,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,13,P,2,Tequila Patron ESM,Nissan DPi,Scott Sharp,1:59.424,34,40,2.226,0.193,102.4,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,14,P,70,Mazda Motorsports,Mazda DPi,Joel Miller,1:59.450,4,17,2.252,0.026,102.4,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,15,P,31,Whelen Engineering Racing,Cadillac DPi,Eric Curran,1:59.465,7,23,2.267,0.015,102.4,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,16,P,5,Mustang Sampling Racing,Cadillac DPi,Christian Fittipaldi,1:59.841,5,22,2.643,0.376,102.1,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,17,P,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,2:00.019,9,16,2.821,0.178,101.9,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,18,P,85,JDC-Miller Motorsports,ORECA LMP2,Misha Goikhberg,2:00.463,10,22,3.265,0.444,101.5,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,19,PC,38,Performance Tech Motorsports,ORECA FLM09,Patricio O'Ward,2:02.500,6,35,5.302,2.037,99.9,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,20,PC,38,Performance Tech Motorsports,ORECA FLM09,James French,2:03.589,9,37,6.391,1.089,99.0,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,21,PC,26,BAR1 Motorsports,ORECA FLM09,Stefan Wilson,2:04.633,8,22,7.435,1.044,98.2,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,22,PC,26,BAR1 Motorsports,ORECA FLM09,Nicholas Boulle,2:04.635,13,49,7.437,0.002,98.1,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,23,P,55,Mazda Motorsports,Mazda DPi,Tristan Nunez,2:04.680,8,11,7.482,0.045,98.1,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,24,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Joey Hand,2:04.728,34,43,7.530,0.048,98.1,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,25,PC,20,BAR1 Motorsports,ORECA FLM09,Buddy Rice,2:04.770,10,26,7.572,0.042,98.1,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,26,GTLM,25,BMW Team RLL,BMW M6 GTLM,Bill Auberlen,2:04.974,7,17,7.776,0.204,97.9,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,27,GTLM,25,BMW Team RLL,BMW M6 GTLM,Alexander Sims,2:05.015,36,54,7.817,0.041,97.9,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,28,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,2:05.122,14,25,7.924,0.107,97.8,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,29,GTLM,24,BMW Team RLL,BMW M6 GTLM,Martin Tomczyk,2:05.295,8,18,8.097,0.173,97.6,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,30,GTLM,911,Porsche GT Team,Porsche 911 RSR,Patrick Pilet,2:05.386,6,53,8.188,0.091,97.6,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,31,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,2:05.438,12,48,8.240,0.052,97.5,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,32,GTLM,24,BMW Team RLL,BMW M6 GTLM,John Edwards,2:05.446,30,53,8.248,0.008,97.5,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,33,GTLM,911,Porsche GT Team,Porsche 911 RSR,Dirk Werner,2:05.510,13,18,8.312,0.064,97.4,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,34,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,2:05.646,5,36,8.448,0.136,97.4,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,35,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,2:06.119,6,23,8.921,0.473,97.0,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,36,PC,20,BAR1 Motorsports,ORECA FLM09,Don Yount,2:06.216,11,26,9.018,0.097,96.9,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,37,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Richard Westbrook,2:06.410,7,27,9.212,0.194,96.8,07_ Driver Fastest Lap.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,38,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,2:06.595,11,27,9.397,0.185,96.6,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,39,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Tommy Milner,2:06.610,15,16,9.412,0.015,96.6,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,40,GTD,28,Alegra Motorsports,Porsche 911 GT3 R,Mathieu Jaminet,2:08.685,24,47,11.487,2.075,95.1,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,41,GTD,75,SunEnergy1 Racing,Mercedes-AMG GT3,Tristan Vautier,2:08.708,26,47,11.510,0.023,95.0,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,42,GTD,96,Turner Motorsport,BMW M6 GT3,Jens Klingmann,2:08.734,23,49,11.536,0.026,95.0,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,43,GTD,48,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,2:08.775,22,47,11.577,0.041,95.0,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,44,GTD,86,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Jeff Segal,2:08.980,3,31,11.782,0.205,94.8,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,45,GTD,93,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Andy Lally,2:09.296,25,43,12.098,0.316,94.6,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,46,GTD,33,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Jeroen Bleekemolen,2:09.305,2,49,12.107,0.009,94.6,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,47,GTD,73,Park Place Motorsports,Porsche 911 GT3 R,Joerg Bergmeister,2:09.347,27,48,12.149,0.042,94.6,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,48,GTD,50,Riley Motorsports - WeatherTech Racing,Mercedes-AMG GT3,Gunnar Jeannette,2:09.367,28,49,12.169,0.020,94.6,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,49,GTD,15,3GT Racing,Lexus RCF GT3,Jack Hawksworth,2:09.398,21,48,12.200,0.031,94.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,50,GTD,63,Scuderia Corsa,Ferrari 488 GT3,Alessandro Balzan,2:09.496,17,49,12.298,0.098,94.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,51,GTD,54,CORE autosport,Porsche 911 GT3 R,Colin Braun,2:09.592,24,50,12.394,0.096,94.4,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,52,GTD,57,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,2:09.594,28,49,12.396,0.002,94.4,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,53,GTD,14,3GT Racing,Lexus RCF GT3,Sage Karam,2:09.693,24,47,12.495,0.099,94.3,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,54,GTD,80,Lone Star Racing,Mercedes-AMG GT3,Mike Skeen,2:09.821,25,50,12.623,0.128,94.2,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,55,GTD,48,Paul Miller Racing,Lamborghini Huracan GT3,Madison Snow,2:09.825,6,22,12.627,0.004,94.2,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,56,GTD,28,Alegra Motorsports,Porsche 911 GT3 R,Daniel Morad,2:09.881,12,22,12.683,0.056,94.2,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,57,GTD,73,Park Place Motorsports,Porsche 911 GT3 R,Patrick Lindsey,2:10.041,5,21,12.843,0.160,94.1,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,58,GTD,15,3GT Racing,Lexus RCF GT3,Robert Alon,2:10.087,5,21,12.889,0.046,94.0,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,59,GTD,57,Stevenson Motorsports,Audi R8 LMS GT3,Andrew Davis,2:10.204,7,20,13.006,0.117,94.0,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,60,GTD,86,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Oswaldo Negri Jr.,2:10.336,13,38,13.138,0.132,93.8,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,61,GTD,16,Change Racing,Lamborghini Huracan GT3,Corey Lewis,2:10.407,7,20,13.209,0.071,93.8,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,62,GTD,33,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,2:10.440,12,20,13.242,0.033,93.8,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,63,P,22,Tequila Patron ESM,Nissan DPi,Ed Brown,2:10.583,4,5,13.385,0.143,93.7,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,64,GTD,50,Riley Motorsports - WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,2:10.819,10,20,13.621,0.236,93.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,65,GTD,75,SunEnergy1 Racing,Mercedes-AMG GT3,Kenny Habul,2:10.856,20,22,13.658,0.037,93.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,66,GTD,93,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,2:10.889,6,26,13.691,0.033,93.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,67,GTD,63,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,2:10.950,5,20,13.752,0.061,93.4,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,68,GTD,14,3GT Racing,Lexus RCF GT3,Scott Pruett,2:11.259,5,22,14.061,0.309,93.2,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,69,GTD,991,TRG,Porsche 911 GT3 R,Parker Chase,2:11.744,24,47,14.546,0.485,92.8,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,70,GTD,96,Turner Motorsport,BMW M6 GT3,Bret Curtis,2:11.964,7,20,14.766,0.220,92.7,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,71,GTD,80,Lone Star Racing,Mercedes-AMG GT3,Dan Knox,2:12.340,7,19,15.142,0.376,92.4,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,72,GTD,991,TRG,Porsche 911 GT3 R,Harry Gottsacker,2:12.583,9,21,15.385,0.243,92.3,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,73,GTLM,912,Porsche GT Team,Porsche 911 RSR,Wolf Henzler,2:13.641,7,8,16.443,1.058,91.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,74,GTD,54,CORE autosport,Porsche 911 GT3 R,Jonathan Bennett,2:13.758,4,19,16.560,0.117,91.5,07_ Driver Fastest Lap.PDF,2
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,75,GTD,16,Change Racing,Lamborghini Huracan GT3,Jeroen Mul,,,2,,,,07_ Driver Fastest Lap.PDF,3
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,76,GTLM,912,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,,,2,,,,07_ Driver Fastest Lap.PDF,3
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,77,GTLM,62,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,,,1,,,,07_ Driver Fastest Lap.PDF,3
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,78,GTLM,62,Risi Competizione,Ferrari 488 GTE,Toni Vilander,,,,,,,07_ Driver Fastest Lap.PDF,3
