year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,1,1,10,P,,R. Taylor / J. Taylor,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,73,2:41:14.508,-,,,57,1:57.198,104.4,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,2,31,P,,D. Cameron / E. Curran,Whelen Engineering Racing,Cadillac DPi,73,2:41:33.363,18.855,18.855,,33,1:58.525,103.2,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,3,3,5,P,,J. Barbosa / C. Fittipaldi,Mustang Sampling Racing,Cadillac DPi,73,2:41:34.326,19.818,0.963,,50,1:58.048,103.6,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,4,4,85,P,,M. Goikhberg / S. Simpson,JDC-Miller Motorsports,ORECA LMP2,73,2:41:41.901,27.393,7.575,,49,1:57.851,103.8,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,5,5,22,P,,E. Brown / J. van Overbeek,Tequila Patron ESM,Nissan DPi,72,2:41:32.445,1 Lap,1,,34,1:58.370,103.4,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,6,1,38,PC,,J. French / P. O'Ward,Performance Tech Motorsports,ORECA FLM09,72,2:41:59.684,1 Lap,27.239,,43,2:02.500,99.9,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,7,1,3,GTLM,,J. Magnussen / A. Garcia,Corvette Racing,Chevrolet Corvette C7.R,71,2:41:41.332,2 Laps,1,,35,2:05.438,97.5,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,8,2,25,GTLM,,B. Auberlen / A. Sims,BMW Team RLL,BMW M6 GTLM,71,2:41:43.830,2 Laps,2.498,,34,2:04.974,97.9,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,9,2,26,PC,,S. Wilson / N. Boulle,BAR1 Motorsports,ORECA FLM09,71,2:41:53.936,2 Laps,10.106,,8,2:04.633,98.2,03_Results - Official.PDF,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,10,3,24,GTLM,,J. Edwards / M. Tomczyk,BMW Team RLL,BMW M6 GTLM,71,2:41:55.275,2 Laps,1.339,,35,2:05.295,97.6,03_Results - Official.PDF,1
