year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,1,1,Scott Sharp,2:29.933,54.588,48.980,46.365,81.6,2:29.933,,,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,2,1,Scott Sharp,3:39.177,1:14.560,1:25.051,59.566,55.8,6:09.110,219177,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,3,1,Scott Sharp,3:16.334,1:18.645,1:17.956,39.733,62.3,9:25.444,196334,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,4,1,Scott Sharp,2:04.686,46.574,46.375,31.737,98.1,11:30.130,124686,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,5,1,Scott Sharp,2:01.569,44.353,46.024,31.192,100.6,13:31.699,121569,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,6,1,Scott Sharp,2:00.622,43.768,45.709,31.145,101.4,15:32.321,120622,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,7,1,Scott Sharp,2:00.393,43.685,45.470,31.238,101.6,17:32.714,120393,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,8,1,Scott Sharp,2:00.778,43.682,45.867,31.229,101.3,19:33.492,120778,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,9,1,Scott Sharp,2:00.393,43.649,45.651,31.093,101.6,21:33.885,120393,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,10,1,Scott Sharp,2:01.206,43.734,46.180,31.292,100.9,23:35.091,121206,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,11,1,Scott Sharp,2:00.776,43.658,45.666,31.452,101.3,25:35.867,120776,0,0,1
2017,08_Circuit of the Americas,Circuit of the Americas,circuit-of-the-americas,2017-05-06,201705061335_Race,2,12,1,Scott Sharp,2:01.667,44.020,46.071,31.576,100.5,27:37.534,121667,0,0,1
