year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,1,5,1:41.427,0.000,0.000,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,2,31,1:41.879,0.452,0.452,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,3,13,1:42.922,1.495,1.495,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,4,10,1:43.319,1.892,1.892,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,5,85,1:44.913,3.486,3.486,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,6,22,1:46.835,5.408,5.408,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,7,55,1:47.199,5.772,5.772,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,8,2,1:48.003,6.576,6.576,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,9,70,1:48.013,6.586,6.586,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,10,90,1:48.841,7.414,7.414,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,11,26,1:51.696,10.269,10.269,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,12,38,1:52.335,10.908,10.908,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,13,81,1:54.113,12.686,12.686,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,14,88,1:54.460,13.033,13.033,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,15,66,1:54.559,13.132,13.132,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,16,62,1:54.705,13.278,13.278,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,17,8,1:55.541,14.114,14.114,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,18,20,1:55.935,14.508,14.508,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,19,67,1:56.567,15.140,15.140,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,20,68,1:56.745,15.318,15.318,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,21,3,1:57.196,15.769,15.769,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,22,911,1:57.487,16.060,16.060,,1,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,1,23,912,1:57.495,16.068,16.068,,1,1
