year,event_code,event_name,track_slug,race_date,session_directory,class_position,class,car_number,drivers,team,vehicle,laps,total_time,gap_to_class_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,1,P,10,R. Taylor / J. Taylor / M. Angelelli / J. Gordon,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,659,24:00:57.343,,,,164,1:36.394,132.9,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,2,P,5,J. Barbosa / C. Fittipaldi / F. Albuquerque,Mustang Sampling Racing,Cadillac DPi,659,24:00:58.014,0.671,0.671,,165,1:36.269,133.0,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,3,P,90,M. Goossens / R. Van Der Zande / R. Rast,VisitFlorida Racing,Multimatic/Riley,658,24:02:46.055,1 Laps,1 Laps,,124,1:39.183,129.1,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,4,P,2,S. Sharp / R. Dalziel / L. Derani,Tequila Patron ESM,Nissan DPi,656,24:02:24.774,3 Laps,2 Laps,,72,1:39.235,129.1,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,5,P,85,C. Miller / S. Simpson / M. Goikhberg M. Beche,JDC-Miller Motorsports,ORECA,646,24:01:47.001,13 Laps,10 Laps,,14,1:38.542,130.0,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,6,P,31,D. Cameron / E. Curran / M. Conway S. Morris,Whelen Engineering Racing,Cadillac DPi,639,24:01:26.135,20 Laps,7 Laps,,124,1:36.793,132.4,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,7,P,22,E. Brown / J. van Overbeek / B. Senna Lalli B. Hartley,Tequila Patron ESM,Nissan DPi,636,24:02:24.778,23 Laps,3 Laps,,36,1:37.832,130.9,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,8,P,13,S. Buemi / N. Heidfeld / N. Jani / S. Sarrazin,Rebellion Racing,ORECA,609,24:01:43.305,50 Laps,27 Laps,,20,1:37.440,131.5,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,9,P,52,M. Guasch / J. Gutierrez / R. Enerson T. Kimber-Smith,PR1/Mathiasen Motorsports,Ligier,584,24:02:12.801,75 Laps,25 Laps,,16,1:39.391,128.9,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,10,P,81,H. Hedman / N. Lapierre / B. Hanley / L. Duval,DragonSpeed,ORECA,562,21:00:07.672,97 Laps,22 Laps,Not Running,33,1:37.907,130.9,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,11,P,55,T. Nunez / J. Bomarito / S. Pigot,Mazda Motorsports,Mazda DPi,538,20:12:36.405,121 Laps,24 Laps,Not Running,15,1:39.457,128.8,05_Results by Class - Official.PDF,1
2017,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2017-01-28,201701281430_Race,12,P,70,T. Long / J. Miller / J. Hinchcliffe,Mazda Motorsports,Mazda DPi,462,23:45:36.632,197 Laps Patricio:,76 Laps,Not Running,32,1:39.646,128.6,05_Results by Class - Official.PDF,1
