year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,007,GTD,Aston Martin Aston,Martin Vantage GT3,James Davison,Brandon Davis,,,,Aston Martin 007 Aston Martin Vantage GT3 | GTD | 1.James Davison | 2.Brandon Davis
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,14,GTD,3GT Racing,Lexus RCF GT3,Sage Karam,Scott Pruett,,,,3GT Racing Lexus RCF GT3 | GTD | 1.Sage Karam | 2.Scott Pruett
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,15,GTD,3GT Racing,Lexus RCF GT3,Jack Hawksworth,Robert Alon,,,,3GT Racing Lexus RCF GT3 | GTD | 1.Jack Hawksworth | 2.Robert Alon
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,16,GTD,Change Racing Lamborghini,Huracan GT3,Jeroen Mul,Corey Lewis,,,,Change Racing Lamborghini Huracan GT3 | GTD | 1.Jeroen Mul | 2.Corey Lewis
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,23,GTD,Alex Job Racing,Audi R8 LMS GT3,Bill Sweedler,Townsend Bell,,,,Alex Job Racing Audi R8 LMS GT3 | GTD | 1.Bill Sweedler | 2.Townsend Bell
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,24,GTLM,BMW Team RLL,BMW M6,John Edwards,Martin Tomczyk,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.John Edwards | 2.Martin Tomczyk
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,25,GTLM,BMW Team RLL,BMW M6,Bill Auberlen,Alexander Sims,,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.Bill Auberlen | 2.Alexander Sims
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,28,GTD,Alegra Motorsports,Porsche 911 GT3 R,Patrick Long,Daniel Morad,,,,Alegra Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long | 2.Daniel Morad
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,33,GTD,Riley Motorsports - Team AMG,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,,,,Riley Motorsports - Team AMG Mercedes-AMG GT3 | GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,48,GTD,Paul Miller Racing Lamborghini,Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,50,GTD,Riley Motorsports - WeatherTech Racing,Mercedes-AMG GT3,Cooper MacNeil,Gunnar Jeannette,,,,Riley Motorsports - WeatherTech Mercedes-AMG GT3 | GTD | Racing | 1.Cooper MacNeil | 2.Gunnar Jeannette
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,54,GTD,CORE autosport,Porsche 911 GT3 R,Jonathan Bennett,Colin Braun,,,,CORE autosport Porsche 911 GT3 R | GTD | 1.Jonathan Bennett | 2.Colin Braun
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,57,GTD,Stevenson Motorsports,Audi R8 LMS GT3,Lawson Aschenbach,Andrew Davis,,,,Stevenson Motorsports Audi R8 LMS GT3 | GTD | 1.Lawson Aschenbach | 2.Andrew Davis
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Christina Nielsen,Alessandro Balzan,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Christina Nielsen | 2.Alessandro Balzan
