year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,01_Starting Grid - Official Revised.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/01_Starting%20Grid%20-%20Official%20Revised.PDF,pdfs/01_Starting Grid - Official Revised.PDF,6fbe880a0ac6e00bcd3f53ee6da851efcf298aec9e2bf33e6a448aeaf7973516,145081,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,01_Starting Grid - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/01_Starting%20Grid%20-%20Official.PDF,pdfs/01_Starting Grid - Official.PDF,e932ffb2fa7149cba5af3e7eabef0656c9a45b2230d3e781a3bcc9ce8b646fb7,144596,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,01_Starting Grid - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/01_Starting%20Grid%20-%20Provisional.PDF,pdfs/01_Starting Grid - Provisional.PDF,a4d4e12f8dcba091f2883232b53b8a6bba33362b6d5e82fe60ba692919cd5d4d,135436,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,01_Starting Grid by Number - Official Revised.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/01_Starting%20Grid%20by%20Number%20-%20Official%20Revised.PDF,pdfs/01_Starting Grid by Number - Official Revised.PDF,18856d35f452e9f26c7ef1ca91ae97617a5f7063f2bbd5e371ebb48f4f1f99fb,85018,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,01_Starting Grid by Number - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/01_Starting%20Grid%20by%20Number%20-%20Official.PDF,pdfs/01_Starting Grid by Number - Official.PDF,f18c006c5e405a244cbfb7cfba851e989d771c589d374dd32a89ef48beadec05,81037,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,01_Starting Grid by Number - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/01_Starting%20Grid%20by%20Number%20-%20Provisional.PDF,pdfs/01_Starting Grid by Number - Provisional.PDF,f592ee2bd87ef82cddd2010141ff8a51d891e28702380edb8391b76e13967080,80872,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,03_Results - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/03_Results%20-%20Official.PDF,pdfs/03_Results - Official.PDF,39bc4f5e992cc702ced22b1e1fbfbaa112dee8fb94be72e7f934cf4fabe415a5,241492,results,preferred,existing,reports-1,2,25,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,03_Results - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/03_Results%20-%20Provisional.PDF,pdfs/03_Results - Provisional.PDF,c0b27b863dd818cee00e0a29a083624173a1dd2909d0b9a881a6bed7e400f025,214866,results,alternate,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,03_Results - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/03_Results%20-%20Unofficial.PDF,pdfs/03_Results - Unofficial.PDF,6acfdf43754ede4bbc3bb0b2cfd38606011f9406be1d4b614d0aecc0d27e2d90,110830,results,alternate,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,05_Results by Class - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/05_Results%20by%20Class%20-%20Official.PDF,pdfs/05_Results by Class - Official.PDF,66e0cf1d5189f77d821c0a16cd36e110024f4e4da834d74462735a29c34f79ca,240498,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,05_Results by Class - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/05_Results%20by%20Class%20-%20Provisional.PDF,pdfs/05_Results by Class - Provisional.PDF,dae2fb39da1063c5ec788a5dbd8cbc5f98fb32144e5569f4eaa58d26553383dc,149482,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,05_Results by Class - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/05_Results%20by%20Class%20-%20Unofficial.PDF,pdfs/05_Results by Class - Unofficial.PDF,a2d8575aaab5158d55aadc3872638758b1c56dbb43fe17a7dcab6f61f7ae115f,106750,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,07_ Driver Fastest Lap.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/07_%20Driver%20Fastest%20Lap.PDF,pdfs/07_ Driver Fastest Lap.PDF,80a7144e20fbbc7ac6a3170badec2f88cc30f01a1d22c17be8acc95ea6d72c00,175205,fastest_laps_by_driver,preferred,existing,reports-1,2,50,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,07_Driver Fastest Lap Overall by Class.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/07_Driver%20Fastest%20Lap%20Overall%20by%20Class.PDF,pdfs/07_Driver Fastest Lap Overall by Class.PDF,433da77ee3b658e98860cf3dac372ebf4ba87821e9f5322ac3bd107d61a571ce,175369,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,07_Driver Fastest Lap Overall.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/07_Driver%20Fastest%20Lap%20Overall.PDF,pdfs/07_Driver Fastest Lap Overall.PDF,b5ab347efc8fcab818f409626896a2eb2186fd42f11f3214578564500c2b761b,175321,,unsupported,existing,,,,
2017,16_Lime Rock Park,Lime Rock Park,lime-rock-park,2017-07-22,201707221505_Race,12_LapChart.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/16_Lime%20Rock%20Park/01_IMSA%20WeatherTech%20SportsCar%20Championship/201707221505_Race/12_LapChart.PDF,pdfs/12_LapChart.PDF,beb3c1776272b6edc15db1c24daa58ed258c725dd6dd1bd537aaa1576a7b997b,434792,,unsupported,existing,,,,
