year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,1,P,52,PR1/Mathiasen Motorsports,Ligier LMP2,Olivier Pla,1:17.921,42,82,,,103.397,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,P,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Ricky Taylor,1:18.345,4,31,0.424,0.424,102.837,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,3,P,90,Visit Florida Racing,Ligier LMP2,Renger Van Der Zande,1:18.659,41,82,0.738,0.314,102.426,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,4,P,31,Whelen Engineering Racing,Cadillac DPi,Dane Cameron,1:18.683,30,84,0.762,0.024,102.395,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,5,P,5,Mustang Sampling Racing,Cadillac DPi,Joao Barbosa,1:18.819,45,86,0.898,0.136,102.218,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,6,P,22,Tequila Patron ESM,Nissan DPi,Luis Felipe Derani,1:18.821,20,62,0.900,0.002,102.216,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,7,P,85,JDC-Miller Motorsports,ORECA LMP2,Stephen Simpson,1:18.832,24,52,0.911,0.011,102.202,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,8,P,2,Tequila Patron ESM,Nissan DPi,Ryan Dalziel,1:18.997,67,81,1.076,0.165,101.988,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,9,P,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Jordan Taylor,1:19.020,42,83,1.099,0.023,101.958,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,10,P,5,Mustang Sampling Racing,Cadillac DPi,Christian Fittipaldi,1:19.086,5,28,1.165,0.066,101.873,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,11,P,31,Whelen Engineering Racing,Cadillac DPi,Eric Curran,1:19.616,6,30,1.695,0.530,101.195,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,12,P,90,Visit Florida Racing,Ligier LMP2,Marc Goossens,1:19.618,6,32,1.697,0.002,101.193,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,13,P,85,JDC-Miller Motorsports,ORECA LMP2,Misha Goikhberg,1:20.031,39,62,2.110,0.413,100.670,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,14,P,2,Tequila Patron ESM,Nissan DPi,Scott Sharp,1:20.339,5,33,2.418,0.308,100.285,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,15,P,22,Tequila Patron ESM,Nissan DPi,Johannes van Overbeek,1:20.405,43,51,2.484,0.066,100.202,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,16,P,52,PR1/Mathiasen Motorsports,Ligier LMP2,Jose Gutierrez,1:20.639,3,32,2.718,0.234,99.911,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,17,GTLM,62,Risi Competizione,Ferrari 488 GTE,Toni Vilander,1:23.038,44,81,5.117,2.399,97.025,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,18,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Richard Westbrook,1:23.440,38,81,5.519,0.402,96.557,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,19,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Joey Hand,1:23.595,48,81,5.674,0.155,96.378,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,20,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Tommy Milner,1:23.657,17,53,5.736,0.062,96.307,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,21,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,1:23.797,4,29,5.876,0.140,96.146,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,22,GTLM,25,BMW Team RLL,BMW M6 GTLM,Bill Auberlen,1:23.810,7,29,5.889,0.013,96.131,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,23,GTLM,25,BMW Team RLL,BMW M6 GTLM,Alexander Sims,1:23.875,44,79,5.954,0.065,96.057,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,24,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,1:23.996,38,78,6.075,0.121,95.918,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,25,GTLM,62,Risi Competizione,Ferrari 488 GTE,Giancarlo Fisichella,1:24.046,12,29,6.125,0.050,95.861,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,26,GTLM,24,BMW Team RLL,BMW M6 GTLM,Martin Tomczyk,1:24.069,6,29,6.148,0.023,95.835,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,27,GTLM,912,Porsche GT Team,Porsche 911 RSR,Gianmaria Bruni,1:24.070,39,80,6.149,0.001,95.834,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,28,GTLM,24,BMW Team RLL,BMW M6 GTLM,John Edwards,1:24.180,9,81,6.259,0.110,95.709,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,29,GTLM,911,Porsche GT Team,Porsche 911 RSR,Dirk Werner,1:24.184,10,79,6.263,0.004,95.704,07_ Driver Fastest Lap.PDF,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,30,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,1:24.432,5,29,6.511,0.248,95.423,07_ Driver Fastest Lap.PDF,1
