year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,Tequila Patron ESM | Nissan DPi P,1,14:54:30.979,S. Sharp,14:55:30.433,R. Dalziel,59.454,59.454,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,Tequila Patron ESM | Nissan DPi P,2,15:21:03.136,R. Dalziel,15:21:53.927,R. Dalziel,50.791,1:50.245,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,Tequila Patron ESM | Nissan DPi P,3,16:05:16.113,R. Dalziel,16:06:09.163,R. Dalziel,53.050,2:43.295,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,3,3 R. Dalziel R. Dalziel 53.050 2:43.295 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:55:11.738,J. Magnussen,14:56:06.058,A. Garcia,54.320,54.320,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,3,3 R. Dalziel R. Dalziel 53.050 2:43.295 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,15:32:54.249,A. Garcia,15:33:42.123,A. Garcia,47.874,1:42.194,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,3,3 R. Dalziel R. Dalziel 53.050 2:43.295 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,16:02:14.693,A. Garcia,16:02:48.327,A. Garcia,33.634,2:15.828,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,4,3 A. Garcia A. Garcia 33.634 2:15.828 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:49:29.354,O. Gavin,14:50:20.071,O. Gavin,50.717,50.717,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,4,3 A. Garcia A. Garcia 33.634 2:15.828 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,15:27:28.151,O. Gavin,15:28:23.796,T. Milner,55.645,1:46.362,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,4,3 A. Garcia A. Garcia 33.634 2:15.828 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,15:38:34.078,T. Milner,15:42:46.658,T. Milner,4:12.580,5:58.942,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,4,3 A. Garcia A. Garcia 33.634 2:15.828 | Corvette Racing | Chevrolet Corvette C7.R GTLM,4,16:39:34.125,T. Milner,16:40:11.552,T. Milner,37.427,6:36.369,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,5,4 T. Milner T. Milner 37.427 6:36.369 | Mustang Sampling Racing | Cadillac DPi P,1,14:47:00.254,C. Fittipaldi,14:47:55.669,J. Barbosa,55.415,55.415,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,5,4 T. Milner T. Milner 37.427 6:36.369 | Mustang Sampling Racing | Cadillac DPi P,2,15:28:23.190,J. Barbosa,15:29:17.801,J. Barbosa,54.611,1:50.026,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,5,4 T. Milner T. Milner 37.427 6:36.369 | Mustang Sampling Racing | Cadillac DPi P,3,16:05:12.154,J. Barbosa,16:06:01.535,J. Barbosa,49.381,2:39.407,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,10,3 J. Barbosa J. Barbosa 49.381 2:39.407 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,1,14:50:50.307,R. Taylor,14:51:49.006,J. Taylor,58.699,58.699,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,10,3 J. Barbosa J. Barbosa 49.381 2:39.407 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,2,15:29:42.161,J. Taylor,15:30:37.064,J. Taylor,54.903,1:53.602,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,10,3 J. Barbosa J. Barbosa 49.381 2:39.407 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,3,16:05:07.313,J. Taylor,16:06:04.044,J. Taylor,56.731,2:50.333,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,14,3 J. Taylor J. Taylor 56.731 2:50.333 | 3GT Racing | Lexus RCF GT3 GTD,1,14:56:29.975,S. Karam,14:57:24.393,R. Alon,54.418,54.418,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,14,3 J. Taylor J. Taylor 56.731 2:50.333 | 3GT Racing | Lexus RCF GT3 GTD,2,15:38:32.503,R. Alon,15:42:33.496,R. Alon,4:00.993,4:55.411,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,15,2 R. Alon R. Alon 4:00.993 4:55.411 | 3GT Racing | Lexus RCF GT3 GTD,1,14:55:09.133,S. Pruett,14:56:05.701,J. Hawksworth,56.568,56.568,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,15,2 R. Alon R. Alon 4:00.993 4:55.411 | 3GT Racing | Lexus RCF GT3 GTD,2,15:38:34.677,J. Hawksworth,15:39:31.450,J. Hawksworth,56.773,1:53.341,20_PitStops_Race.PDF,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,15,2 R. Alon R. Alon 4:00.993 4:55.411 | 3GT Racing | Lexus RCF GT3 GTD,3,16:49:16.346,J. Hawksworth,16:49:48.091,J. Hawksworth,31.745,2:25.086,20_PitStops_Race.PDF,1,1
