year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,01_Starting Grid - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/01_Starting%20Grid%20-%20Official.PDF,pdfs/01_Starting Grid - Official.PDF,77f383338ee745007aa21a1d7c15c0a64cf68cfdfedea0ec19d06cc82c16c105,198698,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,01_Starting Grid - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/01_Starting%20Grid%20-%20Provisional.PDF,pdfs/01_Starting Grid - Provisional.PDF,c88adf3d4309d48633efc20f602f0caabaf6c79f4207f1e6bad7e992bc13f0d8,141497,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,01_Starting Grid by Number - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/01_Starting%20Grid%20by%20Number%20-%20Official.PDF,pdfs/01_Starting Grid by Number - Official.PDF,46164d662e42a5ba1ec31fb08796119c8e04b51c380de529ea66f0111413d000,68192,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,01_Starting Grid by Number - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/01_Starting%20Grid%20by%20Number%20-%20Provisional.PDF,pdfs/01_Starting Grid by Number - Provisional.PDF,9bf1951f1eec83b671643197450cd1e7d7e698926fa52df6618a194275f33991,67289,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,03_Results - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/03_Results%20-%20Official.PDF,pdfs/03_Results - Official.PDF,ff3e9491592db2c78ae01c49051a7a37c8ff5c3ef020cef09afd3bd1a33cea6b,237715,results,preferred,existing,reports-1,2,33,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,03_Results - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/03_Results%20-%20Provisional.PDF,pdfs/03_Results - Provisional.PDF,4023261a57b8c3f51899d72b3896175a235db90952d4b3cd39f0478bd5b019cb,205393,results,alternate,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,03_Results - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/03_Results%20-%20Unofficial.PDF,pdfs/03_Results - Unofficial.PDF,d2887bf5953ce75c2be6088b6d1019f97591378c92a071a1ebcccb103b4eb4a3,146857,results,alternate,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,05_Results by Class - Official.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/05_Results%20by%20Class%20-%20Official.PDF,pdfs/05_Results by Class - Official.PDF,fbf5652efe178c5d8921f10400d6d2652ecfa796a396c9237404f2c19ce1fea4,237012,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,05_Results by Class - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/05_Results%20by%20Class%20-%20Provisional.PDF,pdfs/05_Results by Class - Provisional.PDF,4ccdf66dff92178d6cfc98eb9c68a3e7796620347c73d50004e6e9033bc59426,203136,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,05_Results by Class - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/05_Results%20by%20Class%20-%20Unofficial.PDF,pdfs/05_Results by Class - Unofficial.PDF,e8a8dfed00e3d0fbcc22f44812fee4088ad87e566cf8aeca857dad2fa0896902,95164,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,07_ Driver Fastest Lap.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/07_%20Driver%20Fastest%20Lap.PDF,pdfs/07_ Driver Fastest Lap.PDF,5dea89451287c08fdabc997dd6fcdded9cc2266dc2b31c0d1e79f419a60153f8,209635,fastest_laps_by_driver,preferred,existing,reports-1,2,66,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,07_Driver Fastest Lap Overall by Class.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/07_Driver%20Fastest%20Lap%20Overall%20by%20Class.PDF,pdfs/07_Driver Fastest Lap Overall by Class.PDF,ab57e7f4a804b587df40c0843fd2fc00b03f77b526afffa080d2c0660137a984,209739,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,07_Driver Fastest Lap Overall.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/07_Driver%20Fastest%20Lap%20Overall.PDF,pdfs/07_Driver Fastest Lap Overall.PDF,28b773f076a47610705bbfaa93ebbad3359f5a6f49790a53a9fc3b78e79cd10f,209675,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,12_LapChart.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/12_LapChart.PDF,pdfs/12_LapChart.PDF,a7209710ff99f9426e4dceae0ebcf18f5078413462d2225124a234e42e369077,249708,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,13_BestSectors_Race.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/13_BestSectors_Race.PDF,pdfs/13_BestSectors_Race.PDF,4bb5fc11490e14993075bdab17b3c2f0d1d8990fd06f21b43bee65a2276f136a,71453,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,15_EventMaxiumSpeed_Race.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/15_EventMaxiumSpeed_Race.PDF,pdfs/15_EventMaxiumSpeed_Race.PDF,a92964dc84e75e817b68d282bf7a42df8a160a5be3f772aa20a1d71e1e296410,70799,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,15_LeaderSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/15_LeaderSequence_Race.PDF,pdfs/15_LeaderSequence_Race.PDF,f7b14d40f033f87f69935b5ea666ca06f4c6ebeacc210ff8cec992e47e0bb5e6,62614,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,16_Average Distance And Speed.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/16_Average%20Distance%20And%20Speed.PDF,pdfs/16_Average Distance And Speed.PDF,ae86a9eddd8ad47db0375cd3634a480bef843bde7693d394ab1bdb7ece191f4d,75692,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,17_FastestLapSequence_Race.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/17_FastestLapSequence_Race.PDF,pdfs/17_FastestLapSequence_Race.PDF,978301f7aa588fd01c9329e974a12e6dfee757bdb0caf9d98f245e55da56d724,67167,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,19_AnalysisByLap_Race.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/19_AnalysisByLap_Race.PDF,pdfs/19_AnalysisByLap_Race.PDF,a86c0a496fc7c533048c7b116966698729a1efd73124753f3a26ddc9e2ef2dd5,732947,analysis_by_lap,preferred,existing,1,12,3533,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,20_Drive Time.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/20_Drive%20Time.PDF,pdfs/20_Drive Time.PDF,73e266fd531c65e2be7601608174fba472269a4476a6e9dfe99293f8d486e0b9,129649,drive_time,preferred,existing,reports-1,4,221,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,20_PitStops_Race.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/20_PitStops_Race.PDF,pdfs/20_PitStops_Race.PDF,f6b4ce669ee12a0fb71f0c46ba6f92b00eebe2ef18666c0d0e53e40e1c5914f9,136935,pit_stops,preferred,existing,reports-1,2,94,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,23_Time Cards.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/23_Time%20Cards.PDF,pdfs/23_Time Cards.PDF,42bba8e80fd3eeb5abae303ecf37a620ffca53599ef781450d2ff815ee19e48f,1612451,time_cards,preferred,existing,1,29,3533,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,26_Weather.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/26_Weather.PDF,pdfs/26_Weather.PDF,e71264a9847fa94bd291727bae756f49457b5e8927418755d6a27357d562b6b8,108514,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,99_DEKRA_Green_Racing_Award - Event - Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/99_DEKRA_Green_Racing_Award%20-%20Event%20-%20Provisional.PDF,pdfs/99_DEKRA_Green_Racing_Award - Event - Provisional.PDF,435fc8dc96a22151258c15128f33e295a771699c2427674c426d0a148b5d25ca,113692,,unsupported,existing,,,,
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,99_DEKRA_Green_Racing_Award - Event - Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/17_2017/23_Mazda%20Raceway%20Laguna%20Seca/01_IMSA%20WeatherTech%20SportsCar%20Championship/201709241405_Race/99_DEKRA_Green_Racing_Award%20-%20Event%20-%20Unofficial.PDF,pdfs/99_DEKRA_Green_Racing_Award - Event - Unofficial.PDF,69846073bae6209f7272d97f2cff060acd688dd165a50a91d0d2555817e9eaaa,41679,,unsupported,existing,,,,
