year,event_code,event_name,track_slug,race_date,session_directory,car_number,lap_number,driver_number,driver_name,lap_time,sector_1,sector_2,sector_3,speed_mph,elapsed_time,elapsed_delta_ms,elapsed_lap_time_difference_ms,pit_lane_crossing,source_page
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,1,1,Scott Sharp,1:24.524,32.590,33.452,18.482,95.318,1:24.524,,,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,2,1,Scott Sharp,1:21.810,30.735,32.476,18.599,98.487,2:46.334,81810,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,3,1,Scott Sharp,1:20.598,30.259,32.081,18.258,99.978,4:06.932,80598,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,4,1,Scott Sharp,1:20.354,30.347,31.863,18.144,100.289,5:27.286,80354,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,5,1,Scott Sharp,1:20.339,30.317,31.885,18.137,100.289,6:47.625,80339,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,6,1,Scott Sharp,1:20.557,30.066,32.292,18.199,100.040,8:08.182,80557,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,7,1,Scott Sharp,1:20.465,30.188,32.073,18.204,100.102,9:28.647,80465,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,8,1,Scott Sharp,1:20.866,30.324,32.163,18.379,99.605,10:49.513,80866,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,9,1,Scott Sharp,1:20.852,30.163,32.299,18.390,99.667,12:10.365,80852,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,10,1,Scott Sharp,1:22.881,31.506,32.476,18.899,97.182,13:33.246,82881,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,11,1,Scott Sharp,1:22.199,30.703,32.572,18.924,97.990,14:55.445,82199,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,12,1,Scott Sharp,1:23.149,31.774,32.901,18.474,96.871,16:18.594,83149,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,13,1,Scott Sharp,1:25.204,31.186,34.135,19.883,94.572,17:43.798,85204,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,14,1,Scott Sharp,1:23.022,31.072,33.276,18.674,97.058,19:06.820,83022,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,15,1,Scott Sharp,1:22.512,31.120,32.969,18.423,97.617,20:29.332,82512,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,16,1,Scott Sharp,1:21.805,30.885,32.395,18.525,98.487,21:51.137,81805,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,17,1,Scott Sharp,1:21.012,30.258,32.310,18.444,99.481,23:12.149,81012,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,18,1,Scott Sharp,1:21.151,30.429,32.292,18.430,99.295,24:33.300,81151,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,19,1,Scott Sharp,1:21.707,30.609,32.560,18.538,98.611,25:55.007,81707,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,20,1,Scott Sharp,1:22.107,30.604,32.851,18.652,98.114,27:17.114,82107,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,21,1,Scott Sharp,1:24.237,31.023,33.946,19.268,95.628,28:41.351,84237,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,22,1,Scott Sharp,1:21.605,30.556,32.477,18.572,98.735,30:02.956,81605,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,23,1,Scott Sharp,1:22.877,30.726,33.296,18.855,97.244,31:25.833,82877,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,24,1,Scott Sharp,1:25.659,32.488,33.768,19.403,94.075,32:51.492,85659,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,25,1,Scott Sharp,1:22.797,31.176,32.831,18.790,97.306,34:14.289,82797,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,26,1,Scott Sharp,1:23.216,30.733,33.301,19.182,96.809,35:37.505,83216,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,27,1,Scott Sharp,1:22.537,31.096,32.753,18.688,97.617,37:00.042,82537,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,28,1,Scott Sharp,1:24.502,31.530,33.575,19.397,95.318,38:24.544,84502,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,29,1,Scott Sharp,1:24.394,30.738,34.329,19.327,95.442,39:48.938,84394,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,30,1,Scott Sharp,1:22.833,30.729,33.070,19.034,97.244,41:11.771,82833,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,31,1,Scott Sharp,1:21.918,30.578,32.377,18.963,98.363,42:33.689,81918,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,32,1,Scott Sharp,1:22.818,30.805,33.310,18.703,97.306,43:56.507,82818,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,33,1,Scott Sharp,2:12.989,31.786,32.706,1:08.497,60.583,46:09.496,132989,0,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,34,2,Ryan Dalziel,1:27.487,36.185,32.863,18.439,92.087,47:36.983,87487,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,35,2,Ryan Dalziel,1:20.469,30.677,31.637,18.155,100.102,48:57.452,80469,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,36,2,Ryan Dalziel,1:20.634,30.140,31.802,18.692,99.916,50:18.086,80634,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,37,2,Ryan Dalziel,1:20.238,30.222,31.582,18.434,100.413,51:38.324,80238,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,38,2,Ryan Dalziel,1:19.733,30.003,31.583,18.147,101.034,52:58.057,79733,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,39,2,Ryan Dalziel,1:19.897,29.989,31.699,18.209,100.848,54:17.954,79897,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,40,2,Ryan Dalziel,1:19.965,30.093,31.776,18.096,100.724,55:37.919,79965,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,41,2,Ryan Dalziel,1:21.806,30.596,33.068,18.142,98.487,56:59.725,81806,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,42,2,Ryan Dalziel,1:20.804,30.508,31.901,18.395,99.730,58:20.529,80804,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,43,2,Ryan Dalziel,1:21.214,30.198,32.479,18.537,99.232,59:41.743,81214,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,44,2,Ryan Dalziel,1:20.986,30.319,32.184,18.483,99.481,1:01:02.729,80986,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,45,2,Ryan Dalziel,1:20.605,30.250,32.190,18.165,99.978,1:02:23.334,80605,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,46,2,Ryan Dalziel,1:20.723,30.226,32.172,18.325,99.792,1:03:44.057,80723,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,47,2,Ryan Dalziel,1:21.041,30.385,32.399,18.257,99.419,1:05:05.098,81041,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,48,2,Ryan Dalziel,1:22.525,30.698,33.026,18.801,97.617,1:06:27.623,82525,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,49,2,Ryan Dalziel,1:21.177,31.093,31.925,18.159,99.232,1:07:48.800,81177,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,50,2,Ryan Dalziel,1:21.262,30.149,32.386,18.727,99.170,1:09:10.062,81262,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,51,2,Ryan Dalziel,1:22.112,31.041,32.786,18.285,98.114,1:10:32.174,82112,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,52,2,Ryan Dalziel,2:00.815,30.488,32.166,58.161,66.673,1:12:32.989,120815,0,1,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,53,2,Ryan Dalziel,1:34.037,42.272,33.487,18.278,85.687,1:14:07.026,94037,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,54,2,Ryan Dalziel,1:20.539,30.109,31.594,18.836,100.040,1:15:27.565,80539,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,55,2,Ryan Dalziel,1:20.580,30.900,31.585,18.095,99.978,1:16:48.145,80580,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,56,2,Ryan Dalziel,1:19.110,29.816,31.325,17.969,101.842,1:18:07.255,79110,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,57,2,Ryan Dalziel,1:19.731,29.915,31.386,18.430,101.034,1:19:26.986,79731,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,58,2,Ryan Dalziel,1:20.081,30.317,31.613,18.151,100.599,1:20:47.067,80081,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,59,2,Ryan Dalziel,1:21.811,30.484,32.279,19.048,98.487,1:22:08.878,81811,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,60,2,Ryan Dalziel,1:23.004,30.219,33.401,19.384,97.058,1:23:31.882,83004,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,61,2,Ryan Dalziel,1:31.104,32.664,38.126,20.314,88.421,1:25:02.986,91104,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,62,2,Ryan Dalziel,1:58.581,36.803,51.883,29.895,67.915,1:27:01.567,118581,0,0,1
2017,23_Mazda Raceway Laguna Seca,Mazda Raceway Laguna Seca,mazda-raceway-laguna-seca,2017-09-24,201709241405_Race,2,63,2,Ryan Dalziel,2:31.832,1:04.262,57.706,29.864,53.065,1:29:33.399,151832,0,0,1
