year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,2,Tequila Patron ESM | Nissan DPi P,1,14:13:42.048,S. Sharp,14:14:58.255,S. Sharp,1:16.207,1:16.207,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,2,Tequila Patron ESM | Nissan DPi P,2,14:52:11.287,S. Sharp,14:53:26.210,R. Dalziel,1:14.923,2:31.130,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,2,Tequila Patron ESM | Nissan DPi P,3,15:25:10.617,R. Dalziel,15:26:18.085,R. Dalziel,1:07.468,3:38.598,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,3,3 R. Dalziel R. Dalziel 1:07.468 3:38.598 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:00:18.121,J. Magnussen,14:01:21.291,A. Garcia,1:03.170,1:03.170,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,3,3 R. Dalziel R. Dalziel 1:07.468 3:38.598 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,14:51:50.279,A. Garcia,14:53:06.735,A. Garcia,1:16.456,2:19.626,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,3,3 R. Dalziel R. Dalziel 1:07.468 3:38.598 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,15:29:45.290,A. Garcia,15:30:50.520,A. Garcia,1:05.230,3:24.856,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,3,3 R. Dalziel R. Dalziel 1:07.468 3:38.598 | Corvette Racing | Chevrolet Corvette C7.R GTLM,4,15:46:32.394,A. Garcia,15:47:11.863,A. Garcia,39.469,4:04.325,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,4,4 A. Garcia A. Garcia 39.469 4:04.325 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:27:49.630,O. Gavin,14:29:05.962,T. Milner,1:16.332,1:16.332,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,4,4 A. Garcia A. Garcia 39.469 4:04.325 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,15:29:41.640,T. Milner,15:30:59.256,T. Milner,1:17.616,2:33.948,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,5,2 T. Milner T. Milner 1:17.616 2:33.948 | Mustang Sampling Racing | Cadillac DPi P,1,14:15:46.907,C. Fittipaldi,14:17:01.467,J. Barbosa,1:14.560,1:14.560,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,5,2 T. Milner T. Milner 1:17.616 2:33.948 | Mustang Sampling Racing | Cadillac DPi P,2,14:19:01.316,J. Barbosa,14:20:38.415,J. Barbosa,1:37.099,2:51.659,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,5,2 T. Milner T. Milner 1:17.616 2:33.948 | Mustang Sampling Racing | Cadillac DPi P,3,14:57:53.046,J. Barbosa,14:59:04.052,J. Barbosa,1:11.006,4:02.665,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,5,2 T. Milner T. Milner 1:17.616 2:33.948 | Mustang Sampling Racing | Cadillac DPi P,4,15:32:57.005,J. Barbosa,15:34:02.939,J. Barbosa,1:05.934,5:08.599,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,10,4 J. Barbosa J. Barbosa 1:05.934 5:08.599 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,1,14:17:35.166,R. Taylor,14:18:46.423,R. Taylor,1:11.257,1:11.257,20_PitStops_Race.PDF,1,1
2017,17_Road America,Road America,road-america,2017-08-06,201708061335_Race,10,4 J. Barbosa J. Barbosa 1:05.934 5:08.599 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,2,14:55:53.978,R. Taylor,14:57:05.531,J. Taylor,1:11.553,2:22.810,20_PitStops_Race.PDF,1,1
