year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,results,rows,pass,39,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,results,positions,pass,39,"first=[1, 2, 3] last=[37, 38, 39]"
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,results,car_numbers,pass,39,not in entries: []
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,results,best_lap_time_card_match,pass,39/39,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,results,classified_laps_time_card_match,pass,39/39,official penalties and incomplete time cards can differ
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,fastest_laps_by_driver,rows,pass,117,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,fastest_laps_by_driver,positions,pass,117,"first=[1, 2, 3] last=[115, 116, 117]"
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,fastest_laps_by_driver,car_numbers,pass,39,not in entries: []
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,fastest_laps_by_driver,time_card_lap_match,pass,113/113,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,fastest_laps_by_driver,time_card_driver_match,pass,113/113,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,drive_time,rows,pass,910,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,drive_time,car_numbers,pass,39,not in entries: []
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,drive_time,segment_continuity,pass,871/871,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,pit_stops,rows,pass,431,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,pit_stops,car_numbers,pass,39,not in entries: []
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,pit_stops,clock_duration_match,pass,431/431,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,pit_stops,cumulative_duration_match,pass,431/431,
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,flags_analysis,source,not_available,0,report not published for this race
