year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,1,1,2,P,,S. Sharp / R. Dalziel / B. Hartley,Tequila Patron ESM,Nissan DPi,402,10:00:22.867,-,,,238,1:12.612,125.929,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,2,2,31,P,,D. Cameron / E. Curran / M. Conway,Whelen Engineering Racing,Cadillac DPi,402,10:00:30.500,7.633,7.633,,152,1:12.966,125.318,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,3,3,6,P,,J. Montoya / H. Castroneves S. Pagenaud,Team Penske,ORECA LMP2,402,10:00:30.925,8.058,0.425,,388,1:13.115,125.063,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,4,4,22,P,,J. van Overbeek / L. Derani / B. Senna,Tequila Patron ESM,Nissan DPi,402,10:00:42.152,19.285,11.227,,392,1:12.563,126.014,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,5,5,5,P,,J. Barbosa / C. Fittipaldi F. Albuquerque,Mustang Sampling Racing,Cadillac DPi,401,10:01:12.052,1 Lap,1,,214,1:13.076,125.129,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,6,6,85,P,,C. Miller / S. Simpson / M. Goikhberg,JDC-Miller Motorsports,ORECA LMP2,399,10:01:25.382,3 Laps,2 Laps,,116,1:13.241,124.848,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,7,1,25,GTLM,,B. Auberlen / A. Sims / K. Wittmer,BMW Team RLL,BMW M6 GTLM,392,10:00:27.647,10 Laps,7 Laps,,119,1:18.466,116.534,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,8,2,3,GTLM,,J. Magnussen / M. Rockenfeller A. Garcia,Corvette Racing,Chevrolet Corvette C7.R,392,10:00:28.707,10 Laps,1.060,,77,1:18.532,116.436,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,9,3,62,GTLM,,G. Fisichella / T. Vilander A. Pier Guidi,Risi Competizione,Ferrari 488 GTE,392,10:00:45.561,10 Laps,16.854,,279,1:18.431,116.586,03_Results - Official.PDF,1
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,10,4,4,GTLM,,O. Gavin / T. Milner / M. Fassler,Corvette Racing,Chevrolet Corvette C7.R,392,10:00:49.775,10 Laps,4.214,,273,1:18.663,116.242,03_Results - Official.PDF,1
