year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,profile,driver,total_track_time,total_pit_time,total_time,status,source_report,source_page,source_column
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,Tequila Patron ESM Nissan DPi,SEBRING P GTLM,Ryan Dalziel 37:17.299,6:33:27.749,7:10:45.048,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,Tequila Patron ESM Nissan DPi,SEBRING P GTLM,Luis Felipe Derani 50:39.474,1:00:59.542,1:51:39.016,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,Corvette Racing Chevrolet Corvette C7.R GTLM,SEBRING P GTLM,Antonio Garcia 5:46:46.172,3:58.480,5:50:44.652,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,Corvette Racing Chevrolet Corvette C7.R GTLM,SEBRING P GTLM,Jan Magnussen 3:52:07.747,2:53.012,3:55:00.759,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,Corvette Racing Chevrolet Corvette C7.R GTLM,SEBRING P GTLM,Mike Rockenfeller 2:06:49.856,1:50.772,2:08:40.628,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,Corvette Racing Chevrolet Corvette C7.R GTLM,SEBRING P GTLM,Tommy Milner 1:30:00.216,10:29:59.784,12:00:00.000,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,Mustang Sampling Racing Cadillac DPi,SEBRING P GTLM,Joao Barbosa 3:46:07.698,4:12.942,3:50:20.640,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,Mustang Sampling Racing Cadillac DPi,SEBRING P GTLM,Christian Fittipaldi 3:39:46.341,4:33.475,3:44:19.816,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,Mustang Sampling Racing Cadillac DPi,SEBRING P GTLM,Filipe Albuquerque 4:14:59.361,4:36.677,4:19:36.038,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,Starworks Motorsports ORECA FLM09,SEBRING PC GTD,Garett Grist 3:28:30.622,7:28.680,3:35:59.302,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,Starworks Motorsports ORECA FLM09,SEBRING PC GTD,Maxwell Hanratty 3:37:56.725,2:08.716,3:40:05.441,,,20_Drive Time.PDF,1,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,Starworks Motorsports ORECA FLM09,SEBRING PC GTD,Sean Rayhall 4:30:43.737,5:14.145,4:35:57.882,,,20_Drive Time.PDF,1,1
