year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,Luis Felipe Derani,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp 3.Luis Felipe Derani | 2.Ryan Dalziel
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,Jan Magnussen,Mike Rockenfeller,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Antonio Garcia 3.Mike Rockenfeller | 2.Jan Magnussen
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Joao Barbosa,Christian Fittipaldi,Filipe Albuquerque,,,Mustang Sampling Racing Cadillac DPi | P | 1.Joao Barbosa 3.Filipe Albuquerque | 2.Christian Fittipaldi
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,PC,Starworks Motorsports,ORECA FLM09,Garett Grist,Maxwell Hanratty,Sean Rayhall,,,Starworks Motorsports ORECA FLM09 | PC | 1.Garett Grist 3.Sean Rayhall | 2.Maxwell Hanratty
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Ricky Taylor,Jordan Taylor,Alexander Lynn,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Ricky Taylor 3.Alexander Lynn | 2.Jordan Taylor
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,11,GTD,GRT Grasser Racing Team,Lamborghini Huracan GT3,Christian Engelhart,Rolf Ineichen,Richard Antinucci,Mirko Bortolotti,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Christian Engelhart 3.Richard Antinucci | 2.Rolf Ineichen 4.Mirko Bortolotti
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,13,P,Rebellion Racing,ORECA,Sebastien Buemi,Nick Heidfeld,Neel Jani,,,Rebellion Racing ORECA | P | 1.Sebastien Buemi 3.Neel Jani | 2.Nick Heidfeld
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,14,GTD,3GT Racing,Lexus RCF GT3,Scott Pruett,Sage Karam,Ian James,,,3GT Racing Lexus RCF GT3 | GTD | 1.Scott Pruett 3.Ian James | 2.Sage Karam
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,15,GTD,3GT Racing,Lexus RCF GT3,Robert Alon,Jack Hawksworth,Austin Cindric,,,3GT Racing Lexus RCF GT3 | GTD | 1.Robert Alon 3.Austin Cindric | 2.Jack Hawksworth
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,16,GTD,Change Racing,Lamborghini Huracan GT3,Corey Lewis,Jeroen Mul,Brett Sandberg,,,Change Racing Lamborghini Huracan GT3 | GTD | 1.Corey Lewis 3.Brett Sandberg | 2.Jeroen Mul
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,18,GTD,DAC Motorsports,Lamborghini Huracan GT3,Emmanuel Anassis,Brandon Gdovic,Anthony Massari,,,DAC Motorsports Lamborghini Huracan GT3 | GTD | 1.Emmanuel Anassis 3.Anthony Massari | 2.Brandon Gdovic
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,20,PC,BAR1 Motorsports,ORECA FLM09,Don Yount,Buddy Rice,Daniel Burkett,Mark Kvamme,,BAR1 Motorsports ORECA FLM09 | PC | 1.Don Yount 3.Daniel Burkett | 2.Buddy Rice 4.Mark Kvamme
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,22,DPi,Tequila Patron ESM,Nissan P,Ed Brown,Johannes van Overbeek,Bruno Senna,Brendon Hartley,,Tequila Patron ESM Nissan DPi | P | 1.Ed Brown 3.Bruno Senna | 2.Johannes van Overbeek 4.Brendon Hartley
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,23,GTD,Alex Job Racing,Audi R8 LMS GT3,Bill Sweedler,Townsend Bell,Frank Montecalvo,,,Alex Job Racing Audi R8 LMS GT3 | GTD | 1.Bill Sweedler 3.Frank Montecalvo | 2.Townsend Bell
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,24,GTLM,BMW Team RLL,BMW M6,John Edwards,Martin Tomczyk,Nicky Catsburg,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.John Edwards 3.Nicky Catsburg | 2.Martin Tomczyk
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,25,GTLM,BMW Team RLL,BMW M6,Bill Auberlen,Alexander Sims,Kuno Wittmer,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.Bill Auberlen 3.Kuno Wittmer | 2.Alexander Sims
