year,event_code,event_name,track_slug,race_date,session_directory,class_position,class,car_number,drivers,team,vehicle,laps,total_time,gap_to_class_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,1,P,10,R. Taylor / J. Taylor / A. Lynn,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,348,12:01:09.681,,,,176,1:49.987,122.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,P,5,J. Barbosa / C. Fittipaldi / F. Albuquerque,Mustang Sampling Racing,Cadillac DPi,348,12:01:23.295,13.614,13.614,,175,1:50.414,121.9,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,P,31,D. Cameron / E. Curran / M. Conway,Whelen Engineering Racing,Cadillac DPi,346,12:01:47.156,2 Laps,2 Laps,,100,1:49.629,122.7,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,P,85,C. Miller / S. Simpson / M. Goikhberg,JDC-Miller Motorsports,ORECA,344,12:02:03.748,4 Laps,2 Laps,,6,1:51.005,121.2,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,P,55,T. Nunez / J. Bomarito / S. Pigot,Mazda Motorsports,Mazda DPi,319,12:01:27.955,29 Laps,25 Laps,,152,1:52.016,120.1,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,6,P,90,M. Goossens / R. Van Der Zande / R. Rast,VisitFlorida Racing,Multimatic/Riley,241,12:02:56.326,107 Laps,78 Laps,,22,1:51.174,121.1,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,7,P,52,M. Guasch / J. Gutierrez / T. Kimber-Smith,PR1/Mathiasen Motorsports,Ligier,205,11:07:06.921,143 Laps,36 Laps,Not Running,5,1:50.792,121.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,P,70,T. Long / J. Miller / M. Franchitti,Mazda Motorsports,Mazda DPi,180,7:42:48.469,168 Laps,25 Laps,Not Running,138,1:52.105,120.1,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,9,P,13,S. Buemi / N. Heidfeld / N. Jani,Rebellion Racing,ORECA,167,10:17:26.634,181 Laps,13 Laps,,108,1:50.245,122.0,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,10,P,22,E. Brown / J. van Overbeek / B. Senna / B. Hartley,Tequila Patron ESM,Nissan DPi,158,5:24:58.800,190 Laps,9 Laps,Not Running,6,1:50.953,121.3,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,11,P,2,S. Sharp / R. Dalziel / L. Derani,Tequila Patron ESM,Nissan DPi,47,6:07:11.347,301 Laps by O'Ward,111 Laps Patricio:,Not Running,6,1:51.083,121.1,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,1,PC,38,J. French / P. O'Ward / K. Masson,Performance Tech Motorsports,ORECA FLM09,338,12:02:02.243,,,,172,1:54.549,117.5,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,PC,8,G. Grist / M. Hanratty / S. Rayhall,Starworks Motorsports,ORECA FLM09,336,12:02:50.196,2 Laps,2 Laps,,40,1:56.266,115.7,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,PC,26,M. Drumwright / C. Ducote / G. Yacaman / C. Thompson,BAR 1 Motorsports,ORECA FLM09,328,12:02:54.193,10 Laps,8 Laps,,7,1:55.558,116.5,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,PC,20,D. Yount / B. Rice / D. Burkett / M. Kvamme,BAR1 Motorsports,ORECA FLM09,302,12:01:26.274,36 Laps Lap by Pilet,26 Laps Patrick:,,4,1:57.619,114.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,1,GTLM,3,A. Garcia / J. Magnussen / M. Rockenfeller,Corvette Racing,Chevrolet Corvette C7.R,334,12:01:22.097,,,,325,1:58.092,114.0,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,GTLM,66,D. Mueller / J. Hand / S. Bourdais,Ford Chip Ganassi Racing,Ford GT,334,12:01:26.550,4.453,4.453,,320,1:57.970,114.0,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,GTLM,62,T. Vilander / J. Calado / G. Fisichella,Risi Competizione,Ferrari 488 GTE,334,12:01:35.640,13.543,9.090,,170,1:58.539,113.5,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,GTLM,67,R. Briscoe / R. Westbrook / S. Dixon,Ford Chip Ganassi Racing,Ford GT,334,12:01:43.201,21.104,7.561,,109,1:58.138,113.9,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,GTLM,68,S. Mucke / O. Pla / B. Johnson,Ford Chip Ganassi Team UK,Ford GT,334,12:02:10.617,48.520,27.416,,46,1:57.898,114.2,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,6,GTLM,25,B. Auberlen / A. Sims / K. Wittmer,BMW Team RLL,BMW M6 GTLM,334,12:02:40.388,1:18.291,29.771,,47,1:58.862,113.2,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,7,GTLM,911,P. Pilet / D. Werner / F. Makowiecki,Porsche GT Team,Porsche 911 RSR,334,12:02:57.679,1:35.582,17.291,,319,1:57.764,114.3,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,GTLM,912,K. Estre / L. Vanthoor / R. Lietz,Porsche GT Team,Porsche 911 RSR,332,12:01:58.356,2 Laps,2 Laps,,315,1:58.376,113.7,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,9,GTLM,24,J. Edwards / M. Tomczyk / N. Catsburg,BMW Team RLL,BMW M6 GTLM,149,5:35:13.811,185 Laps,183 Laps,Not Running,5,1:59.133,113.0,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,10,GTLM,4,O. Gavin / T. Milner / M. Fassler,Corvette Racing,Chevrolet Corvette C7.R,42,1:33:14.483,292 Laps Bleekemolen,107 Laps Jeroen:,Not Running,7,1:58.189,113.8,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,1,GTD,33,B. Keating / J. Bleekemolen / M. Farnbacher,Riley Motorsports - Team AMG,Mercedes-AMG GT3,325,12:03:15.173,,,,76,2:01.629,110.6,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,2,GTD,63,C. Nielsen / A. Balzan / M. Cressoni,Scuderia Corsa,Ferrari 488 GT3,324,12:01:17.616,1 Laps,1 Laps,,63,2:01.814,110.5,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,3,GTD,75,T. Vautier / K. Habul / B. Said,SunEnergy1 Racing,Mercedes-AMG GT3,324,12:01:21.397,1 Laps,3.781,,177,2:01.927,110.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,4,GTD,29,C. De Phillippi / C. Mies / J. Gounon,Montaplast by Land-Motorsport,Audi R8 LMS GT3,324,12:01:22.978,1 Laps,1.581,,6,2:02.128,110.2,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,5,GTD,48,B. Sellers / M. Snow / D. von Moltke,Paul Miller Racing,Lamborghini Huracan GT3,324,12:01:24.496,1 Laps,1.518,,312,2:02.215,110.1,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,6,GTD,73,P. Lindsey / J. Bergmeister / M. McMurry / J. Heylen,Park Place Motorsports,Porsche 911 GT3 R,324,12:01:41.377,1 Laps,16.881,,312,2:02.982,109.4,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,7,GTD,57,L. Aschenbach / M. Bell / A. Davis,Stevenson Motorsports,Audi R8 LMS GT3,324,12:01:56.097,1 Laps,14.720,,305,2:01.991,110.3,05_Results by Class - Official.PDF,1
2017,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2017-03-18,201703181040_Race,8,GTD,86,J. Segal / O. Negri Jr. / T. Dyer,Michael Shank Racing w/ Curb-Agajanian,Acura NSX GT3,324,12:01:57.160,1 Laps,1.063,,49,2:03.123,109.3,05_Results by Class - Official.PDF,2
