year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:26:47.974,J. Magnussen,14:27:45.359,A. Garcia,57.385,57.385,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,15:24:21.024,A. Garcia,15:25:17.956,A. Garcia,56.932,1:54.317,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,4,2 A. Garcia A. Garcia 56.932 1:54.317 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:28:28.695,T. Milner,14:29:27.477,O. Gavin,58.782,58.782,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,4,2 A. Garcia A. Garcia 56.932 1:54.317 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,15:24:25.841,O. Gavin,15:25:23.324,T. Milner,57.483,1:56.265,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,4,2 A. Garcia A. Garcia 56.932 1:54.317 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,16:15:47.180,T. Milner,16:16:20.492,T. Milner,33.312,2:29.577,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,14,3 T. Milner T. Milner 33.312 2:29.577 | 3GT Racing | Lexus RCF GT3 GTD,1,14:19:54.456,S. Karam,14:21:20.778,S. Karam,1:26.322,1:26.322,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,14,3 T. Milner T. Milner 33.312 2:29.577 | 3GT Racing | Lexus RCF GT3 GTD,2,14:24:53.818,S. Karam,14:25:58.191,R. Alon,1:04.373,2:30.695,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,14,3 T. Milner T. Milner 33.312 2:29.577 | 3GT Racing | Lexus RCF GT3 GTD,3,15:19:34.053,R. Alon,15:20:43.124,S. Karam,1:09.071,3:39.766,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,15,3 R. Alon S. Karam 1:09.071 3:39.766 | 3GT Racing | Lexus RCF GT3 GTD,1,14:26:57.831,J. Hawksworth,14:28:00.824,J. Hawksworth,1:02.993,1:02.993,20_PitStops_Race.PDF,1,1
2017,19_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2017-08-27,201708271335_Race,15,3 R. Alon S. Karam 1:09.071 3:39.766 | 3GT Racing | Lexus RCF GT3 GTD,2,15:22:39.904,J. Hawksworth,15:23:45.264,S. Pruett,1:05.360,2:08.353,20_PitStops_Race.PDF,1,1
