year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,1,L. Derani,10:10:25,10:45:57,TRACK,35:32.725,35:32.725,35:32.725,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,L. Derani,10:45:57,10:47:01,PIT,1:03.935,35:32.725,36:36.660,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,2,L. Derani,10:47:01,11:25:39,TRACK,38:38.197,1:14:10.922,1:15:14.857,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,,11:25:39,11:26:48,PIT,1:08.366,,1:08.366,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,3,S. Sharp,11:26:48,11:57:15,TRACK,30:27.515,30:27.515,30:27.515,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,S. Sharp,11:57:15,12:00:12,PIT,2:56.791,30:27.515,33:24.306,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,4,S. Sharp,12:00:12,12:07:11,TRACK,6:59.000,37:26.515,40:23.306,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,S. Sharp,12:07:11,12:08:12,PIT,1:00.635,37:26.515,41:23.941,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,5,S. Sharp,12:08:12,12:12:17,TRACK,4:04.928,41:31.443,45:28.869,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,S. Sharp,12:12:17,12:13:50,PIT,1:33.131,41:31.443,47:02.000,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,6,S. Sharp,12:13:50,12:18:40,TRACK,4:50.037,46:21.480,51:52.037,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,S. Sharp,12:18:40,12:20:13,PIT,1:33.586,46:21.480,53:25.623,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,7,S. Sharp,12:20:13,12:57:28,TRACK,37:14.972,1:23:36.452,1:30:40.595,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,,12:57:28,12:58:33,PIT,1:04.265,,2:12.631,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,8,R. Dalziel,12:58:33,13:19:24,TRACK,20:51.349,20:51.349,20:51.349,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,R. Dalziel,13:19:24,13:19:54,PIT,29.956,20:51.349,21:21.305,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,9,R. Dalziel,13:19:54,13:53:36,TRACK,33:41.667,54:33.016,55:02.972,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,R. Dalziel,13:53:36,13:54:39,PIT,1:03.209,54:33.016,56:06.181,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,10,R. Dalziel,13:54:39,14:33:31,TRACK,38:52.314,1:33:25.330,1:34:58.495,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,,14:33:31,14:35:16,PIT,1:44.787,,3:57.418,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,11,L. Derani,14:35:16,14:38:32,TRACK,3:15.973,1:17:26.895,1:18:30.830,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,L. Derani,14:38:32,14:39:02,PIT,29.962,1:17:26.895,1:19:00.792,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,12,L. Derani,14:39:02,15:14:19,TRACK,35:17.084,1:52:43.979,1:54:17.876,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,L. Derani,15:14:19,15:15:33,PIT,1:13.783,1:52:43.979,1:55:31.659,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,13,L. Derani,15:15:33,15:35:19,TRACK,19:46.074,2:12:30.053,2:15:17.733,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,Tequila Patron ESM | Nissan DPi P,,L. Derani,15:35:19,16:11:43,PIT,36:24.350,2:12:30.053,2:51:42.083,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,A. Garcia,10:10:25,11:04:22,TRACK,53:57.607,53:57.607,53:57.607,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,A. Garcia,11:04:22,11:05:32,PIT,1:10.017,53:57.607,55:07.624,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,A. Garcia,11:05:32,12:03:40,TRACK,58:07.366,1:52:04.973,1:53:14.990,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,,12:03:40,12:04:48,PIT,1:08.085,,1:08.085,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,J. Magnussen,12:04:48,12:53:19,TRACK,48:31.553,48:31.553,48:31.553,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,J. Magnussen,12:53:19,12:54:18,PIT,58.866,48:31.553,49:30.419,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,4,J. Magnussen,12:54:18,13:35:15,TRACK,40:56.599,1:29:28.152,1:30:27.018,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,J. Magnussen,13:35:15,13:36:07,PIT,52.474,1:29:28.152,1:31:19.492,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,5,J. Magnussen,13:36:07,14:34:44,TRACK,58:36.565,2:28:04.717,2:29:56.057,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,,14:34:44,14:35:54,PIT,1:10.688,,2:18.773,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,6,A. Garcia,14:35:54,15:25:43,TRACK,49:48.827,2:41:53.800,2:43:03.817,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,A. Garcia,15:25:43,15:26:44,PIT,1:00.600,2:41:53.800,2:44:04.417,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,L. Derani 39:12.030 | Corvette Racing | Chevrolet Corvette C7.R GTLM,7,A. Garcia,15:26:44,16:11:57,TRACK,45:13.221,3:27:07.021,3:29:17.638,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,A. Garcia 2:10.617 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,T. Milner,10:10:25,11:02:26,TRACK,52:01.084,52:01.084,52:01.084,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,A. Garcia 2:10.617 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,11:02:26,11:03:33,PIT,1:07.850,52:01.084,53:08.934,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,A. Garcia 2:10.617 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,T. Milner,11:03:33,12:03:34,TRACK,1:00:01.006,1:52:02.090,1:53:09.940,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,A. Garcia 2:10.617 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,,12:03:34,12:04:42,PIT,1:07.833,,1:07.833,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,A. Garcia 2:10.617 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,O. Gavin,12:04:42,12:45:18,TRACK,40:35.838,40:35.838,40:35.838,20_Drive Time.PDF,1,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,A. Garcia 2:10.617 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,O. Gavin,12:45:18,12:46:17,PIT,58.449,40:35.838,41:34.287,20_Drive Time.PDF,1,2
