year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,1,P,52,PR1/Mathiasen Motorsports,Ligier LMP2,Olivier Pla,1:33.314,97,108,,,131.1,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,P,2,Tequila Patron ESM,Nissan DPi,Luis Felipe Derani,1:33.924,53,81,0.610,0.610,130.3,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,P,2,Tequila Patron ESM,Nissan DPi,Ryan Dalziel,1:34.273,23,51,0.959,0.349,129.8,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,P,31,Whelen Engineering Racing,Cadillac DPi,Dane Cameron,1:34.319,68,76,1.005,0.046,129.7,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,5,P,85,JDC-Miller Motorsports,ORECA LMP2,Stephen Simpson,1:34.333,46,93,1.019,0.014,129.7,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,6,P,31,Whelen Engineering Racing,Cadillac DPi,Eric Curran,1:34.411,95,98,1.097,0.078,129.6,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,7,P,31,Whelen Engineering Racing,Cadillac DPi,Filipe Albuquerque,1:34.427,12,16,1.113,0.016,129.6,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,8,P,5,Mustang Sampling Racing,Cadillac DPi,Joao Barbosa,1:34.457,61,66,1.143,0.030,129.5,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,9,P,5,Mustang Sampling Racing,Cadillac DPi,Filipe Albuquerque,1:34.520,59,69,1.206,0.063,129.4,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,10,P,55,Mazda Motorsports,Mazda DPi,Jonathan Bomarito,1:34.672,79,82,1.358,0.152,129.3,07_ Driver Fastest Lap.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,11,P,22,Tequila Patron ESM,Nissan DPi,Bruno Senna,1:34.713,54,72,1.399,0.041,129.2,07_ Driver Fastest Lap.PDF,1
