year,event_code,event_name,track_slug,race_date,session_directory,class_position,class,car_number,drivers,team,vehicle,laps,total_time,gap_to_class_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,1,P,5,J. Barbosa / C. Fittipaldi / F. Albuquerque,Mustang Sampling Racing,Cadillac DPi,200,6:01:18.592,,,,195,1:34.457,129.555,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,2,P,85,C. Miller / M. Goikhberg / S. Simpson,JDC-Miller Motorsports,ORECA LMP2,200,6:01:19.775,1.183,1.183,,85,1:34.333,129.742,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,3,P,55,T. Nunez / J. Bomarito / S. Pigot,Mazda Motorsports,Mazda DPi,200,6:01:27.138,8.546,7.363,,197,1:34.672,129.307,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,4,P,52,J. Gutierrez / O. Pla,PR1/Mathiasen Motorsports,Ligier LMP2,200,6:01:36.175,17.583,9.037,,189,1:33.314,131.171,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,5,P,90,M. Goossens / R. Van Der Zande,VisitFlorida Racing,Multimatic/Riley LMP2,198,6:01:42.819,2 Laps,2,,38,1:35.841,127.691,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,6,P,10,R. Taylor / J. Taylor,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,197,6:02:04.010,3 Laps,1,,120,1:34.812,129.120,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,7,P,2,S. Sharp / R. Dalziel / L. Derani,Tequila Patron ESM,Nissan DPi,177,5:38:43.253,23 Laps,20,Not Running,149,1:33.924,130.301,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,8,P,22,J. van Overbeek / B. Senna,Tequila Patron ESM,Nissan DPi,160,4:51:22.047,40 Laps,17,Not Running,99,1:34.713,129.245,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,9,P,70,T. Long / J. Miller / M. Franchitti,Mazda Motorsports,Mazda DPi,61,2:15:25.478,139 Laps,99,Not Running,21,1:35.745,127.816,05_Classification By Class Race - Official.PDF,1
2017,13_Watkins Glen International,Watkins Glen International,watkins-glen-international,2017-07-02,201707021010_Race,10,P,31,D. Cameron / E. Curran / F. Albuquerque,Whelen Engineering Racing,Cadillac DPi,,6:02:30.596,O'Ward,Patricio:,,166,1:34.319,129.742,05_Classification By Class Race - Official.PDF,1
