year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,1,S. Sharp,12:39:02,12:58:59,TRACK,19:56.771,19:56.771,19:56.771,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,,,12:58:59,12:59:42,PIT,43.211,,43.211,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,2,R. Dalziel,12:59:42,13:34:05,TRACK,34:22.596,34:22.596,34:22.596,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,,R. Dalziel,13:34:05,13:34:52,PIT,47.269,34:22.596,35:09.865,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,3,R. Dalziel,13:34:52,14:19:02,TRACK,44:10.153,1:18:32.749,1:19:20.018,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,5,R. Dalziel 47.269 | Mustang Sampling Racing | Cadillac DPi P,1,J. Barbosa,12:39:02,13:29:41,TRACK,50:38.716,50:38.716,50:38.716,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,5,R. Dalziel 47.269 | Mustang Sampling Racing | Cadillac DPi P,,,13:29:41,13:30:35,PIT,54.324,,54.324,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,5,R. Dalziel 47.269 | Mustang Sampling Racing | Cadillac DPi P,2,F. Albuquerque,13:30:35,14:19:02,TRACK,48:26.960,48:26.960,48:26.960,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,6,J. Barbosa 50:38.716 50:38.716 | Acura Team Penske | Acura DPi P,1,J. Montoya,12:39:02,12:58:55,TRACK,19:52.315,19:52.315,19:52.315,20_Drive Time_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,6,J. Barbosa 50:38.716 50:38.716 | Acura Team Penske | Acura DPi P,,,12:58:55,12:59:47,PIT,52.022,,52.022,20_Drive Time_Race.PDF,1,1
