year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp | 2.Ryan Dalziel
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Filipe Albuquerque,Joao Barbosa,,,,Mustang Sampling Racing Cadillac DPi | P | 1.Filipe Albuquerque | 2.Joao Barbosa
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,6,DPi,Acura Team Penske,Acura P,Dane Cameron,Juan Pablo Montoya,,,,Acura Team Penske Acura DPi | P | 1.Dane Cameron | 2.Juan Pablo Montoya
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,7,DPi,Acura Team Penske,Acura P,Helio Castroneves,Ricky Taylor,,,,Acura Team Penske Acura DPi | P | 1.Helio Castroneves | 2.Ricky Taylor
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Renger Van Der Zande | 2.Jordan Taylor
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann | 2.Kyle Marcelli
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,David Heinemeier Hansson,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.David Heinemeier Hansson
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,16,GTD,Wright Motorsports,Porsche 911 GT3 R,Michael Schein,Wolf Henzler,,,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Michael Schein | 2.Wolf Henzler
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,22,DPi,Tequila Patron ESM,Nissan P,Johannes van Overbeek,Pipo Derani,,,,Tequila Patron ESM Nissan DPi | P | 1.Johannes van Overbeek | 2.Pipo Derani
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,31,DPi,Whelen Engineering Racing,Cadillac P,Felipe Nasr,Eric Curran,,,,Whelen Engineering Racing Cadillac DPi | P | 1.Felipe Nasr | 2.Eric Curran
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,33,GTD,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,,,,Mercedes-AMG Team Riley Mercedes-AMG GT3 | Motorsports GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,44,GTD,Magnus Racing,Audi R8 LMS GT3,John Potter,Andy Lally,,,,Magnus Racing Audi R8 LMS GT3 | GTD | 1.John Potter | 2.Andy Lally
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,52,LMP2,AFS/PR1 Mathiasen Motorsports,Ligier P,Sebastian Saavedra,Gustavo Yacaman,,,,AFS/PR1 Mathiasen Motorsports Ligier LMP2 | P | 1.Sebastian Saavedra | 2.Gustavo Yacaman
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,54,LMP2,CORE autosport,ORECA P,Jonathan Bennett,Colin Braun,,,,CORE autosport ORECA LMP2 | P | 1.Jonathan Bennett | 2.Colin Braun
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,55,DPi,Mazda Team Joest,Mazda P,Jonathan Bomarito,Harry Tincknell,,,,Mazda Team Joest Mazda DPi | P | 1.Jonathan Bomarito | 2.Harry Tincknell
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,58,GTD,Wright Motorsports,Porsche 911 GT3 R,Patrick Long,Christina Nielsen,,,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long | 2.Christina Nielsen
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Jeff Segal,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil | 2.Jeff Segal
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,75,GTD,SunEnergy1 Racing,Mercedes-AMG GT3,Kenny Habul,Bernd Schneider,,,,SunEnergy1 Racing Mercedes-AMG GT3 | GTD | 1.Kenny Habul | 2.Bernd Schneider
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,77,DPi,Mazda Team Joest,Mazda P,Oliver Jarvis,Tristan Nunez,,,,Mazda Team Joest Mazda DPi | P | 1.Oliver Jarvis | 2.Tristan Nunez
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,85,LMP2,JDC-Miller Motorsports,ORECA P,Simon Trummer,Robert Alon,,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Simon Trummer | 2.Robert Alon
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,Mario Farnbacher,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Katherine Legge | 2.Mario Farnbacher
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,90,DPi,Spirit of Daytona Racing,Cadillac P,Matthew McMurry,Tristan Vautier,,,,Spirit of Daytona Racing Cadillac DPi | P | 1.Matthew McMurry | 2.Tristan Vautier
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,93,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Justin Marks,Lawson Aschenbach,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Justin Marks | 2.Lawson Aschenbach
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,99,LMP2,JDC-Miller Motorsports,ORECA P,Misha Goikhberg,Stephen Simpson,,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Misha Goikhberg | 2.Stephen Simpson
