year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,1,12:58:59.555,S. Sharp,12:59:42.766,R. Dalziel,43.211,43.211,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,Tequila Patron ESM | Nissan DPi P,2,13:34:05.362,R. Dalziel,13:34:52.631,R. Dalziel,47.269,1:30.480,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,5,2 R. Dalziel R. Dalziel 47.269 1:30.480 | Mustang Sampling Racing | Cadillac DPi P,1,13:29:41.500,J. Barbosa,13:30:35.824,F. Albuquerque,54.324,54.324,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,6,1 J. Barbosa F. Albuquerque 54.324 54.324 | Acura Team Penske | Acura DPi P,1,12:58:55.099,J. Montoya,12:59:47.121,D. Cameron,52.022,52.022,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,6,1 J. Barbosa F. Albuquerque 54.324 54.324 | Acura Team Penske | Acura DPi P,2,13:42:19.596,D. Cameron,13:43:12.212,D. Cameron,52.616,1:44.638,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,7,2 D. Cameron D. Cameron 52.616 1:44.638 | Acura Team Penske | Acura DPi P,1,12:58:55.665,H. Castroneves,12:59:44.373,R. Taylor,48.708,48.708,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,7,2 D. Cameron D. Cameron 52.616 1:44.638 | Acura Team Penske | Acura DPi P,2,13:43:44.312,R. Taylor,13:44:33.384,R. Taylor,49.072,1:37.780,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,10,2 R. Taylor R. Taylor 49.072 1:37.780 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,1,12:58:56.814,R. Van Der Zande,12:59:45.361,J. Taylor,48.547,48.547,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,10,2 R. Taylor R. Taylor 49.072 1:37.780 | Konica Minolta Cadillac DPi-V.R | Cadillac DPi P,2,13:34:08.367,J. Taylor,13:34:54.398,J. Taylor,46.031,1:34.578,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,14,2 J. Taylor J. Taylor 46.031 1:34.578 | 3GT Racing | Lexus RC F GT3 GTD,1,13:13:43.447,D. Baumann,13:14:35.981,K. Marcelli,52.534,52.534,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,16,1 D. Baumann K. Marcelli 52.534 52.534 | Wright Motorsports | Porsche 911 GT3 R GTD,1,13:19:54.498,M. Schein,13:20:51.949,W. Henzler,57.451,57.451,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,22,1 M. Schein W. Henzler 57.451 57.451 | Tequila Patron ESM | Nissan DPi P,1,12:46:39.540,P. Derani,12:47:14.755,P. Derani,35.215,35.215,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,22,1 M. Schein W. Henzler 57.451 57.451 | Tequila Patron ESM | Nissan DPi P,2,13:35:14.209,P. Derani,13:36:09.403,J. van Overbeek,55.194,1:30.409,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,31,2 P. Derani J. van Overbeek 55.194 1:30.409 | Whelen Engineering Racing | Cadillac DPi P,1,12:58:57.937,E. Curran,12:59:48.562,F. Nasr,50.625,50.625,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,31,2 P. Derani J. van Overbeek 55.194 1:30.409 | Whelen Engineering Racing | Cadillac DPi P,2,13:36:51.907,F. Nasr,13:37:37.117,F. Nasr,45.210,1:35.835,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,33,2 F. Nasr F. Nasr 45.210 1:35.835 | Mercedes-AMG Team Riley Motorsports | Mercedes-AMG GT3 GTD,1,13:01:49.053,B. Keating,13:02:33.918,B. Keating,44.865,44.865,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,33,2 F. Nasr F. Nasr 45.210 1:35.835 | Mercedes-AMG Team Riley Motorsports | Mercedes-AMG GT3 GTD,2,13:20:00.350,B. Keating,13:20:40.612,J. Bleekemolen,40.262,1:25.127,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,44,2 B. Keating J. Bleekemolen 40.262 1:25.127 | Magnus Racing | Audi R8 LMS GT3 GTD,1,13:02:05.353,J. Potter,13:02:51.173,J. Potter,45.820,45.820,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,44,2 B. Keating J. Bleekemolen 40.262 1:25.127 | Magnus Racing | Audi R8 LMS GT3 GTD,2,13:18:39.342,J. Potter,13:19:25.564,A. Lally,46.222,1:32.042,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,48,2 J. Potter A. Lally 46.222 1:32.042 | Paul Miller Racing | Lamborghini Huracan GT3 GTD,1,13:15:09.400,B. Sellers,13:16:00.839,M. Snow,51.439,51.439,20_Pit Stops Time Cards_Race.PDF,1,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,52,1 B. Sellers M. Snow 51.439 51.439 | AFS/PR1 Mathiasen Motorsports | Ligier LMP2 P,1,12:59:00.948,S. Saavedra,12:59:37.838,S. Saavedra,36.890,36.890,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,52,1 B. Sellers M. Snow 51.439 51.439 | AFS/PR1 Mathiasen Motorsports | Ligier LMP2 P,2,13:35:29.332,S. Saavedra,13:36:25.335,G. Yacaman,56.003,1:32.893,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,54,2 S. Saavedra G. Yacaman 56.003 1:32.893 | CORE autosport | ORECA LMP2 P,1,13:10:31.792,J. Bennett,13:11:20.523,C. Braun,48.731,48.731,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,54,2 S. Saavedra G. Yacaman 56.003 1:32.893 | CORE autosport | ORECA LMP2 P,2,13:47:51.105,C. Braun,13:48:44.112,J. Bennett,53.007,1:41.738,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,58,2 C. Braun J. Bennett 53.007 1:41.738 | Wright Motorsports | Porsche 911 GT3 R GTD,1,13:18:32.907,C. Nielsen,13:19:32.063,P. Long,59.156,59.156,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,63,1 C. Nielsen P. Long 59.156 59.156 | Scuderia Corsa | Ferrari 488 GT3 GTD,1,13:16:46.599,C. MacNeil,13:17:39.268,J. Segal,52.669,52.669,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,75,1 C. MacNeil J. Segal 52.669 52.669 | SunEnergy1 Racing | Mercedes-AMG GT3 GTD,1,13:21:25.749,K. Habul,13:22:21.962,B. Schneider,56.213,56.213,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,77,1 K. Habul B. Schneider 56.213 56.213 | Mazda Team Joest | Mazda DPi P,1,12:58:58.868,T. Nunez,12:59:46.308,O. Jarvis,47.440,47.440,20_Pit Stops Time Cards_Race.PDF,1,2
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,77,1 K. Habul B. Schneider 56.213 56.213 | Mazda Team Joest | Mazda DPi P,2,13:31:17.224,O. Jarvis,13:32:01.853,O. Jarvis,44.629,1:32.069,20_Pit Stops Time Cards_Race.PDF,1,2
