year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,1,1,31,P,,F. Nasr / E. Curran,Whelen Engineering Racing,Cadillac DPi,68,1:40:14.245,-,,,42,1:21.637,103.629,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,2,2,7,P,,H. Castroneves / R. Taylor,Acura Team Penske,Acura DPi,68,1:40:15.261,1.016,1.016,,41,1:22.375,102.700,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,3,3,6,P,,D. Cameron / J. Montoya,Acura Team Penske,Acura DPi,68,1:40:28.372,14.127,13.111,,38,1:21.818,103.399,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,4,4,2,P,,S. Sharp / R. Dalziel,Tequila Patron ESM,Nissan DPi,68,1:40:59.943,45.698,31.571,,52,1:22.862,102.097,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,5,5,10,P,,R. Van Der Zande / J. Taylor,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,68,1:41:03.815,49.570,3.872,,34,1:22.754,102.230,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,6,6,5,P,,F. Albuquerque / J. Barbosa,Mustang Sampling Racing,Cadillac DPi,68,1:41:04.909,50.664,1.094,,41,1:22.590,102.433,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,7,7,22,P,,J. van Overbeek / P. Derani,Tequila Patron ESM,Nissan DPi,68,1:41:13.771,59.526,8.862,,34,1:21.968,103.210,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,8,8,52,P,,S. Saavedra / G. Yacaman,AFS/PR1 Mathiasen Motorsports,Ligier LMP2,68,1:41:30.776,1:16.531,17.005,,55,1:22.999,101.928,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,9,9,77,P,,O. Jarvis / T. Nunez,Mazda Team Joest,Mazda DPi,67,1:39:18.556,1 Lap,1,Not Running,53,1:22.192,102.929,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,10,10,85,P,,S. Trummer / R. Alon,JDC-Miller Motorsports,ORECA LMP2,67,1:40:30.576,1 Lap,1:12.020,,29,1:21.955,103.227,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,11,11,99,P,,M. Goikhberg / S. Simpson,JDC-Miller Motorsports,ORECA LMP2,67,1:40:42.537,1 Lap,11.961,,46,1:22.595,102.427,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,12,12,54,P,,J. Bennett / C. Braun,CORE autosport,ORECA LMP2,66,1:40:30.206,2 Laps,1,,43,1:22.436,102.624,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,13,1,86,GTD,,K. Legge / M. Farnbacher,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,65,1:41:37.628,3 Laps,1,,53,1:29.181,94.862,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,14,2,93,GTD,,J. Marks / L. Aschenbach,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,65,1:41:47.274,3 Laps,9.646,,50,1:29.445,94.582,03_Results_Race_Official.PDF,1
2018,10_Belle Isle Street Circuit,Belle Isle Street Circuit,belle-isle-street-circuit,2018-06-02,201806021240_Race,15,3,48,GTD,,B. Sellers / M. Snow,Paul Miller Racing,Lamborghini Huracan GT3,64,1:40:18.411,4 Laps,1,,38,1:29.225,94.816,03_Results_Race_Official.PDF,1
