year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,J. Magnussen,14:05:39,14:30:57,TRACK,25:18.114,25:18.114,25:18.114,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,J. Magnussen,14:30:57,14:31:41,PIT,43.650,25:18.114,26:01.764,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,J. Magnussen,14:31:41,15:18:47,TRACK,47:06.148,1:12:24.262,1:13:07.912,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,15:18:47,15:19:33,PIT,46.422,,46.422,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,A. Garcia,15:19:33,15:50:28,TRACK,30:54.948,30:54.948,30:54.948,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,A. Garcia,15:50:28,15:51:13,PIT,44.609,30:54.948,31:39.557,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,4,A. Garcia,15:51:13,16:45:39,TRACK,54:26.109,1:25:21.057,1:26:05.666,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,O. Gavin,14:05:39,14:31:00,TRACK,25:20.917,25:20.917,25:20.917,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,O. Gavin,14:31:00,14:31:43,PIT,42.848,25:20.917,26:03.765,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,O. Gavin,14:31:43,15:18:48,TRACK,47:05.470,1:12:26.387,1:13:09.235,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,,15:18:48,15:19:40,PIT,52.071,,52.071,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,T. Milner,15:19:40,16:09:41,TRACK,50:00.485,50:00.485,50:00.485,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,16:09:41,16:10:22,PIT,40.983,50:00.485,50:41.468,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,A. Garcia 44.609 | Corvette Racing | Chevrolet Corvette C7.R GTLM,4,T. Milner,16:10:22,16:45:39,TRACK,35:17.226,1:25:17.711,1:25:58.694,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,1,C. Fittipaldi,14:05:39,14:26:53,TRACK,21:13.907,21:13.907,21:13.907,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,,C. Fittipaldi,14:26:53,14:27:20,PIT,26.871,21:13.907,21:40.778,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,2,C. Fittipaldi,14:27:20,14:30:58,TRACK,3:38.593,24:52.500,25:19.371,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,,,14:30:58,14:31:50,PIT,51.573,,51.573,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,3,F. Albuquerque,14:31:50,15:18:42,TRACK,46:52.210,46:52.210,46:52.210,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,,F. Albuquerque,15:18:42,15:19:34,PIT,52.317,46:52.210,47:44.527,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,4,F. Albuquerque,15:19:34,16:07:50,TRACK,48:16.037,1:35:08.247,1:36:00.564,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,,F. Albuquerque,16:07:50,16:08:45,PIT,54.706,1:35:08.247,1:36:55.270,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,T. Milner 40.983 | Mustang Sampling Racing | Cadillac DPi P,5,F. Albuquerque,16:08:45,16:45:39,TRACK,36:53.786,2:12:02.033,2:13:49.056,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,6,C. Fittipaldi 24:52.500 26.871 25:19.371 | Acura Team Penske | Acura DPi P,1,D. Cameron,14:05:39,14:56:07,TRACK,50:27.742,50:27.742,50:27.742,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,6,C. Fittipaldi 24:52.500 26.871 25:19.371 | Acura Team Penske | Acura DPi P,,D. Cameron,14:56:07,14:57:04,PIT,57.237,50:27.742,51:24.979,20_Drive Time_Race.PDF,1,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,6,C. Fittipaldi 24:52.500 26.871 25:19.371 | Acura Team Penske | Acura DPi P,2,D. Cameron,14:57:04,15:18:44,TRACK,21:40.594,1:12:08.336,1:13:05.573,20_Drive Time_Race.PDF,1,1
