year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,1,1,54,P,,J. Bennett / C. Braun,CORE autosport,ORECA LMP2,116,2:40:32.557,-,,,112,1:07.560,131.030,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,2,2,10,P,,R. Van Der Zande / J. Taylor,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,116,2:40:35.988,3.431,3.431,,113,1:08.165,129.867,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,3,31,P,,F. Nasr / E. Curran,Whelen Engineering Racing,Cadillac DPi,116,2:40:37.223,4.666,1.235,,113,1:08.318,129.576,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,4,5,P,,F. Albuquerque / C. Fittipaldi,Mustang Sampling Racing,Cadillac DPi,116,2:40:39.214,6.657,1.991,,93,1:08.195,129.810,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,5,7,P,,H. Castroneves / R. Taylor,Acura Team Penske,Acura DPi,116,2:40:39.393,6.836,0.179,,112,1:08.453,129.320,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,6,6,77,P,,O. Jarvis / T. Nunez,Mazda Team Joest,Mazda DPi,116,2:40:42.010,9.453,2.617,,94,1:08.140,129.914,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,7,7,99,P,,M. Goikhberg / S. Simpson,JDC-Miller Motorsports,ORECA LMP2,116,2:40:43.751,11.194,1.741,,94,1:07.947,130.283,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,8,8,85,P,,S. Trummer / R. Alon,JDC-Miller Motorsports,ORECA LMP2,116,2:40:44.392,11.835,0.641,,94,1:07.686,130.786,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,9,9,52,P,,S. Saavedra / G. Yacaman,AFS/PR1 Mathiasen Motorsports,Ligier LMP2,114,2:40:47.715,2 Laps,2,,68,1:08.508,129.216,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,10,1,67,GTLM,,R. Briscoe / R. Westbrook,Ford Chip Ganassi Racing,Ford GT,112,2:41:29.776,4 Laps,2,,108,1:15.364,117.461,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,11,2,3,GTLM,,J. Magnussen / A. Garcia,Corvette Racing,Chevrolet Corvette C7.R,112,2:41:34.655,4 Laps,4.879,,6,1:15.428,117.362,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,12,3,4,GTLM,,O. Gavin / T. Milner,Corvette Racing,Chevrolet Corvette C7.R,112,2:41:34.883,4 Laps,0.228,,108,1:15.169,117.766,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,13,4,911,GTLM,,N. Tandy / P. Pilet,Porsche GT Team,Porsche 911 RSR,112,2:41:38.772,4 Laps,3.889,,6,1:14.961,118.093,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,14,5,66,GTLM,,J. Hand / D. Mueller,Ford Chip Ganassi Racing,Ford GT,112,2:41:40.553,4 Laps,1.781,,66,1:15.669,116.988,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,15,6,912,GTLM,,L. Vanthoor / E. Bamber,Porsche GT Team,Porsche 911 RSR,112,2:41:41.337,4 Laps,0.784,,4,1:15.565,117.149,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,16,7,25,GTLM,,A. Sims / C. De Phillippi,BMW Team RLL,BMW M8 GTE,112,2:41:43.522,4 Laps,2.185,,8,1:15.919,116.603,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,17,10,6,P,,D. Cameron / J. Montoya,Acura Team Penske,Acura DPi,111,2:40:44.539,5 Laps,1,,41,1:07.259,131.616,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,18,1,33,GTD,,B. Keating / J. Bleekemolen,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,107,2:40:35.948,9 Laps,4,,73,1:17.154,114.736,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,19,2,14,GTD,,D. Baumann / K. Marcelli,3GT Racing,Lexus RC F GT3,107,2:40:38.867,9 Laps,2.919,,70,1:17.053,114.887,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,20,3,44,GTD,,J. Potter / A. Lally,Magnus Racing,Audi R8 LMS GT3,107,2:40:38.962,9 Laps,0.095,,70,1:17.828,113.743,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,21,4,48,GTD,,B. Sellers / M. Snow,Paul Miller Racing,Lamborghini Huracan GT3,107,2:40:44.744,9 Laps,5.782,,29,1:17.789,113.800,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,22,5,86,GTD,,K. Legge / A. Parente,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,107,2:40:50.858,9 Laps,6.114,,40,1:17.536,114.171,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,23,6,93,GTD,,J. Marks / L. Aschenbach,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,107,2:40:51.553,9 Laps,0.695,,77,1:17.901,113.636,03_Results_Race_Official.PDF,1
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,24,7,15,GTD,,J. Hawksworth / D. Heinemeier Hansson,3GT Racing,Lexus RC F GT3,107,2:41:18.485,9 Laps,26.932,,70,1:16.919,115.087,03_Results_Race_Official.PDF,1
