year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,Olivier Pla,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp 3.Olivier Pla | 2.Ryan Dalziel
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,Mike Rockenfeller,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Mike Rockenfeller | 2.Antonio Garcia
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Filipe Albuquerque,Joao Barbosa,Christian Fittipaldi,,,Mustang Sampling Racing Cadillac DPi | P | 1.Filipe Albuquerque 3.Christian Fittipaldi | 2.Joao Barbosa
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,6,DPi,Acura Team Penske,Acura P,Dane Cameron,Juan Pablo Montoya,Simon Pagenaud,,,Acura Team Penske Acura DPi | P | 1.Dane Cameron 3.Simon Pagenaud | 2.Juan Pablo Montoya
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,7,DPi,Acura Team Penske,Acura P,Helio Castroneves,Ricky Taylor,Graham Rahal,,,Acura Team Penske Acura DPi | P | 1.Helio Castroneves 3.Graham Rahal | 2.Ricky Taylor
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Jordan Taylor,Renger Van Der Zande,Ryan Hunter-Reay,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Jordan Taylor 3.Ryan Hunter-Reay | 2.Renger Van Der Zande
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,11,GTD,GRT Grasser Racing Team Lamborghini,Huracan GT3,Rolf Ineichen,Mirko Bortolotti,Franck Perera,Rik Breukers,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Rolf Ineichen 3.Franck Perera | 2.Mirko Bortolotti 4.Rik Breukers
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,Philipp Frommenwiler,Bruno Junqueira,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann 3.Philipp Frommenwiler | 2.Kyle Marcelli 4.Bruno Junqueira
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,David Heinemeier Hansson,Scott Pruett,Dominik Farnbacher,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth 3.Scott Pruett | 2.David Heinemeier Hansson 4.Dominik Farnbacher
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,19,GTD,GRT Grasser Racing Team Lamborghini,Huracan GT3,Max van Splunteren,Ezequiel Perez Companc,Christian Engelhart,Christopher Lenz,Louis Machiels,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Max van Splunteren 3.Christian Engelhart 5.Louis Machiels | 2.Ezequiel Perez Companc 4.Christopher Lenz
