year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,1,15:13:34.133,R. Dalziel,15:14:46.819,R. Dalziel,1:12.686,1:12.686,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,2,15:51:12.202,R. Dalziel,15:52:28.566,O. Pla,1:16.364,2:29.050,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,3,16:24:21.023,O. Pla,16:25:36.149,O. Pla,1:15.126,3:44.176,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,4,17:00:17.774,O. Pla,17:01:44.049,S. Sharp,1:26.275,5:10.451,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,5,17:48:46.633,S. Sharp,17:50:00.112,S. Sharp,1:13.479,6:23.930,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,6,18:24:50.368,S. Sharp,18:26:06.609,R. Dalziel,1:16.241,7:40.171,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,7,19:02:46.546,R. Dalziel,19:04:01.890,R. Dalziel,1:15.344,8:55.515,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,8,19:40:37.398,R. Dalziel,19:41:54.827,O. Pla,1:17.429,10:12.944,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,9,19:49:18.121,O. Pla,19:50:29.695,O. Pla,1:11.574,11:24.518,20_Pit Stop Time Cards.PDF,1,1
2018,03_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2018-01-27,201801271440_Race,2,Tequila Patron ESM | Nissan DPi P,10,20:22:29.710,O. Pla,20:23:46.767,O. Pla,1:17.057,12:41.575,20_Pit Stop Time Cards.PDF,1,1
