year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,1,GTLM,911,Porsche GT Team,Porsche 911 RSR,Nick Tandy,50.834,64,109,,,104.386,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,2,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Joey Hand,50.991,65,115,0.157,0.157,104.065,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,3,GTLM,912,Porsche GT Team,Porsche 911 RSR,Earl Bamber,50.993,13,112,0.159,0.002,104.061,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,4,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,51.156,7,126,0.322,0.163,103.729,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,5,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,51.181,14,113,0.347,0.025,103.678,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,6,GTLM,25,BMW Team RLL,BMW M8 GTE,Alexander Sims,51.227,4,89,0.393,0.046,103.585,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,7,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,51.248,49,110,0.414,0.021,103.543,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,8,GTLM,24,BMW Team RLL,BMW M8 GTE,Jesse Krohn,51.267,57,67,0.433,0.019,103.504,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,9,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,51.292,16,63,0.458,0.025,103.454,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,10,GTLM,3,Corvette Racing,Chevrolet Corvette C7.R,Antonio Garcia,51.309,24,65,0.475,0.017,103.420,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,11,GTLM,4,Corvette Racing,Chevrolet Corvette C7.R,Tommy Milner,51.326,16,68,0.492,0.017,103.385,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,12,GTLM,912,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,51.342,17,66,0.508,0.016,103.353,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,13,GTLM,24,BMW Team RLL,BMW M8 GTE,John Edwards,51.494,14,62,0.660,0.152,103.048,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,14,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Richard Westbrook,51.498,14,52,0.664,0.004,103.040,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,15,GTLM,911,Porsche GT Team,Porsche 911 RSR,Patrick Pilet,51.519,16,69,0.685,0.021,102.998,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,16,GTLM,25,BMW Team RLL,BMW M8 GTE,Connor De Phillippi,51.570,20,87,0.736,0.051,102.896,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,17,GTD,15,3GT Racing,Lexus RC F GT3,Jack Hawksworth,52.145,45,110,1.311,0.575,101.762,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,18,GTD,14,3GT Racing,Lexus RC F GT3,Kyle Marcelli,52.343,54,125,1.509,0.198,101.377,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,19,GTD,44,Magnus Racing,Audi R8 LMS GT3,Andy Lally,52.474,67,126,1.640,0.131,101.124,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,20,GTD,63,Scuderia Corsa,Ferrari 488 GT3,Gunnar Jeannette,52.535,6,126,1.701,0.061,101.006,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,21,GTD,48,Paul Miller Racing,Lamborghini Huracan GT3,Madison Snow,52.575,7,125,1.741,0.040,100.929,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,22,GTD,58,Wright Motorsports,Porsche 911 GT3 R,Patrick Long,52.590,10,120,1.756,0.015,100.901,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,23,GTD,15,3GT Racing,Lexus RC F GT3,Mario Farnbacher,52.648,7,62,1.814,0.058,100.789,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,24,GTD,86,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Alvaro Parente,52.759,65,125,1.925,0.111,100.577,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,25,GTD,33,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Ben Keating,52.864,11,48,2.030,0.105,100.378,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,26,GTD,33,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Jeroen Bleekemolen,52.929,5,123,2.095,0.065,100.254,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,27,GTD,63,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,52.994,11,46,2.160,0.065,100.131,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,28,GTD,14,3GT Racing,Lexus RC F GT3,Dominik Baumann,53.062,12,46,2.228,0.068,100.003,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,29,GTD,58,Wright Motorsports,Porsche 911 GT3 R,Christina Nielsen,53.073,9,51,2.239,0.011,99.982,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,30,GTD,48,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,53.088,11,47,2.254,0.015,99.954,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,31,GTD,86,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,53.134,11,47,2.300,0.046,99.867,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,32,GTD,44,Magnus Racing,Audi R8 LMS GT3,John Potter,53.428,18,46,2.594,0.294,99.318,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,33,GTD,93,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Lawson Aschenbach,,,1,,,,07_Fastest Lap By Driver_Race.PDF,1
2018,15_Lime Rock Park,Lime Rock Park,lime-rock-park,2018-07-21,201807211510_Race,34,GTD,93,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Justin Marks,,,,,,,07_Fastest Lap By Driver_Race.PDF,1
