year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,1,P,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:13.492,32,37,,,96.402,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,2,P,6,Acura Team Penske,Acura DPi,Juan Pablo Montoya,1:14.021,15,39,0.529,0.529,95.713,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,3,P,7,Acura Team Penske,Acura DPi,Helio Castroneves,1:14.170,15,24,0.678,0.149,95.521,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,4,P,77,Mazda Team Joest,Mazda DPi,Tristan Nunez,1:14.297,18,24,0.805,0.127,95.357,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,5,P,55,Mazda Team Joest,Mazda DPi,Harry Tincknell,1:14.304,12,24,0.812,0.007,95.348,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,6,P,77,Mazda Team Joest,Mazda DPi,Oliver Jarvis,1:14.370,12,46,0.878,0.066,95.264,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,7,P,5,Mustang Sampling Racing,Cadillac DPi,Joao Barbosa,1:14.407,19,24,0.915,0.037,95.216,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,8,P,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Renger Van Der Zande,1:14.496,10,24,1.004,0.089,95.103,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,9,P,2,Tequila Patron ESM,Nissan DPi,Scott Sharp,1:14.630,13,24,1.138,0.134,94.932,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,10,P,55,Mazda Team Joest,Mazda DPi,Jonathan Bomarito,1:14.732,9,46,1.240,0.102,94.802,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,11,P,52,AFS/PR1 Mathiasen Motorsports,Ligier LMP2,Gustavo Yacaman,1:14.742,14,24,1.250,0.010,94.790,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,12,P,7,Acura Team Penske,Acura DPi,Ricky Taylor,1:14.832,9,46,1.340,0.090,94.676,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,13,P,99,JDC-Miller Motorsports,ORECA LMP2,Misha Goikhberg,1:14.857,14,24,1.365,0.025,94.644,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,14,P,85,JDC-Miller Motorsports,ORECA LMP2,Robert Alon,1:14.873,12,20,1.381,0.016,94.624,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,15,P,22,Tequila Patron ESM,Nissan DPi,Johannes van Overbeek,1:14.878,15,24,1.386,0.005,94.617,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,16,P,6,Acura Team Penske,Acura DPi,Dane Cameron,1:14.912,7,31,1.420,0.034,94.574,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,17,P,5,Mustang Sampling Racing,Cadillac DPi,Filipe Albuquerque,1:14.957,17,46,1.465,0.045,94.518,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,18,P,10,Konica Minolta Cadillac DPi-V.R,Cadillac DPi,Jordan Taylor,1:14.983,9,46,1.491,0.026,94.485,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,19,P,2,Tequila Patron ESM,Nissan DPi,Ryan Dalziel,1:15.039,11,46,1.547,0.056,94.414,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,20,P,22,Tequila Patron ESM,Nissan DPi,Pipo Derani,1:15.201,8,8,1.709,0.162,94.211,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,21,P,52,AFS/PR1 Mathiasen Motorsports,Ligier LMP2,Sebastian Saavedra,1:15.469,8,44,1.977,0.268,93.876,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,22,P,99,JDC-Miller Motorsports,ORECA LMP2,Stephen Simpson,1:15.666,6,46,2.174,0.197,93.632,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,23,P,31,Whelen Engineering Racing,Cadillac DPi,Eric Curran,1:15.690,30,33,2.198,0.024,93.602,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,24,P,54,CORE autosport,ORECA LMP2,Colin Braun,1:15.773,6,46,2.281,0.083,93.500,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,25,P,54,CORE autosport,ORECA LMP2,Jonathan Bennett,1:16.333,16,24,2.841,0.560,92.814,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,26,GTLM,66,Ford Chip Ganassi Racing,Ford GT,Joey Hand,1:17.640,12,24,4.148,1.307,91.251,07_ Driver Fastest Lap.PDF,1
2018,06_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2018-04-14,201804141305_Race,27,GTLM,912,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,1:17.682,11,24,4.190,0.042,91.202,07_ Driver Fastest Lap.PDF,1
