year,event_code,event_name,track_slug,race_date,session_directory,table,check,status,value,detail
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,results,rows,pass,32,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,results,positions,pass,32,"first=[1, 2, 3] last=[30, 31, 32]"
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,results,car_numbers,pass,32,not in entries: []
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,results,best_lap_time_card_match,pass,32/32,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,results,classified_laps_time_card_match,pass,32/32,official penalties and incomplete time cards can differ
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,fastest_laps_by_driver,rows,pass,66,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,fastest_laps_by_driver,positions,pass,66,"first=[1, 2, 3] last=[64, 65, 66]"
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,fastest_laps_by_driver,car_numbers,warn,33,not in entries: ['15']
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,fastest_laps_by_driver,time_card_lap_match,pass,63/63,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,fastest_laps_by_driver,time_card_driver_match,pass,63/63,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,drive_time,rows,pass,227,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,drive_time,car_numbers,warn,33,not in entries: ['15']
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,drive_time,segment_continuity,pass,194/194,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,pit_stops,rows,pass,95,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,pit_stops,car_numbers,pass,32,not in entries: []
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,pit_stops,clock_duration_match,pass,95/95,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,pit_stops,cumulative_duration_match,pass,95/95,
2018,16_Road America,Road America,road-america,2018-08-05,201808051335_Race,flags_analysis,source,not_available,0,report not published for this race
