year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,1,22,1:15.037,0.000,0.000,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,2,77,1:15.769,0.732,0.732,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,3,55,1:16.241,1.204,1.204,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,4,7,1:16.977,1.940,1.940,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,5,6,1:17.537,2.500,2.500,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,6,85,1:18.295,3.258,3.258,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,7,5,1:18.520,3.483,3.483,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,8,31,1:19.921,4.884,4.884,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,9,99,1:20.490,5.453,5.453,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,10,2,1:20.776,5.739,5.739,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,11,10,1:21.093,6.056,6.056,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,12,52,1:21.632,6.595,6.595,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,13,38,1:21.940,6.903,6.903,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,14,54,1:22.894,7.857,7.857,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,15,3,1:25.797,10.760,10.760,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,16,912,1:26.050,11.013,11.013,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,17,24,1:26.449,11.412,11.412,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,18,67,1:26.679,11.642,11.642,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,19,911,1:27.218,12.181,12.181,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,20,66,1:27.634,12.597,12.597,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,21,25,1:28.028,12.991,12.991,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,22,4,1:28.270,13.233,13.233,,1,1
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,1,1,23,62,1:28.794,13.757,13.757,,1,1
