year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,Norman Nato,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp 3.Norman Nato | 2.Ryan Dalziel
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Marcel Fassler | 2.Antonio Garcia
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Filipe Albuquerque,Tristan Vautier,Christian Fittipaldi,,,Mustang Sampling Racing Cadillac DPi | P | 1.Filipe Albuquerque 3.Christian Fittipaldi | 2.Tristan Vautier
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,6,DPi,Acura Team Penske,Acura P,Dane Cameron,Juan Pablo Montoya,Simon Pagenaud,,,Acura Team Penske Acura DPi | P | 1.Dane Cameron 3.Simon Pagenaud | 2.Juan Pablo Montoya
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,7,DPi,Acura Team Penske,Acura P,Helio Castroneves,Ricky Taylor,Graham Rahal,,,Acura Team Penske Acura DPi | P | 1.Helio Castroneves 3.Graham Rahal | 2.Ricky Taylor
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Renger Van Der Zande3.Ryan Hunter-Reay,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Renger Van Der Zande3.Ryan Hunter-Reay | 2.Jordan Taylor
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,Philipp Frommenwiler,,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann 3.Philipp Frommenwiler | 2.Kyle Marcelli
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,David Heinemeier Hansson,Sean Rayhall,,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth 3.Sean Rayhall | 2.David Heinemeier Hansson
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,22,DPi,Tequila Patron ESM,Nissan P,Johannes van Overbeek,Pipo Derani,Timo Bernhard,,,Tequila Patron ESM Nissan DPi | P | 1.Johannes van Overbeek 3.Timo Bernhard | 2.Pipo Derani
2018,22_Road Atlanta,Road Atlanta,road-atlanta,2018-10-13,201810131105_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,Chaz Mostert,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn 3.Chaz Mostert | 2.John Edwards
