year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,Mike Rockenfeller,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Mike Rockenfeller | 2.Antonio Garcia
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Filipe Albuquerque,Joao Barbosa,Christian Fittipaldi,,,Mustang Sampling Racing Cadillac DPi | P | 1.Filipe Albuquerque 3.Christian Fittipaldi | 2.Joao Barbosa
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,6,DPi,Acura Team Penske,Acura P,Dane Cameron,Juan Pablo Montoya,Simon Pagenaud,,,Acura Team Penske Acura DPi | P | 1.Dane Cameron 3.Simon Pagenaud | 2.Juan Pablo Montoya
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,7,DPi,Acura Team Penske,Acura P,Helio Castroneves,Ricky Taylor,Graham Rahal,,,Acura Team Penske Acura DPi | P | 1.Helio Castroneves 3.Graham Rahal | 2.Ricky Taylor
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Jordan Taylor,Renger Van Der Zande,Ryan Hunter-Reay,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Jordan Taylor 3.Ryan Hunter-Reay | 2.Renger Van Der Zande
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,Philipp Frommenwiler,,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann 3.Philipp Frommenwiler | 2.Kyle Marcelli
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,David Heinemeier Hansson,Sean Rayhall,,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth 3.Sean Rayhall | 2.David Heinemeier Hansson
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,22,DPi,Tequila Patron ESM,Nissan P,Johannes van Overbeek,Pipo Derani,Nicolas Lapierre,,,Tequila Patron ESM Nissan DPi | P | 1.Johannes van Overbeek 3.Nicolas Lapierre | 2.Pipo Derani
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,24,GTLM,BMW Team RLL,BMW M8,Jesse Krohn,John Edwards,Nicky Catsburg,,,BMW Team RLL BMW M8 GTLM | GTLM | 1.Jesse Krohn 3.Nicky Catsburg | 2.John Edwards
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,25,GTLM,BMW Team RLL,BMW M8,Alexander Sims,Connor De Phillippi,Bill Auberlen,,,BMW Team RLL BMW M8 GTLM | GTLM | 1.Alexander Sims 3.Bill Auberlen | 2.Connor De Phillippi
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,29,GTD,Montaplast by Land-Motorsport,Audi R8 LMS GT3,Sheldon van der Linde,Christopher Mies,Alessio Clemente Picariello,,,Montaplast by Land-Motorsport Audi R8 LMS GT3 | GTD | 1.Sheldon van der Linde 3.Alessio Clemente Picariello | 2.Christopher Mies
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,31,DPi,Whelen Engineering Racing,Cadillac P,Felipe Nasr,Eric Curran,Mike Conway,,,Whelen Engineering Racing Cadillac DPi | P | 1.Felipe Nasr 3.Mike Conway | 2.Eric Curran
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,32,LMP2,United Autosports,Ligier P,Phil Hanson,Paul Di Resta,Alex Brundle,,,United Autosports Ligier LMP2 | P | 1.Phil Hanson 3.Alex Brundle | 2.Paul Di Resta
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,33,GTD,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,Luca Stolz,,,Mercedes-AMG Team Riley Mercedes-AMG GT3 | Motorsports GTD | 1.Ben Keating 3.Luca Stolz | 2.Jeroen Bleekemolen
2018,05_Sebring International Raceway,Sebring International Raceway,sebring-international-raceway,2018-03-17,201803171040_Race,36,GTD,CJ Wilson Racing,Acura NSX GT3,Marc Miller,Till Bechtolsheimer,Kuno Wittmer,,,CJ Wilson Racing Acura NSX GT3 | GTD | 1.Marc Miller 3.Kuno Wittmer | 2.Till Bechtolsheimer
