year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,1,1,25,GTLM,,A. Sims / C. De Phillippi,BMW Team RLL,BMW M8 GTE,88,2:40:52.276,-,,,12,1:42.742,114.577,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,2,2,3,GTLM,,J. Magnussen / A. Garcia,Corvette Racing,Chevrolet Corvette C7.R,88,2:40:53.599,1.323,1.323,,9,1:42.725,114.596,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,3,3,24,GTLM,,J. Krohn / J. Edwards,BMW Team RLL,BMW M8 GTE,88,2:40:54.392,2.116,0.793,,9,1:42.803,114.509,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,4,4,66,GTLM,,J. Hand / D. Mueller,Ford Chip Ganassi Racing,Ford GT,88,2:41:23.183,30.907,28.791,,12,1:42.706,114.618,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,5,5,912,GTLM,,E. Bamber / L. Vanthoor,Porsche GT Team,Porsche 911 RSR,88,2:41:27.806,35.530,4.623,,9,1:42.600,114.736,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,6,6,4,GTLM,,O. Gavin / T. Milner,Corvette Racing,Chevrolet Corvette C7.R,88,2:41:28.621,36.345,0.815,,63,1:43.504,113.734,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,7,1,14,GTD,,D. Baumann / K. Marcelli,3GT Racing,Lexus RC F GT3,86,2:41:48.394,2 Laps,2,,11,1:46.022,111.033,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,8,2,58,GTD,,P. Long / C. Nielsen,Wright Motorsports,Porsche 911 GT3 R,86,2:41:48.961,2 Laps,0.567,,10,1:45.434,111.652,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,9,3,86,GTD,,K. Legge / M. Farnbacher,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,86,2:41:49.708,2 Laps,0.747,,66,1:45.566,111.512,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,10,4,63,GTD,,C. MacNeil / G. Jeannette,Scuderia Corsa,Ferrari 488 GT3,86,2:42:03.736,2 Laps,14.028,,62,1:46.475,110.560,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,11,5,33,GTD,,B. Keating / J. Bleekemolen,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,86,2:42:04.136,2 Laps,0.400,,10,1:45.696,111.375,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,12,6,48,GTD,,B. Sellers / M. Snow,Paul Miller Racing,Lamborghini Huracan GT3,86,2:42:10.656,2 Laps,6.520,,36,1:46.208,110.838,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,13,7,44,GTD,,J. Potter / A. Lally,Magnus Racing,Audi R8 LMS GT3,86,2:42:19.959,2 Laps,9.303,,35,1:45.813,111.252,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,14,8,93,GTD,,J. Marks / L. Aschenbach,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,86,2:42:41.907,2 Laps,21.413,,35,1:46.194,110.853,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,15,9,96,GTD,,R. Foley / B. Auberlen,Turner Motorsport,BMW M6 GT3,85,2:41:21.239,3 Laps,1,,5,1:45.619,111.456,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,16,10,15,GTD,,J. Hawksworth / D. Heinemeier Hansson,3GT Racing,Lexus RC F GT3,86,2:42:20.494,2 Laps,0.535,,56,1:45.110,111.996,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,17,7,67,GTLM,,R. Briscoe / R. Westbrook,Ford Chip Ganassi Racing,Ford GT,42,1:45:51.166,46 Laps,43,Not Running,8,1:42.865,114.440,03_Results_Race_Official.PDF,1
2018,18_VIRginia International Raceway,VIRginia International Raceway,virginia-international-raceway,2018-08-19,201808191305_Race,18,8,911,GTLM,,P. Pilet / N. Tandy,Porsche GT Team,Porsche 911 RSR,40,1:10:03.084,48 Laps,2,Not Running,10,1:42.804,114.508,03_Results_Race_Official.PDF,1
