year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,Olivier Pla,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp 3.Olivier Pla | 2.Ryan Dalziel
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Filipe Albuquerque,Christian Fittipaldi,Gabby Chaves,,,Mustang Sampling Racing Cadillac DPi | P | 1.Filipe Albuquerque 3.Gabby Chaves | 2.Christian Fittipaldi
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,6,DPi,Acura Team Penske,Acura P,Dane Cameron,Juan Pablo Montoya,,,,Acura Team Penske Acura DPi | P | 1.Dane Cameron | 2.Juan Pablo Montoya
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,7,DPi,Acura Team Penske,Acura P,Helio Castroneves,Ricky Taylor,,,,Acura Team Penske Acura DPi | P | 1.Helio Castroneves | 2.Ricky Taylor
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Renger Van Der Zande | 2.Jordan Taylor
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann | 2.Kyle Marcelli
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,Mario Farnbacher,David Heinemeier Hansson,,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth 3.David Heinemeier Hansson | 2.Mario Farnbacher
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,22,DPi,Tequila Patron ESM,Nissan P,Johannes van Overbeek,Pipo Derani,Nicolas Lapierre,,,Tequila Patron ESM Nissan DPi | P | 1.Johannes van Overbeek 3.Nicolas Lapierre | 2.Pipo Derani
2018,12_Watkins Glen International,Watkins Glen International,watkins-glen-international,2018-07-01,201807010945_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,Tom Blomqvist,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn 3.Tom Blomqvist | 2.John Edwards
