year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,5,Mustang Sampling Racing | Cadillac DPi DPi,1,J. Barbosa,12:38:25,13:13:27,TRACK,35:02.168,35:02.168,35:02.168,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,5,Mustang Sampling Racing | Cadillac DPi DPi,,,13:13:27,13:14:17,PIT,49.310,,49.310,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,5,Mustang Sampling Racing | Cadillac DPi DPi,2,F. Albuquerque,13:14:17,13:37:51,TRACK,23:34.780,23:34.780,23:34.780,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,5,Mustang Sampling Racing | Cadillac DPi DPi,,F. Albuquerque,13:37:51,13:38:42,PIT,50.904,23:34.780,24:25.684,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,5,Mustang Sampling Racing | Cadillac DPi DPi,3,F. Albuquerque,13:38:42,14:19:03,TRACK,40:20.984,1:03:55.764,1:04:46.668,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,6,F. Albuquerque 50.904 | Acura Team Penske | Acura DPi DPi,1,J. Montoya,12:38:25,13:13:24,TRACK,34:59.169,34:59.169,34:59.169,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,6,F. Albuquerque 50.904 | Acura Team Penske | Acura DPi DPi,,,13:13:24,13:14:08,PIT,43.317,,43.317,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,6,F. Albuquerque 50.904 | Acura Team Penske | Acura DPi DPi,2,D. Cameron,13:14:08,13:37:44,TRACK,23:36.217,23:36.217,23:36.217,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,6,F. Albuquerque 50.904 | Acura Team Penske | Acura DPi DPi,,D. Cameron,13:37:44,13:38:18,PIT,34.578,23:36.217,24:10.795,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,6,F. Albuquerque 50.904 | Acura Team Penske | Acura DPi DPi,3,D. Cameron,13:38:18,14:18:41,TRACK,40:22.282,1:03:58.499,1:04:33.077,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,7,J. Montoya 34:59.169 34:59.169 | Acura Team Penske | Acura DPi DPi,1,H. Castroneves,12:38:25,13:13:26,TRACK,35:01.052,35:01.052,35:01.052,20_Drive Time_Race.PDF,1,1
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,7,J. Montoya 34:59.169 34:59.169 | Acura Team Penske | Acura DPi DPi,,,13:13:26,13:14:07,PIT,40.963,,40.963,20_Drive Time_Race.PDF,1,1
