year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Filipe Albuquerque,,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa | 2.Filipe Albuquerque
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,6,DPi,Acura Team Penske,Acura,Dane Cameron,Juan Pablo Montoya,,,,Acura Team Penske Acura DPi | DPi | 1.Dane Cameron | 2.Juan Pablo Montoya
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,7,DPi,Acura Team Penske,Acura,Helio Castroneves,Ricky Taylor,,,,Acura Team Penske Acura DPi | DPi | 1.Helio Castroneves | 2.Ricky Taylor
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,8,GTD,Starworks Motorsport,Audi R8 LMS GT3,Parker Chase,Ryan Dalziel,,,,Starworks Motorsport Audi R8 LMS GT3 | GTD | 1.Parker Chase | 2.Ryan Dalziel
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande | 2.Jordan Taylor
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,12,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Frank Montecalvo,Townsend Bell,,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frank Montecalvo | 2.Townsend Bell
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,14,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Richard Heistand,Jack Hawksworth,,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Richard Heistand | 2.Jack Hawksworth
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr | 2.Pipo Derani
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,44,GTD,Magnus Racing Lamborghini,Huracan GT3,John Potter,Andy Lally,,,,Magnus Racing Lamborghini Huracan GT3 | GTD | 1.John Potter | 2.Andy Lally
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,48,GTD,Paul Miller Racing,Lamborghini Huracan GT3,Bryan Sellers,Ryan Hardwick,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Ryan Hardwick
2019,08_Belle Isle Street Course,Belle Isle Street Course,belle-isle-street-course,2019-06-01,201906011240_Race,50,DPi,Juncos Racing,Cadillac,Will Owen,Victor Franzoni,,,,Juncos Racing Cadillac DPi | DPi | 1.Will Owen | 2.Victor Franzoni
