year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,Mike Rockenfeller,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Mike Rockenfeller | 2.Antonio Garcia
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Filipe Albuquerque,Christian Fittipaldi,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa 3.Christian Fittipaldi | 2.Filipe Albuquerque
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,6,DPi,Acura Team Penske,Acura,Juan Pablo Montoya,Dane Cameron,Simon Pagenaud,,,Acura Team Penske Acura DPi | DPi | 1.Juan Pablo Montoya 3.Simon Pagenaud | 2.Dane Cameron
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,7,DPi,Acura Team Penske,Acura,Ricky Taylor,Helio Castroneves,Alexander Rossi,,,Acura Team Penske Acura DPi | DPi | 1.Ricky Taylor 3.Alexander Rossi | 2.Helio Castroneves
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,8,GTD,Starworks Motorsport,Audi R8 LMS GT3,Parker Chase,Ryan Dalziel,Ezequiel Perez Companc,Chris Haase,,Starworks Motorsport Audi R8 LMS GT3 | GTD | 1.Parker Chase 3.Ezequiel Perez Companc | 2.Ryan Dalziel 4.Chris Haase
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3 R,Scott Hargrove,Zacharie Robichon,Lars Kern,Dennis Olsen,,Pfaff Motorsports Porsche 911 GT3 R | GTD | 1.Scott Hargrove 3.Lars Kern | 2.Zacharie Robichon 4.Dennis Olsen
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande,Jordan Taylor,Fernando Alonso,Kamui Kobayashi,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande 3.Fernando Alonso | 2.Jordan Taylor 4.Kamui Kobayashi
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,11,GTD,GRT Grasser Racing Team Lamborghini,Huracan GT3,Rolf Ineichen,Mirko Bortolotti,Christian Engelhart,Rik Breukers,,GRT Grasser Racing Team Lamborghini Huracan GT3 | GTD | 1.Rolf Ineichen 3.Christian Engelhart | 2.Mirko Bortolotti 4.Rik Breukers
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,12,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Frank Montecalvo,Townsend Bell,Aaron Telitz,Jeff Segal,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frank Montecalvo 3.Aaron Telitz | 2.Townsend Bell 4.Jeff Segal
2019,02_Daytona International Speedway,Daytona International Speedway,daytona-international-speedway,2019-01-26,201901261435_Race,13,GTD,Via Italia Racing,Ferrari 488 GT3,Chico Longo,Victor Franzoni,Marcos Gomes,Andrea Bertolini,,Via Italia Racing Ferrari 488 GT3 | GTD | 1.Chico Longo 3.Marcos Gomes | 2.Victor Franzoni 4.Andrea Bertolini
