year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,A. Garcia,14:05:05,14:45:04,TRACK,39:58.704,39:58.704,39:58.704,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,14:45:04,14:46:09,PIT,1:04.624,,1:04.624,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,J. Magnussen,14:46:09,15:45:05,TRACK,58:56.672,58:56.672,58:56.672,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,4,A. Garcia 39:58.704 39:58.704 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,O. Gavin,14:05:05,14:45:03,TRACK,39:57.776,39:57.776,39:57.776,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,4,A. Garcia 39:58.704 39:58.704 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,,14:45:03,14:46:09,PIT,1:06.269,,1:06.269,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,4,A. Garcia 39:58.704 39:58.704 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,T. Milner,14:46:09,15:45:05,TRACK,58:55.955,58:55.955,58:55.955,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,T. Milner 58:55.955 58:55.955 | Mustang Sampling Racing | Cadillac DPi DPi,1,J. Barbosa,14:05:05,14:42:27,TRACK,37:21.750,37:21.750,37:21.750,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,T. Milner 58:55.955 58:55.955 | Mustang Sampling Racing | Cadillac DPi DPi,,,14:42:27,14:43:46,PIT,1:19.079,,1:19.079,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,T. Milner 58:55.955 58:55.955 | Mustang Sampling Racing | Cadillac DPi DPi,2,F. Albuquerque,14:43:46,15:03:19,TRACK,19:33.284,19:33.284,19:33.284,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,T. Milner 58:55.955 58:55.955 | Mustang Sampling Racing | Cadillac DPi DPi,,F. Albuquerque,15:03:19,15:04:17,PIT,57.147,19:33.284,20:30.431,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,T. Milner 58:55.955 58:55.955 | Mustang Sampling Racing | Cadillac DPi DPi,3,F. Albuquerque,15:04:17,15:45:05,TRACK,40:48.740,1:00:22.024,1:01:19.171,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,F. Albuquerque 57.147 | Acura Team Penske | Acura DPi DPi,1,J. Montoya,14:05:05,14:42:25,TRACK,37:20.107,37:20.107,37:20.107,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,F. Albuquerque 57.147 | Acura Team Penske | Acura DPi DPi,,,14:42:25,14:43:35,PIT,1:09.948,,1:09.948,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,F. Albuquerque 57.147 | Acura Team Penske | Acura DPi DPi,2,D. Cameron,14:43:35,15:07:01,TRACK,23:25.438,23:25.438,23:25.438,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,F. Albuquerque 57.147 | Acura Team Penske | Acura DPi DPi,,D. Cameron,15:07:01,15:08:02,PIT,1:01.570,23:25.438,24:27.008,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,F. Albuquerque 57.147 | Acura Team Penske | Acura DPi DPi,3,D. Cameron,15:08:02,15:45:05,TRACK,37:02.937,1:00:28.375,1:01:29.945,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,D. Cameron 1:01.570 | Acura Team Penske | Acura DPi DPi,1,H. Castroneves,14:05:05,14:42:25,TRACK,37:19.744,37:19.744,37:19.744,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,D. Cameron 1:01.570 | Acura Team Penske | Acura DPi DPi,,,14:42:25,14:43:32,PIT,1:07.461,,1:07.461,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,D. Cameron 1:01.570 | Acura Team Penske | Acura DPi DPi,2,R. Taylor,14:43:32,15:08:15,TRACK,24:42.183,24:42.183,24:42.183,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,D. Cameron 1:01.570 | Acura Team Penske | Acura DPi DPi,,R. Taylor,15:08:15,15:09:13,PIT,58.423,24:42.183,25:40.606,20_Drive Time_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,D. Cameron 1:01.570 | Acura Team Penske | Acura DPi DPi,3,R. Taylor,15:09:13,15:45:05,TRACK,35:52.189,1:00:34.372,1:01:32.795,20_Drive Time_Race.PDF,1,1
