year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Filipe Albuquerque,,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa | 2.Filipe Albuquerque
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,DPi,Acura Team Penske,Acura,Juan Pablo Montoya,Dane Cameron,,,,Acura Team Penske Acura DPi | DPi | 1.Juan Pablo Montoya | 2.Dane Cameron
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,DPi,Acura Team Penske,Acura,Ricky Taylor,Helio Castroneves,,,,Acura Team Penske Acura DPi | DPi | 1.Ricky Taylor | 2.Helio Castroneves
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande | 2.Jordan Taylor
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Tom Blomqvist,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Tom Blomqvist | 2.Connor De Phillippi
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,31,DPi,Whelen Engineering Racing,Cadillac,Felipe Nasr,Pipo Derani,,,,Whelen Engineering Racing Cadillac DPi | DPi | 1.Felipe Nasr | 2.Pipo Derani
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,50,DPi,Juncos Racing,Cadillac,Will Owen,Kyle Kaiser,,,,Juncos Racing Cadillac DPi | DPi | 1.Will Owen | 2.Kyle Kaiser
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,55,DPi,Mazda Team Joest,Mazda,Jonathan Bomarito,Harry Tincknell,,,,Mazda Team Joest Mazda DPi | DPi | 1.Jonathan Bomarito | 2.Harry Tincknell
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Dirk Mueller,Sebastien Bourdais,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Dirk Mueller | 2.Sebastien Bourdais
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,77,DPi,Mazda Team Joest,Mazda,Oliver Jarvis,Tristan Nunez,,,,Mazda Team Joest Mazda DPi | DPi | 1.Oliver Jarvis | 2.Tristan Nunez
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,84,DPi,JDC-Miller MotorSports,Cadillac,Simon Trummer,Stephen Simpson,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Simon Trummer | 2.Stephen Simpson
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,85,DPi,JDC-Miller MotorSports,Cadillac,Misha Goikhberg,Tristan Vautier,,,,JDC-Miller MotorSports Cadillac DPi | DPi | 1.Misha Goikhberg | 2.Tristan Vautier
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,911,GTLM,Porsche GT Team,Porsche RSR,Patrick Pilet,Nick Tandy,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Patrick Pilet | 2.Nick Tandy
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Earl Bamber,Laurens Vanthoor,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Earl Bamber | 2.Laurens Vanthoor
