year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stop_number,in_time,in_driver,out_time,out_driver,pit_time,cumulative_pit_time,source_report,source_page,source_column
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:45:04.482,A. Garcia,14:46:09.106,J. Magnussen,1:04.624,1:04.624,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,4,1 A. Garcia J. Magnussen 1:04.624 1:04.624 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,14:45:03.554,O. Gavin,14:46:09.823,T. Milner,1:06.269,1:06.269,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,1 O. Gavin T. Milner 1:06.269 1:06.269 | Mustang Sampling Racing | Cadillac DPi DPi,1,14:42:27.528,J. Barbosa,14:43:46.607,F. Albuquerque,1:19.079,1:19.079,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,5,1 O. Gavin T. Milner 1:06.269 1:06.269 | Mustang Sampling Racing | Cadillac DPi DPi,2,15:03:19.891,F. Albuquerque,15:04:17.038,F. Albuquerque,57.147,2:16.226,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,2 F. Albuquerque F. Albuquerque 57.147 2:16.226 | Acura Team Penske | Acura DPi DPi,1,14:42:25.885,J. Montoya,14:43:35.833,D. Cameron,1:09.948,1:09.948,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,6,2 F. Albuquerque F. Albuquerque 57.147 2:16.226 | Acura Team Penske | Acura DPi DPi,2,15:07:01.271,D. Cameron,15:08:02.841,D. Cameron,1:01.570,2:11.518,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,2 D. Cameron D. Cameron 1:01.570 2:11.518 | Acura Team Penske | Acura DPi DPi,1,14:42:25.522,H. Castroneves,14:43:32.983,R. Taylor,1:07.461,1:07.461,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,7,2 D. Cameron D. Cameron 1:01.570 2:11.518 | Acura Team Penske | Acura DPi DPi,2,15:08:15.166,R. Taylor,15:09:13.589,R. Taylor,58.423,2:05.884,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,10,2 R. Taylor R. Taylor 58.423 2:05.884 | Konica Minolta Cadillac DPi-V.R. | Cadillac DPi DPi,1,14:25:29.948,J. Taylor,14:26:11.673,J. Taylor,41.725,41.725,20_Pit Stops Time Cards_Race.PDF,1,1
2019,05_Long Beach Street Circuit,Long Beach Street Circuit,long-beach-street-circuit,2019-04-13,201904131405_Race,10,2 R. Taylor R. Taylor 58.423 2:05.884 | Konica Minolta Cadillac DPi-V.R. | Cadillac DPi DPi,2,14:42:30.342,J. Taylor,14:43:38.496,R. Van Der Zande,1:08.154,1:49.879,20_Pit Stops Time Cards_Race.PDF,1,1
