year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,5,DPi,Mustang Sampling Racing,Cadillac,Joao Barbosa,Filipe Albuquerque,,,,Mustang Sampling Racing Cadillac DPi | DPi | 1.Joao Barbosa | 2.Filipe Albuquerque
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,6,DPi,Acura Team Penske,Acura,Dane Cameron,Juan Pablo Montoya,,,,Acura Team Penske Acura DPi | DPi | 1.Dane Cameron | 2.Juan Pablo Montoya
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,7,DPi,Acura Team Penske,Acura,Helio Castroneves,Ricky Taylor,,,,Acura Team Penske Acura DPi | DPi | 1.Helio Castroneves | 2.Ricky Taylor
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,8,GTD,Starworks Motorsport,Audi R8 LMS GT3,Parker Chase,Ryan Dalziel,,,,Starworks Motorsport Audi R8 LMS GT3 | GTD | 1.Parker Chase | 2.Ryan Dalziel
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,9,GTD,Pfaff Motorsports,Porsche 911 GT3 R,Scott Hargrove,Zacharie Robichon,,,,Pfaff Motorsports Porsche 911 GT3 R | GTD | 1.Scott Hargrove | 2.Zacharie Robichon
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,10,DPi,Konica Minolta Cadillac DPi-V.R.,Cadillac,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R. Cadillac DPi | DPi | 1.Renger Van Der Zande | 2.Jordan Taylor
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,12,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Frank Montecalvo,Townsend Bell,,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Frank Montecalvo | 2.Townsend Bell
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,14,GTD,AIM Vasser Sullivan,Lexus RC F GT3,Richard Heistand,Jack Hawksworth,,,,AIM Vasser Sullivan Lexus RC F GT3 | GTD | 1.Richard Heistand | 2.Jack Hawksworth
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,19,GTD,Moorespeed,Audi R8 LMS GT3,Will Hardeman,Alex Riberas,,,,Moorespeed Audi R8 LMS GT3 | GTD | 1.Will Hardeman | 2.Alex Riberas
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
