year,event_code,event_name,track_slug,race_date,session_directory,report_name,report_url,local_pdf,sha256,bytes,report_family,selection,download_status,parser_version,pages,parsed_rows,error
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,01_Grid_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/01_Grid_Race_Official.PDF,pdfs/01_Grid_Race_Official.PDF,88b11fc2e52e9aa3744ebfe3211cbc7dd39ab310a789a5c1f5a7aabdcd8a9b86,271239,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,01_Grid_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/01_Grid_Race_Provisional.PDF,pdfs/01_Grid_Race_Provisional.PDF,2a73b60c9b7610867aec935a57898538c0edd70302eb5b348985b806608b4db1,271249,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,01_Starting Grid by Number_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/01_Starting%20Grid%20by%20Number_Race_Official.PDF,pdfs/01_Starting Grid by Number_Race_Official.PDF,8a875c996ddf3f36029d07cdd2b548561bda38d9389e3b72201118ce05148bbc,107431,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,01_Starting Grid by Number_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/01_Starting%20Grid%20by%20Number_Race_Provisional.PDF,pdfs/01_Starting Grid by Number_Race_Provisional.PDF,21fa0d90f571a63e87caf51baf3ad79433860503be49f3ca266fce656bb5c497,107271,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,03_Results_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/03_Results_Race_Official.PDF,pdfs/03_Results_Race_Official.PDF,fff5057c4f53f5adbab138ae5550b0f016f91bbd6cc64120eed92f6ad4d8c89f,287562,results,preferred,existing,reports-1,2,36,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,03_Results_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/03_Results_Race_Provisional.PDF,pdfs/03_Results_Race_Provisional.PDF,da5b5edc97cad8dcb549944ab04d729cb098afb136e7abb2676cd43e11fb8ef7,287550,results,alternate,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,03_Results_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/03_Results_Race_Unofficial.PDF,pdfs/03_Results_Race_Unofficial.PDF,5b1f00d43e69941acab06a542009df531f37201952e587e2d025fba7d31dcdf8,226221,results,alternate,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,05_Results by Class_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/05_Results%20by%20Class_Race_Official.PDF,pdfs/05_Results by Class_Race_Official.PDF,d80719c4e9c38e6f8b2208bc1d122ace2cb5c5e088df5e2754a0adf06288e374,284502,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,05_Results by Class_Race_Provisional.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/05_Results%20by%20Class_Race_Provisional.PDF,pdfs/05_Results by Class_Race_Provisional.PDF,2a67ea1a305ee60d8355b5f176585d7c4c3407ac0db80e6850053356c7a913ca,284493,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,05_Results by Class_Race_Unofficial.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/05_Results%20by%20Class_Race_Unofficial.PDF,pdfs/05_Results by Class_Race_Unofficial.PDF,94c189392bd39cb964019f2a4c8ce13c28d49670cbee147d36568a96aa2af2fa,222154,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,06_Fastest Lap By Driver_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/06_Fastest%20Lap%20By%20Driver_Race_Official.PDF,pdfs/06_Fastest Lap By Driver_Race_Official.PDF,588264e3256686fad210152f03ac43a8d0f7bfec2ac29e8b788ea781ff7dc5a9,208225,fastest_laps_by_driver,preferred,existing,reports-1,2,72,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,07_Fastest Lap By Driver After_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/07_Fastest%20Lap%20By%20Driver%20After_Race_Official.PDF,pdfs/07_Fastest Lap By Driver After_Race_Official.PDF,4a482e35e6ef12de65faeaee367210603627ae3418bfdd417551fe994e0b0610,201543,,unsupported,existing,,,,
2019,06_Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,mid-ohio-sports-car-course,2019-05-05,201905051340_Race,07_Fastest Lap By Driver and Class After_Race_Official.PDF,https://imsa.results.alkamelcloud.com/Results/19_2019/06_Mid-Ohio%20Sports%20Car%20Course/01_IMSA%20WeatherTech%20SportsCar%20Championship/201905051340_Race/07_Fastest%20Lap%20By%20Driver%20and%20Class%20After_Race_Official.PDF,pdfs/07_Fastest Lap By Driver and Class After_Race_Official.PDF,949074137f346b9938e8d34cae8ead61b1a1c12e108214bf1889c6cd23730618,291738,,unsupported,existing,,,,
