year,event_code,event_name,track_slug,race_date,session_directory,race_lap,car_lap_number,position,car_number,lap_time,gap,gap_seconds,gap_laps,source_page,source_column
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,1,6,1:54.485,0.000,0.000,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,2,7,1:55.324,0.839,0.839,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,3,77,1:56.181,1.696,1.696,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,4,55,1:56.793,2.308,2.308,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,5,31,1:57.407,2.922,2.922,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,6,10,1:57.909,3.424,3.424,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,7,84,1:58.848,4.363,4.363,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,8,85,1:59.426,4.941,4.941,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,9,5,2:00.066,5.581,5.581,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,10,54,2:01.374,6.889,6.889,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,11,52,2:03.799,9.314,9.314,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,12,38,2:05.342,10.857,10.857,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,13,4,2:08.835,14.350,14.350,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,14,67,2:09.931,15.446,15.446,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,15,912,2:10.868,16.383,16.383,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,16,66,2:11.233,16.748,16.748,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,17,3,2:11.752,17.267,17.267,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,18,25,2:11.995,17.510,17.510,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,19,24,2:12.393,17.908,17.908,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,20,911,2:12.903,18.418,18.418,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,21,33,2:14.740,20.255,20.255,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,22,48,2:15.332,20.847,20.847,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,23,9,2:15.822,21.337,21.337,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,24,76,2:16.282,21.797,21.797,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,25,14,2:16.876,22.391,22.391,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,26,96,2:17.045,22.560,22.560,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,27,57,2:17.753,23.268,23.268,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,28,86,2:18.189,23.704,23.704,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,29,91,2:18.839,24.354,24.354,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,30,63,2:19.147,24.662,24.662,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,31,12,2:19.658,25.173,25.173,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,32,73,2:20.030,25.545,25.545,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,33,44,2:20.589,26.104,26.104,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,34,8,2:21.162,26.677,26.677,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,1,1,35,74,2:21.451,26.966,26.966,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,1,6,1:53.121,,,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,2,7,1:53.036,0.754,0.754,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,3,77,1:52.856,1.431,1.431,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,4,55,1:52.844,2.031,2.031,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,5,31,1:53.022,2.823,2.823,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,6,10,1:53.469,3.772,3.772,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,7,84,1:53.841,5.083,5.083,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,8,85,1:54.335,6.155,6.155,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,9,5,1:54.287,6.747,6.747,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,10,54,1:54.735,8.503,8.503,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,11,52,1:58.450,14.643,14.643,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,12,38,1:59.134,16.870,16.870,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,13,4,2:03.133,24.362,24.362,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,14,67,2:04.211,26.536,26.536,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,15,912,2:04.573,27.835,27.835,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,16,66,2:04.828,28.455,28.455,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,17,3,2:04.720,28.866,28.866,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,18,25,2:04.993,29.382,29.382,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,19,24,2:04.918,29.705,29.705,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,20,911,2:05.167,30.464,30.464,,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,21,33,2:08.046,35.180,35.180,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,22,48,2:08.448,36.174,36.174,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,23,9,2:08.385,36.601,36.601,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,24,76,2:08.414,37.090,37.090,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,25,14,2:08.962,38.232,38.232,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,26,96,2:09.993,39.432,39.432,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,27,57,2:09.805,39.952,39.952,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,28,86,2:09.892,40.475,40.475,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,29,91,2:09.866,41.099,41.099,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,30,63,2:10.024,41.565,41.565,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,31,12,2:09.788,41.840,41.840,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,32,73,2:09.810,42.234,42.234,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,33,44,2:09.878,42.861,42.861,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,34,8,2:09.855,43.411,43.411,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,2,2,35,74,2:10.450,44.295,44.295,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,1,6,1:52.734,,,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,2,7,1:52.944,0.964,0.964,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,3,77,1:52.902,1.599,1.599,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,4,55,1:52.740,2.037,2.037,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,5,31,1:52.888,2.977,2.977,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,6,10,1:52.831,3.869,3.869,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,7,84,1:53.639,5.988,5.988,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,8,85,1:53.941,7.362,7.362,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,9,5,1:53.904,7.917,7.917,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,10,54,1:54.266,10.035,10.035,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,11,52,1:58.063,19.972,19.972,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,12,38,1:58.174,22.310,22.310,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,13,4,2:03.530,35.158,35.158,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,14,67,2:03.900,37.702,37.702,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,15,912,2:04.626,39.727,39.727,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,16,66,2:04.326,40.047,40.047,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,17,3,2:04.222,40.354,40.354,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,18,25,2:04.384,41.032,41.032,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,19,24,2:04.562,41.533,41.533,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,20,911,2:04.481,42.211,42.211,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,21,33,2:08.139,50.585,50.585,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,22,48,2:07.930,51.370,51.370,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,23,9,2:08.395,52.262,52.262,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,24,76,2:08.415,52.771,52.771,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,25,14,2:08.499,53.997,53.997,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,26,96,2:08.183,54.881,54.881,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,27,57,2:08.641,55.859,55.859,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,28,86,2:08.669,56.410,56.410,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,29,91,2:08.749,57.114,57.114,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,30,63,2:08.745,57.576,57.576,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,31,12,2:09.120,58.226,58.226,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,32,73,2:09.347,58.847,58.847,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,33,44,2:09.439,59.566,59.566,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,34,8,2:09.316,59.993,59.993,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,3,35,74,2:09.571,1:01.132,61.132,,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,4,1,6,1:52.998,,,,1,2
