year,event_code,event_name,track_slug,race_date,session_directory,car_number,car_metadata,stint_number,driver,start_time,end_time,segment_type,segment_time,cumulative_track_time,cumulative_driver_time,source_report,source_page,source_column
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,1,J. Magnussen,13:35:27,14:00:28,TRACK,25:01.486,25:01.486,25:01.486,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,,14:00:28,14:01:33,PIT,1:04.823,,1:04.823,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,2,A. Garcia,14:01:33,14:47:07,TRACK,45:33.947,45:33.947,45:33.947,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,A. Garcia,14:47:07,14:48:18,PIT,1:10.992,45:33.947,46:44.939,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,3,A. Garcia,14:48:18,15:42:15,TRACK,53:57.392,1:39:31.339,1:40:42.331,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,,A. Garcia,15:42:15,15:43:49,PIT,1:33.590,1:39:31.339,1:42:15.921,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,3,Corvette Racing | Chevrolet Corvette C7.R GTLM,4,A. Garcia,15:43:49,16:15:27,TRACK,31:37.770,2:11:09.109,2:13:53.691,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,1,O. Gavin,13:35:27,14:19:17,TRACK,43:50.745,43:50.745,43:50.745,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,,14:19:17,14:20:30,PIT,1:12.234,,1:12.234,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,2,T. Milner,14:20:30,15:12:38,TRACK,52:08.807,52:08.807,52:08.807,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,15:12:38,15:13:53,PIT,1:14.796,52:08.807,53:23.603,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,3,T. Milner,15:13:53,16:10:10,TRACK,56:16.834,1:48:25.641,1:49:40.437,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,,T. Milner,16:10:10,16:11:02,PIT,51.723,1:48:25.641,1:50:32.160,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,4,A. Garcia 2:44.582 | Corvette Racing | Chevrolet Corvette C7.R GTLM,4,T. Milner,16:11:02,16:15:27,TRACK,4:24.861,1:52:50.502,1:54:57.021,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,1,J. Barbosa,13:35:27,14:04:20,TRACK,28:53.845,28:53.845,28:53.845,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,,,14:04:20,14:05:31,PIT,1:10.425,,1:10.425,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,2,F. Albuquerque,14:05:31,14:37:53,TRACK,32:21.640,32:21.640,32:21.640,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,,F. Albuquerque,14:37:53,14:39:04,PIT,1:11.881,32:21.640,33:33.521,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,3,F. Albuquerque,14:39:04,15:11:33,TRACK,32:28.768,1:04:50.408,1:06:02.289,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,,F. Albuquerque,15:11:33,15:12:45,PIT,1:11.358,1:04:50.408,1:07:13.647,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,4,F. Albuquerque,15:12:45,15:45:09,TRACK,32:24.516,1:37:14.924,1:39:38.163,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,,F. Albuquerque,15:45:09,15:46:21,PIT,1:12.410,1:37:14.924,1:40:50.573,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,5,T. Milner 2:06.519 | Mustang Sampling Racing | Cadillac DPi DPi,5,F. Albuquerque,15:46:21,16:15:27,TRACK,29:05.157,2:06:20.081,2:09:55.730,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,1,D. Cameron,13:35:27,14:03:52,TRACK,28:24.987,28:24.987,28:24.987,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,,,14:03:52,14:05:00,PIT,1:08.453,,1:08.453,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,2,J. Montoya,14:05:00,14:35:22,TRACK,30:21.636,30:21.636,30:21.636,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,,J. Montoya,14:35:22,14:36:31,PIT,1:08.909,30:21.636,31:30.545,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,3,J. Montoya,14:36:31,15:10:37,TRACK,34:05.975,1:04:27.611,1:05:36.520,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,,,15:10:37,15:11:49,PIT,1:12.034,,2:20.487,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,4,D. Cameron,15:11:49,15:43:56,TRACK,32:07.417,1:00:32.404,1:00:32.404,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,,D. Cameron,15:43:56,15:45:07,PIT,1:10.496,1:00:32.404,1:01:42.900,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,6,F. Albuquerque 3:35.649 | Acura Team Penske | Acura DPi DPi,5,D. Cameron,15:45:07,16:15:27,TRACK,30:20.093,1:30:52.497,1:32:02.993,20_Drive Time_Race.PDF,1,1
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,1,H. Castroneves,13:35:27,14:01:59,TRACK,26:32.672,26:32.672,26:32.672,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,,H. Castroneves,14:01:59,14:03:06,PIT,1:06.897,26:32.672,27:39.569,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,2,H. Castroneves,14:03:06,14:35:20,TRACK,32:14.297,58:46.969,59:53.866,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,,,14:35:20,14:36:30,PIT,1:09.728,,1:09.728,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,3,R. Taylor,14:36:30,14:42:12,TRACK,5:41.322,5:41.322,5:41.322,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,,R. Taylor,14:42:12,14:43:04,PIT,52.738,5:41.322,6:34.060,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,4,R. Taylor,14:43:04,15:15:36,TRACK,32:31.326,38:12.648,39:05.386,20_Drive Time_Race.PDF,1,2
2019,14_Road America,Road America,road-america,2019-08-04,201908041335_Race,7,Acura Team Penske | Acura DPi DPi,,R. Taylor,15:15:36,15:16:56,PIT,1:20.838,38:12.648,40:26.224,20_Drive Time_Race.PDF,1,2
