year,event_code,event_name,track_slug,race_date,session_directory,position,class,car_number,team,vehicle,driver,fastest_lap_time,driver_lap_number,driver_total_laps,gap_to_fastest,interval,speed_mph,source_report,source_page
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,1,DPi,31,Whelen Engineering Racing,Cadillac DPi,Felipe Nasr,1:08.869,9,190,,,132.773,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,2,DPi,31,Whelen Engineering Racing,Cadillac DPi,Pipo Derani,1:09.385,73,226,0.516,0.516,131.786,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,3,DPi,5,Mustang Sampling Racing,Cadillac DPi,Joao Barbosa,1:09.651,48,116,0.782,0.266,131.282,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,4,DPi,5,Mustang Sampling Racing,Cadillac DPi,Mike Conway,1:09.688,55,130,0.819,0.037,131.213,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,5,DPi,10,Konica Minolta Cadillac DPi-V.R.,Cadillac DPi,Jordan Taylor,1:09.781,167,172,0.912,0.093,131.038,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,6,DPi,77,Mazda Team Joest,Mazda DPi,Timo Bernhard,1:09.824,48,177,0.955,0.043,130.957,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,7,DPi,6,Acura Team Penske,Acura DPi,Dane Cameron,1:09.909,105,167,1.040,0.085,130.798,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,8,DPi,85,JDC-Miller MotorSports,Cadillac DPi,Tristan Vautier,1:09.922,3,169,1.053,0.013,130.773,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,9,DPi,10,Konica Minolta Cadillac DPi-V.R.,Cadillac DPi,Renger Van Der Zande,1:10.014,123,189,1.145,0.092,130.602,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,10,DPi,7,Acura Team Penske,Acura DPi,Ricky Taylor,1:10.022,5,142,1.153,0.008,130.587,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,11,DPi,5,Mustang Sampling Racing,Cadillac DPi,Filipe Albuquerque,1:10.026,42,213,1.157,0.004,130.579,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,12,DPi,55,Mazda Team Joest,Mazda DPi,Harry Tincknell,1:10.041,6,69,1.172,0.015,130.551,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,13,DPi,7,Acura Team Penske,Acura DPi,Helio Castroneves,1:10.065,91,206,1.196,0.024,130.507,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,14,DPi,55,Mazda Team Joest,Mazda DPi,Olivier Pla,1:10.080,35,82,1.211,0.015,130.479,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,15,DPi,84,JDC-Miller MotorSports,Cadillac DPi,Simon Trummer,1:10.126,31,145,1.257,0.046,130.393,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,16,DPi,54,CORE autosport,Nissan DPi,Colin Braun,1:10.168,68,124,1.299,0.042,130.315,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,17,DPi,77,Mazda Team Joest,Mazda DPi,Tristan Nunez,1:10.214,69,115,1.345,0.046,130.230,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,18,DPi,77,Mazda Team Joest,Mazda DPi,Oliver Jarvis,1:10.313,111,171,1.444,0.099,130.046,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,19,DPi,7,Acura Team Penske,Acura DPi,Graham Rahal,1:10.335,46,117,1.466,0.022,130.006,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,20,DPi,54,CORE autosport,Nissan DPi,Romain Dumas,1:10.368,58,176,1.499,0.033,129.945,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,21,DPi,55,Mazda Team Joest,Mazda DPi,Jonathan Bomarito,1:10.372,12,45,1.503,0.004,129.937,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,22,DPi,10,Konica Minolta Cadillac DPi-V.R.,Cadillac DPi,Matthieu Vaxiviere,1:10.381,6,104,1.512,0.009,129.921,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,23,DPi,50,Juncos Racing,Cadillac DPi,Spencer Pigot,1:10.449,61,174,1.580,0.068,129.795,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,24,DPi,84,JDC-Miller MotorSports,Cadillac DPi,Stephen Simpson,1:10.452,11,184,1.583,0.003,129.790,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,25,DPi,85,JDC-Miller MotorSports,Cadillac DPi,Misha Goikhberg,1:10.512,80,131,1.643,0.060,129.679,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,26,DPi,6,Acura Team Penske,Acura DPi,Simon Pagenaud,1:10.566,76,113,1.697,0.054,129.580,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,27,DPi,31,Whelen Engineering Racing,Cadillac DPi,Eric Curran,1:10.604,34,49,1.735,0.038,129.510,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,28,DPi,6,Acura Team Penske,Acura DPi,Juan Pablo Montoya,1:10.746,39,184,1.877,0.142,129.250,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,29,DPi,50,Juncos Racing,Cadillac DPi,Rene Binder,1:10.796,101,139,1.927,0.050,129.159,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,30,DPi,50,Juncos Racing,Cadillac DPi,Will Owen,1:10.813,43,104,1.944,0.017,129.128,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,31,DPi,85,JDC-Miller MotorSports,Cadillac DPi,Juan Piedrahita,1:10.878,82,146,2.009,0.065,129.010,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,32,DPi,84,JDC-Miller MotorSports,Cadillac DPi,Chris Miller,1:11.499,96,135,2.630,0.621,127.889,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,33,LMP2,52,PR1 Mathiasen Motorsports,ORECA LMP2,Gabriel Aubry,1:11.867,30,40,2.998,0.368,127.234,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,34,LMP2,52,PR1 Mathiasen Motorsports,ORECA LMP2,Matthew McMurry,1:12.061,6,110,3.192,0.194,126.892,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,35,LMP2,38,Performance Tech Motorsports,ORECA LMP2,Kyle Masson,1:12.347,5,52,3.478,0.286,126.390,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,36,DPi,54,CORE autosport,Nissan DPi,Jonathan Bennett,1:12.994,114,157,4.125,0.647,125.270,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,37,LMP2,52,PR1 Mathiasen Motorsports,ORECA LMP2,Dalton Kellett,1:14.054,31,51,5.185,1.060,123.477,06_Fastest Lap By Driver_Race.PDF,1
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,38,LMP2,38,Performance Tech Motorsports,ORECA LMP2,Cameron Cassels,1:14.282,12,13,5.413,0.228,123.098,06_Fastest Lap By Driver_Race.PDF,2
2019,19_Road Atlanta,Road Atlanta,road-atlanta,2019-10-12,201910121205_Race,39,GTLM,67,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,1:16.542,151,164,7.673,2.260,119.463,06_Fastest Lap By Driver_Race.PDF,2
